公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-06-22,0,0,280.242,实施,2026-06-26,2026-06-25,
2025-12-11,0,0,239.57,实施,2025-12-19,2025-12-18,
2025-06-20,0,0,276.73,实施,2025-06-26,2025-06-25,
2024-12-14,0,0,238.82,实施,2024-12-20,2024-12-19,
2024-06-12,0,0,308.76,实施,2024-06-19,2024-06-18,
2023-12-14,0,0,191.06,实施,2023-12-20,2023-12-19,
2023-06-26,0,0,259.11,实施,2023-06-30,2023-06-29,
2022-12-21,0,0,219.1,实施,2022-12-27,2022-12-26,
2022-06-24,0,0,216.75,实施,2022-06-30,2022-06-29,
2021-06-21,0,0,192.93,实施,2021-06-25,2021-06-24,
2020-06-18,0,0,170.25,实施,2020-06-24,2020-06-23,
2019-06-22,0,0,145.39,实施,2019-06-28,2019-06-27,
2018-06-08,0,0,109.99,实施,2018-06-15,2018-06-14,
2017-07-01,0,0,67.87,实施,2017-07-07,2017-07-06,
2016-06-27,0,0,61.71,实施,2016-07-01,2016-06-30,
2015-07-10,1,0,43.74,实施,2015-07-17,2015-07-16,
2014-06-18,1,0,43.74,实施,2014-06-25,2014-06-24,
2013-06-03,0,0,64.19,实施,2013-06-07,2013-06-06,
2012-06-27,0,0,39.97,实施,2012-07-05,2012-07-04,
2011-06-27,1,0,23.0,实施,2011-07-01,2011-06-30,
2010-06-29,0,0,11.85,实施,2010-07-05,2010-07-02,
2009-06-25,0,0,11.56,实施,2009-07-01,2009-06-30,
2008-06-10,0,0,8.36,实施,2008-06-16,2008-06-13,
2007-07-09,0,0,7.0,实施,2007-07-13,2007-07-12,
2006-05-22,0,0,5.91,实施,2006-05-24,2006-05-23,2006-05-25
2006-05-17,0,10,0.0,实施,2006-05-19,2006-05-18,2006-05-25
2006-05-15,0,0,3.0,实施,2006-05-19,2006-05-18,
2005-07-30,0,2,5.0,实施,2005-08-05,2005-08-04,
2004-06-25,0,3,3.0,实施,2004-07-01,2004-06-30,
2003-07-08,1,0,2.0,实施,2003-07-14,2003-07-11,
2002-07-18,0,1,6.0,实施,2002-07-25,2002-07-24,
