代码,名称,送转股份-送转总比例,送转股份-送转比例,送转股份-转股比例,现金分红-现金分红比例,现金分红-股息率,每股收益,每股净资产,每股公积金,每股未分配利润,净利润同比增长,总股本,预案公告日,股权登记日,除权除息日,方案进度,最新公告日期
600015,华夏银行,,,,3.2,0.046647230321,1.62,19.84,3.815959786365,10.03493559535,-1.719901719902,15914928468,2026-03-31,,,股东大会决议通过,2026-03-31
601818,光大银行,,,,0.7,0.022435897436,0.58,8.46,1.260264698913,4.069508851505,-6.883154259401,59085551061,2026-03-31,,,股东大会决议通过,2026-03-31
601528,瑞丰银行,,,,2.1,0.040076335878,1.0,10.03,0.687495062841,3.549717377932,2.296555556943,1962161395,2026-03-27,2026-05-11,2026-05-12,实施分配,2026-04-30
601288,农业银行,,,,1.3,0.019174041298,0.78,7.91,0.495526925594,3.636185186138,3.175661064297,349983033873,2026-03-31,2026-05-12,2026-05-13,实施分配,2026-05-07
601398,工商银行,,,,1.689,0.022580213904,1.0,10.83,0.403670522745,6.117029126813,0.737707830527,356406257089,2026-03-28,2026-05-12,2026-05-13,实施分配,2026-05-07
002839,张家港行,,,,1.2,0.027334851936,0.77,7.581252304954,0.711430551419,1.821335460303,5.345085898713,2444344974,2026-03-31,2026-05-20,2026-05-21,实施分配,2026-05-15
002807,江阴银行,1.0,,1.0,1.2,0.027334851936,0.8326,7.961390562174,0.872211385992,1.9876797407,0.62101951481,2461392789,2026-04-29,2026-05-28,2026-05-29,实施分配,2026-05-23
601860,紫金银行,,,,0.5,0.019011406844,0.34,5.55,0.81329493221,0.812569994461,-23.34840753817,3661009763,2026-04-24,2026-06-08,2026-06-09,实施分配,2026-06-02
601229,上海银行,,,,2.2,0.023605150215,1.65,17.33,1.550158948442,5.808502633188,2.688993879004,14209032651,2026-04-24,2026-06-05,2026-06-08,实施分配,2026-06-02
601998,中信银行,,,,1.93,0.02522875817,1.2,13.01,1.717422949052,6.743355198131,2.977718152123,55645162264,2026-03-21,2026-06-09,2026-06-10,实施分配,2026-06-03
601128,常熟银行,1.0,,1.0,1.2,0.017045454545,1.27,9.46,0.791454596987,4.313715279872,10.649974378865,3316526413,2026-04-24,2026-06-08,2026-06-09,实施分配,2026-06-03
601997,贵阳银行,,,,3.0,0.05033557047,1.37,17.59,2.186755203083,10.455937561368,1.658440150229,3656198076,2026-04-23,2026-06-09,2026-06-10,实施分配,2026-06-04
601009,南京银行,,,,2.2295,0.018846153846,1.76,14.66,3.46715053997,6.237088697784,8.080403324067,12363567245,2026-04-23,2026-06-12,2026-06-15,实施分配,2026-06-05
000001,平安银行,,,,3.6,0.03185840708,2.07,23.25,4.155518911677,13.953828712769,-4.212725802103,19405918198,2026-03-21,2026-06-11,2026-06-12,实施分配,2026-06-05
601166,兴业银行,,,,5.01,0.02666311868,3.46,38.83,3.895477956811,26.773708831451,0.341946765106,21162859317,2026-03-27,2026-06-11,2026-06-12,实施分配,2026-06-08
601077,渝农商行,,,,1.1755,0.017363367799,1.05,11.55,1.788112617769,5.258475477679,5.347759314089,11357000000,2026-03-26,2026-06-15,2026-06-16,实施分配,2026-06-09
600926,杭州银行,,,,2.8,0.016726403823,2.66,18.37,4.167296937248,7.086561145029,12.051696790408,7249002548,2026-04-23,2026-06-12,2026-06-15,实施分配,2026-06-09
603323,苏农银行,1.0,,1.0,1.2,0.025,1.01,9.35,1.19818373766,1.667967110898,5.053434612138,2018541437,2026-04-30,2026-06-17,2026-06-18,实施分配,2026-06-12
002966,苏州银行,,,,1.5,0.019505851756,1.14,11.19,3.427203601458,3.768820782592,5.526526697689,4470662011,2026-04-29,2026-06-23,2026-06-24,实施分配,2026-06-16
002948,青岛银行,,,,1.8,0.031634446397,0.85,7.0,1.836057422614,1.456263406614,21.660295676482,5820354724,2026-03-27,2026-06-23,2026-06-24,实施分配,2026-06-17
001227,兰州银行,,,,0.3,0.014018691589,0.2853,5.34,0.975626343843,1.531220883554,-1.217625733453,5695697168,2026-04-28,2026-06-23,2026-06-24,实施分配,2026-06-17
601187,厦门银行,,,,1.1,0.015027322404,0.9,10.06,2.571016259916,3.460117129597,1.546145408661,2639127888,2026-04-30,2026-06-25,2026-06-26,实施分配,2026-06-18
601916,浙商银行,,,,1.31,0.04381270903,0.44,6.48,1.404383920769,2.041254005243,-14.849203213486,27464635963,2026-03-31,2026-06-25,2026-06-26,实施分配,2026-06-19
601825,沪农商行,,,,1.94,0.023980222497,1.28,13.26,1.71499082788,4.106833115522,0.200754287299,9644444445,2026-04-23,2026-06-26,2026-06-29,实施分配,2026-06-22
600016,民生银行,,,,0.53,0.016307692308,0.63,12.9,1.327965830707,6.646521401489,-5.365989596235,43782418502,2026-03-31,2026-07-01,2026-07-02,实施分配,2026-06-26
600908,无锡银行,,,,1.3,0.024163568773,1.01,10.226097448286,1.557083896437,2.573793378722,2.530889605543,2194681695,2026-03-28,2026-07-06,2026-07-07,实施分配,2026-06-30
601963,重庆银行,,,,2.797,0.027314453125,1.53,16.11,2.228705388955,8.097855342849,10.492428609674,3625776792,2026-03-25,2026-07-06,2026-07-07,实施分配,2026-07-01
601665,齐鲁银行,,,,1.282,0.021085526316,1.0,7.96,2.459333622908,1.993965234407,14.58405238846,6153842525,2026-04-23,2026-07-08,2026-07-09,实施分配,2026-07-02
002958,青农商行,,,,1.2,0.041666666667,0.52,6.68,0.668872360287,2.552970666471,9.512711960827,5555627491,2026-04-29,2026-07-07,2026-07-08,实施分配,2026-07-02
600036,招商银行,,,,10.03,0.026711051931,5.7,43.43,2.593536875496,26.955114988105,1.206272617612,25219845601,2026-03-28,2026-07-09,2026-07-10,实施分配,2026-07-04
601169,北京银行,,,,2.78,0.054403131115,0.78,12.97,2.073499503382,5.544435510571,-23.725981620719,21142984272,2026-04-28,2026-07-09,2026-07-10,实施分配,2026-07-04
600919,江苏银行,,,,2.332,0.020510114336,1.76,14.06,2.609999311221,4.190714032404,8.346491291567,18351324463,2026-04-29,2026-07-09,2026-07-10,实施分配,2026-07-04
600928,西安银行,,,,1.0,0.028735632184,0.6,7.9,0.830257283026,4.035336928534,3.572056716411,4444444445,2026-04-23,2026-07-09,2026-07-10,实施分配,2026-07-06
601988,中国银行,,,,1.169,0.020051457976,0.74,8.36,0.845108189639,3.980124886721,2.177925588944,322212411814,2026-03-31,2026-07-09,2026-07-10,实施分配,2026-07-06
601328,交通银行,,,,1.684,0.025209580838,1.08,12.93,2.44174098049,4.363451179213,2.175539076358,88363784223,2026-03-28,2026-07-09,2026-07-10,实施分配,2026-07-06
601838,成都银行,,,,9.21,0.048473684211,3.07,20.84,3.306504405518,9.776733629276,3.306108545556,4238435356,2026-04-23,2026-07-10,2026-07-13,实施分配,2026-07-07
601939,建设银行,,,,2.029,0.020229312064,1.3,13.24,0.875814220183,7.379269877676,0.992022695238,261600381459,2026-03-28,2026-07-10,2026-07-13,实施分配,2026-07-07
601658,邮储银行,,,,0.953,0.018908730159,0.73,8.41,2.262350639077,2.375969024522,1.069623839314,120095053492,2026-03-28,2026-07-10,2026-07-13,实施分配,2026-07-07
002142,宁波银行,,,,9.0,0.027709359606,4.29,33.69,5.692913385827,17.556935190793,8.132119290744,6603590792,2026-04-25,2026-07-15,2026-07-16,实施分配,2026-07-09
600000,浦发银行,,,,4.2,0.045112781955,1.52,22.13,4.037140455173,7.53506875638,10.517709967519,33305838300,2026-03-31,2026-07-15,2026-07-16,实施分配,2026-07-10
601577,长沙银行,,,,2.3,0.024572649573,1.93,17.66,2.781654554433,9.848732107041,3.590229442636,4021553754,2026-04-29,2026-07-17,2026-07-20,实施分配,2026-07-14
