序号,股票代码,股票简称,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,每股净资产,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
579,603323,苏农银行,1.01,4212599000.0,0.9164555955,5.4319,2043283000.0,5.05,-36.8414,9.35,10.84,3.676612959558,,银行Ⅱ,2026-04-30
606,601187,厦门银行,0.9,5859815000.0,1.747684516,-1.5491,2634763000.0,1.55,-10.9264,10.06,9.05,-0.42104399635,,银行Ⅱ,2026-04-30
1226,601577,长沙银行,1.93,25470844000.0,-1.792722731,-11.1573,8107567000.0,3.59,-30.4458,17.66,11.24,9.251698224119,,银行Ⅱ,2026-04-29
1234,600919,江苏银行,1.76,87942367000.0,8.8190760423,-6.985,34501004000.0,8.35,-62.1208,14.06,13.14,30.550989563478,,银行Ⅱ,2026-04-29
1580,002966,苏州银行,1.14,12355561062.0,1.0780184205,-3.2032,5348303234.0,5.53,-35.1157,11.19,10.66,2.480854700648,,银行Ⅱ,2026-04-29
1582,002958,青农商行,0.52,10027100000.0,-9.1177951963,-12.1375,3128212000.0,9.51,-116.0012,6.68,7.94,-2.023076444006,,银行Ⅱ,2026-04-29
1606,002807,江阴银行,0.8326,4124845000.0,4.11,14.7427,2049461000.0,0.62,78.3468,7.961390562174,10.71,-0.966385701105,,银行Ⅱ,2026-04-29
2753,601169,北京银行,0.78,68036000000.0,-3.3854018745,7.0137,20086000000.0,-23.73,-116.2702,12.97,6.11,17.923426193066,,银行Ⅱ,2026-04-28
3192,001227,兰州银行,0.2853,7794939162.37,-0.7480996416,-6.5478,1864821887.79,-1.22,-34.7719,5.34,5.36,4.703794806915,,银行Ⅱ,2026-04-28
4427,002142,宁波银行,4.29,71969000000.0,8.011286038,-4.6194,29333000000.0,8.13,-10.2307,33.69,13.11,35.662628709873,,银行Ⅱ,2026-04-25
5515,601860,紫金银行,0.34,4118290000.0,-7.7225498959,-4.0493,1244457000.0,-23.3484075382,-86.0801,5.455103792657,6.17,5.048075034737,,银行Ⅱ,2026-04-24
5520,601229,上海银行,1.65,54761019000.0,3.3508550916,-1.2764,24193414000.0,2.69,26.3007,17.33,9.69,-4.768913316269,,银行Ⅱ,2026-04-24
5522,601128,常熟银行,1.27,11619364000.0,6.509361512,-14.1562,4219369000.0,10.65,-37.9303,9.46,14.05,5.536753283562,,银行Ⅱ,2026-04-24
6469,601997,贵阳银行,1.37,12998900000.0,-12.9396551101,21.4342,5249222000.0,1.66,-7.3776,17.59,7.97,2.590247574119,,银行Ⅱ,2026-04-23
6472,601838,成都银行,3.07,23602625000.0,2.7025967422,6.3895,13283492000.0,3.31,31.8147,20.84,15.39,17.66213260319,,银行Ⅱ,2026-04-23
6473,601825,沪农商行,1.28,25870489000.0,-2.8934538738,-5.4528,12312825000.0,0.2,-50.8987,13.26,9.74,-1.179058948344,,银行Ⅱ,2026-04-23
6476,601665,齐鲁银行,1.0,13135164000.0,5.1165470666,2.1967,5713492000.0,14.58,42.3838,7.964707581913,12.17,7.166873448023,,银行Ⅱ,2026-04-23
6486,601009,南京银行,1.76,55541916000.0,10.4804540483,0.9245,21807089000.0,8.08,-29.4009,14.66,12.05,17.002202034413,,银行Ⅱ,2026-04-23
6488,600928,西安银行,0.6,9965625000.0,21.6768224525,-8.5194,2649947000.0,3.57,6.0626,7.9,7.74,-3.123684087368,,银行Ⅱ,2026-04-23
6489,600926,杭州银行,2.66,38798611000.0,1.0876139999,12.8807,19029250000.0,12.05,-25.5346,18.37,14.65,21.981072845466,,银行Ⅱ,2026-04-23
10125,601988,中国银行,0.74,658310000000.0,4.4787252615,3.024,243021000000.0,2.1779255889,8.8099,8.361237322012,8.94,2.520173053766,,银行Ⅱ,2026-03-31
10128,601916,浙商银行,0.44,62514000000.0,-7.5920177384,-13.3903,12931000000.0,-14.85,-68.4329,6.48,6.8,-0.463989222255,,银行Ⅱ,2026-03-31
10135,601818,光大银行,0.58,126311000000.0,-6.7230365912,13.0114,38826000000.0,-6.88,-85.4146,8.46,7.0,2.757116745083,,银行Ⅱ,2026-03-31
10146,601288,农业银行,0.78,725306000000.0,2.0759828585,-3.5973,291041000000.0,3.1756610643,-13.7273,7.906618321461,10.16,6.037170376847,,银行Ⅱ,2026-03-31
10218,600016,民生银行,0.63,142865000000.0,4.8242717734,-4.8969,30563000000.0,-5.37,-71.7816,12.9,4.93,-3.59682061121,,银行Ⅱ,2026-03-31
10219,600015,华夏银行,1.62,91914000000.0,-5.3857081094,39.6405,27200000000.0,-1.72,41.5541,19.84,8.32,4.339491046183,,银行Ⅱ,2026-03-31
10220,600000,浦发银行,1.52,173964000000.0,1.8834774053,-0.0887,50017000000.0,10.52,23.2988,22.13,6.76,11.284333153186,,银行Ⅱ,2026-03-31
10321,002936,郑州银行,0.16,12921145000.0,0.3412620756,30.3792,1895005000.0,1.03,-158.9306,4.96,3.16,2.403617495689,,银行Ⅱ,2026-03-31
10327,002839,张家港行,0.77,4746818987.26,0.75,0.0729,1978974061.72,5.35,-29.4946,7.581252304954,10.36,-1.325653221983,,银行Ⅱ,2026-03-31
10541,601939,建设银行,1.3,761049000000.0,1.8848146512,4.4129,338906000000.0,0.99,-14.418,13.239426605505,10.04,8.032270642202,,银行Ⅱ,2026-03-28
10547,601658,邮储银行,0.73,355728000000.0,1.9935488495,5.8552,87404000000.0,1.0696238393,-60.3351,8.41,8.67,3.431108705608,,银行Ⅱ,2026-03-28
10553,601398,工商银行,1.0,838270000000.0,2.0037648926,-6.9007,368562000000.0,0.7377078305,-3.0951,10.829198079723,9.45,5.304413212984,,银行Ⅱ,2026-03-28
10558,601328,交通银行,1.08,265071000000.0,2.0186586408,-1.284,95622000000.0,2.18,6.8813,12.93,8.38,1.498811733285,,银行Ⅱ,2026-03-28
10574,600908,无锡银行,1.01,4819401000.0,1.9809834728,-5.9252,2309132000.0,2.53,5.0869,10.226097448286,10.05,5.299689431088,,银行Ⅱ,2026-03-28
10614,600036,招商银行,5.7,337532000000.0,0.0130375006,5.7225,150181000000.0,1.21,-6.2638,43.43,13.44,17.900753370341,,银行Ⅱ,2026-03-28
10797,601528,瑞丰银行,1.0,4408034000.0,0.5260702135,-4.2118,1965837000.0,2.3,-30.8681,10.03,10.2,2.316861358472,,银行Ⅱ,2026-03-27
10801,601166,兴业银行,3.46,212741000000.0,0.2426658374,1.4397,77469000000.0,0.34,-27.8608,38.83,9.15,30.886736285026,,银行Ⅱ,2026-03-27
10861,002948,青岛银行,0.85,14572778000.0,7.9662255342,6.2333,5187741000.0,21.66,28.9794,7.0,12.68,1.511871011304,,银行Ⅱ,2026-03-27
10963,601077,渝农商行,1.05,28648293000.0,1.3687543352,1.0648,12128421000.0,5.35,-52.0904,11.55,9.18,0.032784626222,,银行Ⅱ,2026-03-26
11038,601963,重庆银行,1.53,15113456000.0,10.4841087298,-17.3365,5654218000.0,10.49,-54.1311,16.11,9.5,14.22775678728,,银行Ⅱ,2026-03-25
11154,601998,中信银行,1.2,212475000000.0,-0.5481029366,9.9162,70618000000.0,2.98,1.8566,13.01,9.39,7.962656123641,,银行Ⅱ,2026-03-21
11189,000001,平安银行,2.07,131442000000.0,-10.3977640683,-1.6271,42633000000.0,-4.2,-68.1194,23.25,9.15,16.276306297022,,银行Ⅱ,2026-03-21
