银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
001227,兰州银行,2000-12-31,False,False,False,False,False,False,False,False,0.0013,-0.05,False,False,False,False,0.82,0.82,0.14,36.38,97.32%
001227,兰州银行,2008-12-31,1.08亿,False,False,False,20.89亿,False,False,False,0.0056,0.08,False,5.16%,False,False,1.17,1.15,0.12,19.69,95.17%
001227,兰州银行,2009-12-31,1.64亿,51.93%,False,False,7.81亿,-62.63%,False,False,0.07,0.12,False,20.97%,False,False,False,False,False,16.61,94.32%
001227,兰州银行,2010-12-31,3.34亿,104.23%,False,False,14.77亿,89.20%,False,False,0.21,0.13,False,22.64%,False,False,False,False,False,15.57,93.95%
001227,兰州银行,2011-06-30,4.55亿,False,False,False,9.31亿,False,False,False,0.21,0.34,False,49.57%,False,False,False,False,False,14.98,93.70%
001227,兰州银行,2011-12-31,6.50亿,94.36%,False,False,20.13亿,38.51%,False,False,0.21,0.35,False,32.39%,False,False,False,False,False,16.94,94.38%
001227,兰州银行,2012-06-30,8.95亿,96.88%,False,False,18.63亿,100.14%,False,False,0.21,0.53,False,48.22%,False,False,False,False,False,30.51,96.77%
001227,兰州银行,2012-12-31,12.85亿,97.65%,False,False,32.43亿,42.98%,0.5000,False,0.21,0.19,False,31.25%,False,False,False,False,False,20.31,95.31%
001227,兰州银行,2013-12-31,11.18亿,-13.00%,11.11亿,False,33.00亿,1.78%,0.3500,2.26,0.58,0.21,1.47,33.87%,22.44%,13.64%,False,False,False,14.33,93.48%
001227,兰州银行,2014-12-31,14.89亿,33.17%,15.06亿,35.51%,48.05亿,45.58%,0.3700,2.60,0.58,0.33,1.96,30.98%,17.01%,15.81%,False,False,False,15.48,93.93%
001227,兰州银行,2015-12-31,17.49亿,17.48%,16.17亿,7.39%,54.17亿,12.75%,0.4300,2.78,0.81,0.28,5.40,32.28%,17.06%,12.26%,False,False,False,13.42,93.06%
001227,兰州银行,2016-06-30,10.57亿,False,False,False,28.42亿,False,False,False,0.81,0.30,False,37.19%,False,False,False,False,False,13.24,92.98%
001227,兰州银行,2016-09-30,16.86亿,False,False,False,42.83亿,False,False,False,0.81,0.61,False,39.37%,False,False,False,False,False,14.55,93.57%
001227,兰州银行,2016-12-31,21.25亿,21.51%,21.32亿,31.88%,60.81亿,12.25%,0.4100,3.17,0.81,0.52,5.43,34.96%,13.93%,13.07%,False,False,False,14.82,93.61%
001227,兰州银行,2017-03-31,6.38亿,False,False,False,15.69亿,False,False,False,0.81,0.64,False,40.63%,False,False,False,False,False,14.30,93.47%
001227,兰州银行,2017-06-30,12.35亿,16.83%,False,False,32.65亿,14.88%,0.2400,False,0.81,0.76,False,38.09%,False,False,False,False,False,14.04,93.28%
001227,兰州银行,2017-12-31,23.61亿,11.11%,23.40亿,9.75%,65.77亿,8.17%,0.4600,3.63,0.81,0.90,-1.91,36.15%,13.54%,12.68%,False,False,False,13.54,93.05%
001227,兰州银行,2018-03-31,6.72亿,5.35%,False,False,15.58亿,-0.69%,False,False,0.81,0.90,False,43.10%,False,False,False,False,False,13.47,93.09%
001227,兰州银行,2018-06-30,13.07亿,5.87%,False,False,32.59亿,-0.19%,False,False,0.81,1.15,False,40.12%,False,False,False,False,False,12.29,92.48%
001227,兰州银行,2018-09-30,18.89亿,False,False,False,50.43亿,False,False,False,0.81,1.26,False,37.46%,False,False,False,False,False,12.88,92.79%
001227,兰州银行,2018-12-31,22.48亿,-4.80%,22.39亿,-4.35%,68.00亿,3.38%,0.4400,4.10,0.81,1.27,2.66,33.32%,11.34%,10.70%,False,False,False,13.45,93.01%
001227,兰州银行,2019-03-31,7.27亿,8.20%,False,False,18.67亿,19.78%,False,False,0.81,1.38,False,38.93%,False,False,False,False,False,13.46,93.08%
001227,兰州银行,2019-06-30,13.67亿,4.56%,False,False,40.78亿,25.15%,0.2700,False,0.81,1.35,False,34.30%,False,False,False,False,False,13.97,93.24%
001227,兰州银行,2019-09-30,19.20亿,1.63%,False,False,56.45亿,11.95%,False,False,0.81,1.46,False,34.01%,False,False,False,False,False,13.93,93.30%
