银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
002142,宁波银行,2004-12-31,4.38亿,False,4.35亿,False,10.39亿,False,1.0400,4.16,-0.0015,-0.04,2.53,42.15%,301.01%,25.12%,18.64,94.91%
002142,宁波银行,2005-12-31,4.72亿,7.75%,4.71亿,8.38%,12.31亿,18.41%,0.2600,1.22,0.0000,0.17,2.55,38.35%,24.08%,21.58%,18.40,94.85%
002142,宁波银行,2006-06-30,2.72亿,False,False,False,7.23亿,False,0.1500,False,False,False,False,37.56%,False,False,False,False
002142,宁波银行,2006-09-30,4.43亿,False,False,False,11.57亿,False,0.2400,False,False,False,False,38.30%,False,False,False,False
002142,宁波银行,2006-12-31,6.32亿,33.93%,6.48亿,37.65%,16.01亿,30.09%,0.3300,1.66,0.16,0.29,0.07,39.49%,23.79%,19.78%,16.69,94.35%
002142,宁波银行,2007-03-31,2.13亿,False,False,False,4.86亿,False,0.1000,False,False,False,False,43.92%,False,False,False,False
002142,宁波银行,2007-06-30,3.83亿,40.93%,3.81亿,False,9.98亿,38.08%,0.1900,1.65,0.16,0.37,1.81,38.34%,11.53%,11.35%,18.84,94.96%
002142,宁波银行,2007-09-30,6.38亿,43.93%,6.36亿,False,15.73亿,35.95%,0.3000,3.06,1.57,0.41,1.13,40.55%,False,8.33%,8.59,89.57%
002142,宁波银行,2007-12-31,9.51亿,50.47%,9.50亿,46.51%,22.44亿,40.17%,0.4300,3.21,1.59,0.50,2.25,42.39%,18.15%,11.86%,8.41,89.38%
002142,宁波银行,2008-03-31,3.38亿,58.29%,3.37亿,False,8.04亿,65.53%,0.1350,3.33,1.57,0.63,-0.76,42.00%,False,4.06%,8.92,89.92%
002142,宁波银行,2008-06-30,7.30亿,90.59%,7.33亿,92.24%,16.06亿,60.82%,0.2900,3.28,1.57,0.46,0.28,45.44%,8.81%,8.89%,9.76,90.71%
002142,宁波银行,2008-09-30,11.27亿,76.60%,11.31亿,77.67%,24.90亿,58.27%,0.4500,3.44,1.57,0.62,3.55,45.25%,0.0000%,13.10%,10.78,91.51%
002142,宁波银行,2008-12-31,13.32亿,40.02%,13.53亿,42.37%,34.04亿,51.70%,0.5300,3.52,1.57,0.65,2.37,39.13%,15.91%,15.12%,10.73,91.47%
002142,宁波银行,2009-03-31,3.54亿,4.82%,2.75亿,-18.50%,9.55亿,18.82%,0.1400,3.65,1.56,0.79,2.47,37.05%,0.0000%,3.87%,12.01,92.32%
002142,宁波银行,2009-06-30,7.06亿,-3.22%,6.26亿,-14.60%,18.50亿,15.20%,0.2800,3.60,1.57,0.66,0.34,38.17%,7.78%,7.84%,13.42,93.06%
002142,宁波银行,2009-09-30,11.03亿,-2.08%,10.24亿,-9.47%,28.63亿,14.96%,0.4400,3.76,1.56,0.82,1.36,38.54%,0.0000%,11.75%,14.39,93.50%
002142,宁波银行,2009-12-31,14.57亿,9.44%,13.57亿,0.32%,41.76亿,22.67%,0.5800,3.90,1.56,0.91,6.62,34.90%,15.79%,14.96%,15.77,94.04%
002142,宁波银行,2010-03-31,4.98亿,40.74%,4.93亿,79.24%,13.26亿,38.83%,0.2000,4.10,1.57,1.10,-2.56,37.56%,False,4.86%,16.79,94.38%
002142,宁波银行,2010-06-30,12.63亿,78.80%,11.40亿,82.30%,26.97亿,45.78%,0.5100,4.21,1.57,1.05,0.25,46.82%,12.25%,11.98%,18.91,94.98%
002142,宁波银行,2010-09-30,18.78亿,70.20%,17.57亿,71.61%,41.55亿,45.13%,0.7500,4.46,1.57,1.29,-1.65,45.20%,17.94%,16.85%,20.09,95.26%
002142,宁波银行,2010-12-31,23.22亿,59.32%,21.88亿,61.26%,59.12亿,41.59%,0.9100,5.51,2.71,1.19,19.14,39.28%,20.53%,14.63%,15.58,93.97%
002142,宁波银行,2011-03-31,8.15亿,63.63%,6.72亿,36.34%,16.91亿,27.50%,0.2800,5.79,2.72,1.48,-14.95,48.20%,False,4.88%,15.25,93.85%
