银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
002807,江阴银行,2008-12-31,5.99亿,False,False,False,13.62亿,False,0.9600,False,-0.0024,0.86,False,43.93%,False,False,14.09,93.23%
002807,江阴银行,2009-12-31,6.26亿,4.59%,False,False,12.79亿,-6.09%,False,False,0.0058,1.23,False,49.06%,False,False,14.51,93.44%
002807,江阴银行,2010-12-31,8.55亿,36.51%,False,False,16.67亿,30.34%,False,False,-0.04,1.00,False,51.64%,False,False,14.59,93.27%
002807,江阴银行,2011-12-31,8.84亿,3.49%,8.74亿,False,19.26亿,15.54%,0.7806,3.73,0.0025,1.24,-3.25,46.73%,23.44%,20.94%,12.28,92.16%
002807,江阴银行,2012-12-31,9.81亿,10.92%,9.75亿,11.59%,23.65亿,22.84%,0.7871,4.25,False,1.46,11.63,42.26%,21.90%,20.35%,14.18,93.11%
002807,江阴银行,2013-12-31,10.00亿,1.90%,9.78亿,0.28%,22.89亿,-3.24%,0.6417,4.37,False,1.51,-2.04,44.88%,19.64%,18.35%,12.91,92.49%
002807,江阴银行,2014-12-31,8.18亿,-18.18%,7.47亿,-23.55%,23.62亿,3.22%,0.5250,5.02,False,1.42,3.22,36.04%,14.12%,13.07%,12.31,92.17%
002807,江阴银行,2015-03-31,1.99亿,False,1.96亿,False,6.00亿,False,0.1276,False,False,False,False,34.23%,3.15%,False,False,False
002807,江阴银行,2015-06-30,3.72亿,False,3.69亿,False,12.32亿,False,0.2389,4.21,False,1.12,-0.45,31.98%,5.98%,5.83%,11.61,91.74%
002807,江阴银行,2015-09-30,5.46亿,False,False,False,18.65亿,False,0.3503,False,False,False,False,29.75%,False,False,False,False
002807,江阴银行,2015-12-31,8.14亿,-0.42%,8.06亿,7.87%,25.04亿,6.02%,0.5228,4.64,False,1.35,5.70,32.54%,12.13%,11.26%,11.47,91.70%
002807,江阴银行,2016-03-31,1.77亿,-11.09%,1.66亿,-15.34%,6.01亿,0.07%,0.1135,4.74,False,1.27,2.09,29.47%,2.42%,2.39%,11.70,91.85%
002807,江阴银行,2016-06-30,3.62亿,-2.80%,3.51亿,-4.94%,11.84亿,-3.91%,0.2322,4.85,False,1.39,1.37,30.53%,4.89%,4.79%,11.61,91.81%
002807,江阴银行,2016-09-30,5.10亿,-6.51%,4.99亿,False,18.47亿,-0.97%,0.3227,4.86,0.40,1.31,3.46,28.00%,6.75%,5.94%,10.99,91.41%
002807,江阴银行,2016-12-31,7.78亿,-4.49%,7.67亿,-4.92%,24.69亿,-1.39%,0.4779,4.95,0.40,1.41,8.10,31.08%,9.92%,8.89%,10.86,91.34%
002807,江阴银行,2017-03-31,1.75亿,-1.16%,1.74亿,5.06%,5.52亿,-8.34%,0.0989,5.00,0.40,1.51,0.17,32.41%,1.99%,1.98%,10.78,91.28%
002807,江阴银行,2017-06-30,3.52亿,-2.57%,3.52亿,0.45%,11.75亿,-0.75%,0.1994,4.91,0.40,1.32,0.53,28.99%,4.04%,4.06%,11.03,91.47%
002807,江阴银行,2017-09-30,5.12亿,0.40%,4.95亿,-0.83%,17.78亿,-3.73%,0.2899,5.02,0.40,1.41,1.71,28.15%,5.84%,5.77%,11.06,91.50%
002807,江阴银行,2017-12-31,8.08亿,3.92%,8.41亿,9.66%,25.07亿,1.53%,0.4574,5.18,0.40,1.53,1.15,30.24%,9.10%,8.84%,10.94,91.45%
002807,江阴银行,2018-03-31,1.83亿,4.74%,1.83亿,4.88%,6.24亿,12.95%,0.1036,5.30,0.40,1.63,0.14,29.93%,1.98%,1.87%,10.51,91.14%
002807,江阴银行,2018-06-30,3.67亿,4.27%,4.02亿,14.09%,13.96亿,18.84%,0.1733,5.31,0.40,1.44,-4.04,23.38%,3.94%,3.75%,10.30,91.02%
002807,江阴银行,2018-09-30,5.40亿,5.38%,5.75亿,16.11%,22.89亿,28.72%,0.2546,5.41,0.40,1.54,-5.36,20.43%,5.76%,5.41%,10.40,91.13%
002807,江阴银行,2018-12-31,8.57亿,6.05%,8.98亿,6.86%,31.86亿,27.09%,0.4043,5.72,0.40,1.66,-6.73,24.49%,8.92%,8.15%,9.91,90.74%
002807,江阴银行,2019-03-31,1.94亿,5.93%,1.94亿,5.95%,8.81亿,41.15%,0.0914,5.86,0.51,1.71,0.20,22.07%,1.82%,1.77%,10.02,90.84%
002807,江阴银行,2019-06-30,4.02亿,9.29%,4.05亿,0.86%,16.47亿,17.94%,0.1874,4.94,0.43,1.15,2.66,23.59%,3.72%,3.62%,10.30,91.07%
002807,江阴银行,2019-09-30,6.37亿,17.94%,6.45亿,12.10%,25.84亿,12.89%,0.2957,5.05,0.43,1.26,2.09,24.71%,5.84%,5.62%,9.72,90.58%
002807,江阴银行,2019-12-31,10.13亿,18.12%,10.26亿,14.26%,34.04亿,6.86%,0.4971,5.25,0.43,1.39,5.28,29.72%,9.10%,8.61%,9.74,90.60%
002807,江阴银行,2020-03-31,2.10亿,8.36%,2.11亿,8.83%,8.51亿,-3.35%,0.0967,5.35,0.43,1.48,-0.41,24.74%,1.77%,1.75%,9.98,90.81%
002807,江阴银行,2020-06-30,4.08亿,1.54%,4.12亿,1.74%,16.49亿,0.16%,0.1878,5.19,0.43,1.21,-0.48,24.52%,3.43%,3.50%,10.48,91.21%
002807,江阴银行,2020-09-30,6.48亿,1.83%,6.48亿,0.49%,25.00亿,-3.28%,0.2985,5.24,0.43,1.32,-0.34,25.85%,5.43%,5.52%,10.50,91.23%
002807,江阴银行,2020-12-31,10.57亿,4.36%,10.37亿,1.05%,33.51亿,-1.56%,0.4866,5.42,0.43,1.46,1.54,31.93%,8.85%,8.71%,10.76,91.41%
002807,江阴银行,2021-03-31,2.28亿,8.61%,2.30亿,8.91%,8.15亿,-4.29%,0.1050,5.51,0.43,1.57,1.81,27.38%,1.87%,1.85%,10.68,91.36%
002807,江阴银行,2021-06-30,4.71亿,15.40%,4.80亿,16.36%,16.16亿,-1.99%,0.2167,5.47,0.43,1.32,-0.42,29.24%,3.82%,3.85%,10.95,91.55%
002807,江阴银行,2021-09-30,7.49亿,15.55%,7.62亿,17.57%,24.33亿,-2.67%,0.3449,5.57,0.43,1.45,-1.20,30.93%,6.08%,6.01%,10.66,91.34%
002807,江阴银行,2021-12-31,12.74亿,20.51%,12.66亿,22.03%,33.67亿,0.46%,0.5864,5.83,0.43,1.63,1.88,38.16%,10.15%,9.78%,10.75,91.40%
002807,江阴银行,2022-03-31,2.75亿,20.56%,2.66亿,15.92%,9.96亿,22.25%,0.1266,5.93,0.43,1.76,-0.0040,27.62%,2.09%,2.08%,10.91,91.52%
002807,江阴银行,2022-06-30,5.75亿,22.10%,5.52亿,15.11%,20.36亿,25.96%,0.2646,5.90,0.43,1.48,0.22,28.18%,4.34%,4.36%,11.15,91.69%
002807,江阴银行,2022-09-30,9.17亿,22.38%,8.89亿,16.69%,29.65亿,21.88%,0.4221,6.10,0.43,1.64,0.18,30.91%,6.87%,6.74%,11.00,91.59%
002807,江阴银行,2022-12-31,16.16亿,26.88%,15.76亿,24.54%,37.80亿,12.27%,0.7440,6.41,0.43,1.89,0.18,42.78%,11.87%,11.32%,10.81,91.46%
002807,江阴银行,2023-03-31,3.10亿,12.78%,3.04亿,14.17%,10.36亿,4.03%,0.1428,6.56,0.43,2.03,-0.15,29.97%,2.15%,2.12%,11.05,91.63%
002807,江阴银行,2023-06-30,6.56亿,14.23%,5.65亿,2.19%,20.61亿,1.25%,0.3022,6.56,0.43,1.71,-1.90,35.49%,4.48%,4.49%,11.03,91.58%
002807,江阴银行,2023-09-30,10.56亿,15.15%,9.55亿,7.46%,29.78亿,0.44%,0.4861,6.73,0.43,1.90,-1.57,37.99%,7.19%,7.05%,10.72,91.36%
002807,江阴银行,2023-12-31,18.88亿,16.83%,17.50亿,11.01%,38.65亿,2.25%,0.8693,7.10,0.42,2.20,-0.18,52.26%,12.55%,11.96%,10.76,91.36%
002807,江阴银行,2024-03-31,3.50亿,12.72%,3.37亿,10.66%,10.63亿,2.56%,0.1479,7.03,0.87,2.08,-1.88,33.07%,2.09%,2.02%,9.75,90.56%
002807,江阴银行,2024-06-30,7.25亿,10.50%,6.82亿,20.82%,21.74亿,5.46%,0.3006,7.01,0.87,1.62,-0.33,33.46%,4.25%,4.21%,9.81,90.61%
002807,江阴银行,2024-09-30,11.28亿,6.79%,10.70亿,11.99%,30.18亿,1.33%,0.4641,7.16,0.87,1.78,1.56,37.31%,6.56%,6.40%,9.58,90.41%
002807,江阴银行,2024-12-31,20.37亿,7.88%,19.78亿,13.04%,39.62亿,2.51%,0.8357,7.55,0.87,2.07,1.50,51.04%,11.55%,10.96%,9.76,90.58%
002807,江阴银行,2025-03-31,3.57亿,2.22%,3.55亿,5.38%,11.27亿,6.00%,0.1452,7.67,0.87,2.21,1.14,31.28%,1.91%,1.89%,9.96,90.76%
002807,江阴银行,2025-06-30,8.46亿,16.63%,8.27亿,21.26%,24.01亿,10.45%,0.3437,7.70,0.87,1.68,-2.38,34.59%,4.49%,4.46%,9.94,90.75%
002807,江阴银行,2025-09-30,12.78亿,13.38%,12.29亿,14.94%,32.04亿,6.17%,0.5194,7.78,0.87,1.86,-1.39,39.26%,6.79%,6.68%,9.85,90.68%
002807,江阴银行,2025-12-31,20.49亿,0.62%,20.03亿,1.25%,41.25亿,4.11%,0.8326,7.96,0.87,1.99,-0.97,49.05%,10.71%,10.46%,10.18,90.96%
002807,江阴银行,2026-03-31,3.66亿,2.50%,3.62亿,2.22%,12.19亿,8.18%,0.1489,8.11,0.87,2.14,-0.65,29.48%,1.85%,1.84%,10.13,90.96%
