银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
002839,张家港行,2005-12-31,3.07亿,False,False,False,5.31亿,False,0.8600,False,0.09,0.18,False,57.87%,False,False,16.17,94.17%
002839,张家港行,2006-12-31,3.12亿,1.55%,False,False,6.21亿,16.92%,0.8100,False,0.07,0.58,False,50.26%,False,False,14.88,93.70%
002839,张家港行,2007-12-31,4.68亿,49.84%,False,False,7.96亿,28.08%,1.0000,False,1.58,0.93,False,58.80%,False,False,9.00,90.00%
002839,张家港行,2008-12-31,5.01亿,7.13%,False,False,9.40亿,18.13%,0.9200,False,1.59,1.04,False,53.24%,False,False,8.47,89.29%
002839,张家港行,2009-12-31,5.19亿,3.54%,False,False,9.90亿,5.29%,0.9600,False,1.63,1.13,False,52.43%,False,False,9.12,90.00%
002839,张家港行,2010-12-31,6.80亿,30.96%,False,False,13.49亿,36.27%,0.4200,False,1.60,1.34,False,50.78%,False,False,13.20,92.87%
002839,张家港行,2011-12-31,9.09亿,33.72%,9.06亿,False,18.47亿,36.89%,0.5600,4.11,0.31,0.87,5.16,49.97%,21.81%,20.38%,14.74,93.56%
002839,张家港行,2012-12-31,9.78亿,7.61%,9.58亿,5.78%,20.90亿,13.29%,0.6000,3.08,0.20,0.23,1.48,48.57%,19.98%,19.74%,13.23,92.85%
002839,张家港行,2013-12-31,10.03亿,2.51%,9.53亿,-0.50%,22.16亿,6.03%,0.6200,3.36,0.19,0.23,-3.33,46.58%,18.48%,18.32%,12.24,92.29%
002839,张家港行,2014-12-31,7.31亿,-27.09%,6.73亿,-29.39%,23.64亿,6.69%,0.4500,3.90,0.19,0.41,-2.14,30.51%,12.38%,11.53%,10.33,91.03%
002839,张家港行,2015-09-30,5.38亿,False,4.34亿,False,17.96亿,False,False,False,False,False,2.85,30.53%,False,False,False,False
002839,张家港行,2015-12-31,6.73亿,-7.93%,5.40亿,-19.86%,24.06亿,1.77%,0.4100,4.32,0.19,0.45,4.86,28.31%,9.92%,9.58%,10.70,91.33%
002839,张家港行,2016-03-31,1.92亿,False,1.91亿,False,6.43亿,False,0.1200,False,False,False,1.65,30.31%,2.72%,2.72%,False,False
002839,张家港行,2016-06-30,3.33亿,False,2.26亿,False,11.92亿,False,0.2000,4.37,0.19,0.56,3.01,28.54%,4.73%,4.69%,11.27,91.72%
002839,张家港行,2016-09-30,5.16亿,-4.09%,3.21亿,-25.99%,17.57亿,-2.14%,0.3200,False,False,False,2.85,29.86%,False,False,False,91.48%
002839,张家港行,2016-12-31,6.89亿,2.45%,6.75亿,25.06%,24.39亿,0.98%,0.4200,4.50,0.19,0.72,3.85,28.64%,9.68%,9.41%,11.29,91.74%
002839,张家港行,2017-03-31,2.04亿,6.12%,2.02亿,5.93%,6.03亿,-6.16%,0.1200,4.52,0.48,0.76,-0.52,33.86%,2.58%,2.49%,10.20,90.95%
002839,张家港行,2017-06-30,3.52亿,5.56%,3.50亿,55.01%,12.03亿,1.16%,0.2000,4.41,0.48,0.56,0.98,29.21%,4.51%,4.41%,11.27,91.74%
002839,张家港行,2017-09-30,5.57亿,8.05%,5.33亿,65.67%,18.49亿,5.07%,0.3100,4.51,0.48,0.67,1.85,30.28%,6.96%,6.83%,10.71,91.34%
002839,张家港行,2017-12-31,7.63亿,10.68%,7.36亿,9.08%,24.14亿,-1.06%,0.4300,4.58,0.48,0.74,3.05,31.25%,9.43%,9.22%,11.45,91.87%
002839,张家港行,2018-03-31,2.28亿,12.12%,2.26亿,12.06%,6.35亿,5.20%,0.1300,4.79,0.48,0.87,-3.10,36.08%,2.70%,2.64%,10.34,91.08%
002839,张家港行,2018-06-30,4.12亿,17.00%,4.11亿,17.19%,14.35亿,19.20%,0.2300,4.85,0.48,0.70,-2.68,28.76%,4.86%,4.70%,10.51,91.21%
002839,张家港行,2018-09-30,6.43亿,15.31%,6.41亿,20.44%,21.58亿,16.74%,0.3600,4.95,0.48,0.82,-1.73,29.94%,7.47%,7.18%,11.10,91.64%
002839,张家港行,2018-12-31,8.35亿,9.44%,8.30亿,12.81%,29.99亿,24.24%,0.4600,5.24,0.48,0.93,-2.10,27.27%,9.39%,8.42%,10.43,91.18%
002839,张家港行,2019-03-31,2.60亿,13.85%,2.49亿,9.93%,8.47亿,33.40%,0.1400,5.41,0.48,1.03,0.64,30.69%,2.54%,2.54%,11.14,91.70%
002839,张家港行,2019-06-30,4.74亿,15.07%,4.45亿,8.39%,18.03亿,25.71%,0.2600,5.31,0.48,0.76,-4.13,26.69%,4.69%,4.72%,11.13,91.68%
002839,张家港行,2019-09-30,7.33亿,14.00%,7.00亿,9.12%,28.07亿,30.08%,0.4100,5.71,0.48,0.90,-2.47,26.07%,7.24%,7.10%,10.57,91.29%
