银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
002936,郑州银行,2006-12-31,1.20亿,False,False,False,4.95亿,False,False,False,0.07,0.03,False,24.22%,False,False,25.20,96.18%
002936,郑州银行,2007-12-31,1.34亿,12.16%,False,False,7.42亿,49.90%,False,False,0.06,0.06,False,18.12%,False,False,23.10,95.85%
002936,郑州银行,2008-12-31,1.90亿,41.54%,False,False,10.76亿,45.00%,False,False,0.04,0.16,False,17.69%,False,False,17.37,94.56%
002936,郑州银行,2009-06-30,1067.29万,False,False,False,5.52亿,False,False,False,0.04,0.15,False,1.93%,False,False,19.25,95.06%
002936,郑州银行,2009-12-31,2.28亿,19.66%,False,False,11.29亿,7.85%,False,False,0.04,0.26,False,19.62%,False,False,18.96,94.99%
002936,郑州银行,2010-12-31,6.29亿,176.33%,False,False,14.70亿,30.16%,False,False,0.05,0.46,False,42.79%,False,False,19.82,95.20%
002936,郑州银行,2011-12-31,9.58亿,52.24%,False,False,22.04亿,49.90%,False,False,0.03,0.34,False,43.46%,False,False,10.54,91.33%
002936,郑州银行,2012-12-31,14.60亿,52.47%,False,False,33.04亿,49.91%,False,False,0.03,0.54,False,44.20%,False,False,12.52,92.60%
002936,郑州银行,2013-06-30,8.12亿,False,False,False,20.14亿,False,False,False,False,False,False,40.31%,False,False,False,False
002936,郑州银行,2013-12-31,19.02亿,30.24%,18.77亿,False,42.55亿,28.78%,0.4800,2.42,0.03,0.82,2.97,44.70%,22.10%,19.94%,14.66,93.61%
002936,郑州银行,2014-06-30,13.73亿,69.16%,False,False,25.89亿,28.59%,False,False,0.02,1.01,False,53.03%,False,False,15.29,93.86%
002936,郑州银行,2014-12-31,24.63亿,29.51%,24.79亿,32.06%,55.33亿,30.05%,0.6200,2.89,0.03,1.06,7.47,44.52%,23.52%,21.60%,16.91,94.42%
002936,郑州银行,2015-06-30,17.51亿,27.50%,False,False,38.31亿,47.95%,False,False,False,False,False,45.70%,False,False,False,False
002936,郑州银行,2015-12-31,33.56亿,36.27%,33.19亿,33.88%,78.76亿,42.34%,0.8500,3.46,0.52,1.10,1.94,42.61%,26.22%,18.86%,13.93,93.29%
002936,郑州银行,2016-03-31,8.52亿,False,False,False,19.91亿,False,0.1600,False,False,False,False,42.77%,False,False,False,False
002936,郑州银行,2016-06-30,21.22亿,21.20%,20.70亿,False,46.54亿,21.49%,0.4000,3.65,0.57,1.26,4.64,45.79%,11.03%,10.94%,15.25,93.69%
002936,郑州银行,2016-12-31,39.99亿,19.14%,38.83亿,16.99%,98.97亿,25.66%,0.7500,4.00,0.57,1.28,10.18,40.87%,20.21%,18.78%,16.17,94.03%
002936,郑州银行,2017-03-31,10.52亿,23.42%,False,False,24.41亿,22.59%,0.2000,False,0.57,1.48,False,44.06%,False,False,15.77,93.89%
002936,郑州银行,2017-06-30,22.71亿,7.05%,22.63亿,9.33%,48.67亿,4.59%,0.4300,4.21,0.57,1.49,-2.47,47.77%,False,10.14%,17.62,94.47%
002936,郑州银行,2017-09-30,33.52亿,False,False,False,72.58亿,False,0.6300,False,False,False,False,47.03%,False,False,False,False
002936,郑州银行,2017-12-31,42.80亿,7.03%,41.84亿,7.73%,101.94亿,3.00%,0.8000,4.58,0.57,1.60,-0.37,42.51%,18.82%,13.29%,12.49,92.33%
002936,郑州银行,2018-03-31,11.55亿,9.83%,11.54亿,False,25.60亿,4.89%,0.2200,4.63,0.57,1.65,-0.95,45.26%,4.80%,3.56%,12.32,92.24%
002936,郑州银行,2018-06-30,23.67亿,4.19%,23.65亿,4.48%,51.59亿,6.00%,0.4400,4.86,0.57,1.88,-0.57,46.18%,False,7.02%,12.13,92.14%
002936,郑州银行,2018-09-30,34.36亿,2.51%,34.32亿,False,80.39亿,10.75%,0.6500,5.01,0.87,1.87,-4.23,43.24%,13.63%,9.17%,11.18,91.55%
002936,郑州银行,2018-12-31,30.59亿,-28.53%,30.30亿,-27.56%,111.57亿,9.44%,0.4700,4.87,0.87,1.61,-4.36,27.80%,10.03%,8.35%,11.69,91.88%
002936,郑州银行,2019-03-31,10.47亿,-9.35%,10.45亿,-9.44%,28.60亿,11.71%,0.1800,5.05,0.87,1.78,1.01,37.58%,3.57%,2.77%,11.88,92.00%
002936,郑州银行,2019-06-30,24.69亿,4.34%,24.67亿,4.32%,62.57亿,21.26%,0.3800,5.14,0.87,1.87,-0.73,40.12%,8.25%,6.45%,11.51,91.76%
002936,郑州银行,2019-09-30,35.90亿,4.49%,35.87亿,4.52%,96.22亿,19.70%,0.5500,5.33,0.87,2.06,-1.38,37.98%,11.87%,9.11%,11.48,91.75%
002936,郑州银行,2019-12-31,32.85亿,7.40%,32.73亿,8.02%,134.87亿,20.88%,0.4300,5.20,0.87,1.75,-1.33,25.01%,9.30%,8.51%,11.94,92.03%
002936,郑州银行,2020-03-31,10.95亿,4.57%,10.99亿,5.16%,37.29亿,30.37%,0.1700,5.42,0.87,1.93,2.48,30.20%,3.49%,2.74%,12.32,92.26%
002936,郑州银行,2020-06-30,24.18亿,-2.08%,24.20亿,-1.89%,77.08亿,23.20%,0.3700,4.98,0.70,1.87,0.97,32.08%,7.58%,6.00%,12.22,92.20%
002936,郑州银行,2020-09-30,32.93亿,-8.28%,32.82亿,-8.50%,109.28亿,13.58%,0.5100,5.07,0.70,2.00,-0.09,31.23%,10.29%,8.06%,12.07,92.10%
002936,郑州银行,2020-12-31,31.68亿,-3.58%,31.44亿,-3.95%,146.07亿,8.30%,0.3600,4.88,1.09,1.55,-1.49,22.74%,8.37%,7.12%,11.28,91.61%
002936,郑州银行,2021-03-31,11.25亿,2.76%,11.21亿,2.07%,31.94亿,-14.35%,0.1400,5.03,1.09,1.70,-0.36,36.48%,3.02%,2.46%,11.11,91.49%
002936,郑州银行,2021-06-30,24.54亿,1.49%,24.44亿,0.99%,69.48亿,-9.87%,0.3000,5.26,1.09,1.88,-0.74,36.56%,6.44%,5.18%,11.04,91.44%
002936,郑州银行,2021-09-30,33.32亿,1.19%,33.16亿,1.04%,104.35亿,-4.51%,0.4000,5.39,1.09,1.99,-3.44,33.12%,8.63%,6.89%,10.59,91.11%
002936,郑州银行,2021-12-31,32.26亿,1.85%,32.03亿,1.88%,148.01亿,1.33%,0.3300,4.83,0.90,1.66,-5.16,22.96%,7.17%,5.58%,8.93,89.67%
002936,郑州银行,2022-03-31,11.66亿,3.66%,11.67亿,4.09%,34.21亿,7.13%,0.1400,4.98,0.90,1.80,-2.35,35.78%,2.88%,1.98%,8.72,89.45%
002936,郑州银行,2022-06-30,25.31亿,3.15%,25.16亿,2.92%,75.63亿,8.86%,0.2800,5.15,0.90,1.96,-2.19,34.80%,6.14%,4.19%,8.64,89.36%
002936,郑州银行,2022-09-30,34.03亿,2.15%,33.41亿,0.75%,117.23亿,12.35%,0.3700,5.27,0.90,2.07,-2.75,30.23%,8.15%,5.55%,8.68,89.40%
002936,郑州银行,2022-12-31,24.22亿,-24.92%,23.43亿,-26.85%,151.01亿,2.03%,0.1600,4.93,0.82,1.77,-3.79,17.22%,3.53%,4.77%,10.61,91.10%
002936,郑州银行,2023-03-31,11.88亿,1.86%,11.84亿,1.42%,33.18亿,-3.01%,0.1300,5.08,0.82,1.91,-0.08,37.37%,2.87%,2.29%,10.63,91.12%
002936,郑州银行,2023-06-30,20.47亿,-19.14%,20.16亿,-19.85%,69.18亿,-8.52%,0.2300,4.73,0.66,1.83,-0.05,30.56%,4.89%,3.86%,10.60,91.10%
002936,郑州银行,2023-09-30,27.51亿,-19.18%,27.12亿,-18.82%,104.78亿,-10.62%,0.3000,4.80,0.66,1.91,-0.11,27.19%,6.52%,5.13%,10.56,91.06%
002936,郑州银行,2023-12-31,18.50亿,-23.62%,18.04亿,-23.00%,136.67亿,-9.50%,0.1500,4.67,0.66,1.68,0.18,13.61%,3.29%,3.53%,10.99,91.39%
002936,郑州银行,2024-03-31,9.67亿,-18.57%,9.44亿,-20.29%,34.00亿,2.47%,0.1100,4.81,0.66,1.79,-0.0100,29.15%,2.25%,1.80%,10.75,91.21%
002936,郑州银行,2024-06-30,15.94亿,-22.12%,15.69亿,-22.19%,63.93亿,-7.59%,0.1800,4.88,0.66,1.86,-0.48,25.80%,3.67%,2.93%,10.83,91.28%
002936,郑州银行,2024-09-30,22.44亿,-18.41%,22.20亿,-18.14%,90.41亿,-13.71%,0.2500,4.94,0.66,1.93,1.28,25.32%,5.14%,4.09%,11.11,91.48%
002936,郑州银行,2024-12-31,18.76亿,1.39%,18.59亿,3.01%,128.77亿,-5.78%,0.1500,4.89,0.66,1.72,0.96,14.47%,3.21%,3.45%,11.39,91.68%
002936,郑州银行,2025-03-31,10.16亿,4.98%,10.16亿,7.65%,34.75亿,2.22%,0.1100,4.91,0.66,1.83,-0.02,29.23%,2.28%,1.86%,11.89,92.00%
002936,郑州银行,2025-06-30,16.27亿,2.10%,16.28亿,3.76%,66.90亿,4.64%,0.1800,5.00,0.66,1.88,0.85,24.91%,3.62%,2.93%,11.94,92.03%
002936,郑州银行,2025-09-30,22.79亿,1.56%,22.79亿,2.66%,93.95亿,3.91%,0.2500,5.03,0.66,1.95,1.89,24.48%,5.06%,4.09%,12.31,92.25%
002936,郑州银行,2025-12-31,18.95亿,1.03%,18.24亿,-1.86%,129.21亿,0.34%,0.1600,4.96,0.66,1.76,2.40,14.77%,3.16%,3.44%,12.47,92.36%
002936,郑州银行,2026-03-31,10.70亿,5.37%,10.70亿,5.38%,35.21亿,1.31%,0.1200,5.08,0.66,1.87,1.71,30.80%,2.35%,1.90%,12.91,92.60%
