银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
002948,青岛银行,2007-12-31,3.07亿,False,False,False,14.49亿,False,False,False,False,False,False,21.17%,False,False,18.41,94.85%
002948,青岛银行,2008-12-31,3.23亿,5.38%,False,False,10.81亿,-25.37%,False,False,0.69,0.15,False,29.89%,False,False,7.31,87.96%
002948,青岛银行,2009-12-31,4.19亿,29.69%,False,False,10.91亿,0.88%,False,False,0.68,0.19,False,38.42%,False,False,9.59,90.56%
002948,青岛银行,2010-12-31,5.15亿,22.77%,False,False,15.75亿,44.37%,False,False,0.67,0.12,False,32.67%,False,False,14.18,93.41%
002948,青岛银行,2011-12-31,7.38亿,43.52%,False,False,24.85亿,57.80%,False,False,1.11,0.29,False,29.72%,False,False,10.07,90.97%
002948,青岛银行,2012-09-30,7.94亿,False,False,False,21.54亿,False,False,False,1.06,0.45,False,36.87%,False,False,12.18,92.42%
002948,青岛银行,2012-12-31,9.20亿,24.59%,False,False,28.70亿,15.49%,False,False,1.08,0.35,False,32.06%,False,False,12.67,92.68%
002948,青岛银行,2013-12-31,11.42亿,24.12%,11.17亿,False,35.25亿,22.82%,0.4500,3.21,1.08,0.50,4.67,32.39%,14.65%,13.92%,15.54,93.95%
002948,青岛银行,2014-09-30,13.90亿,False,False,False,33.11亿,False,False,False,1.13,0.96,False,41.98%,False,False,15.21,93.83%
002948,青岛银行,2014-12-31,14.95亿,30.95%,14.68亿,31.41%,43.40亿,23.12%,0.5900,3.83,1.08,0.73,4.38,34.46%,16.67%,15.28%,14.96,93.73%
002948,青岛银行,2015-06-30,10.74亿,False,False,False,23.93亿,False,False,False,False,False,False,44.88%,False,False,False,False
002948,青岛银行,2015-12-31,18.14亿,21.29%,18.02亿,22.72%,50.11亿,15.46%,0.5800,4.14,1.67,0.55,2.12,36.20%,14.69%,10.92%,10.27,91.13%
002948,青岛银行,2016-06-30,12.62亿,17.49%,12.62亿,False,29.79亿,24.51%,0.3100,4.21,1.68,0.66,-0.15,42.35%,7.38%,7.39%,11.13,91.75%
002948,青岛银行,2016-12-31,20.89亿,15.15%,20.91亿,16.08%,60.19亿,20.12%,0.5100,4.35,1.68,0.49,10.88,34.70%,12.22%,11.84%,14.76,93.66%
