银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
002958,青农商行,2011-12-31,5.65亿,False,False,False,34.62亿,False,0.5200,False,1.11,0.21,False,16.33%,False,False,25.68,96.25%
002958,青农商行,2012-12-31,11.88亿,110.18%,False,False,42.38亿,22.42%,0.2400,False,0.44,0.10,False,28.04%,False,False,10.32,91.17%
002958,青农商行,2013-12-31,16.50亿,38.87%,16.34亿,False,49.84亿,17.60%,0.3300,2.11,0.44,0.38,0.53,33.11%,16.92%,15.66%,10.92,91.61%
002958,青农商行,2014-12-31,17.31亿,4.92%,16.80亿,2.80%,55.99亿,12.33%,0.3500,2.41,0.44,0.42,0.95,30.92%,15.43%,14.34%,11.03,91.69%
002958,青农商行,2015-12-31,18.64亿,7.64%,18.31亿,9.00%,57.51亿,2.72%,0.3700,2.70,0.44,0.57,2.66,32.41%,14.63%,13.82%,11.24,91.83%
002958,青农商行,2016-06-30,10.16亿,False,10.00亿,False,28.30亿,False,0.2000,2.80,0.44,0.55,2.40,35.82%,7.32%,7.25%,12.31,92.08%
002958,青农商行,2016-12-31,19.27亿,3.38%,18.37亿,0.32%,58.30亿,1.38%,0.3900,2.99,0.44,0.70,3.88,32.65%,13.59%,12.89%,12.83,92.41%
002958,青农商行,2017-03-31,7.26亿,False,False,False,13.51亿,False,0.1500,False,False,False,False,53.73%,False,False,False,False
002958,青农商行,2017-06-30,11.17亿,9.89%,11.01亿,10.09%,28.48亿,1.23%,0.2200,3.23,0.44,0.72,0.69,38.84%,7.19%,6.92%,12.65,92.34%
002958,青农商行,2017-09-30,19.39亿,False,False,False,44.86亿,False,0.3900,False,False,False,False,43.22%,False,False,False,False
002958,青农商行,2017-12-31,21.36亿,10.89%,20.48亿,11.47%,60.79亿,4.27%,0.4300,3.42,0.44,0.88,0.42,35.21%,13.33%,12.48%,13.62,92.86%
002958,青农商行,2018-03-31,6.82亿,-6.05%,6.76亿,False,16.60亿,21.54%,0.1400,3.59,0.44,1.05,-0.31,49.54%,15.56%,4.53%,13.05,92.88%
