银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
002966,苏州银行,2006-12-31,1.37亿,False,False,False,7.82亿,False,False,False,False,0.25,False,17.53%,False,False,False,False,1.13,1.13,0.02,17.95,94.72%
002966,苏州银行,2007-12-31,2.44亿,77.72%,False,False,9.89亿,26.54%,False,False,0.0051,0.59,False,24.62%,False,False,16.79,16.79,1.26,1.26,0.04,16.15,94.17%
002966,苏州银行,2009-12-31,3.41亿,False,False,False,12.85亿,False,False,False,0.32,0.38,False,26.57%,False,False,33.31,33.31,1.38,1.38,0.04,14.54,93.57%
002966,苏州银行,2010-12-31,6.08亿,78.18%,False,False,13.95亿,35.36%,0.2427,False,2.84,0.18,False,29.82%,False,False,33.02,33.02,1.62,1.62,0.04,3.25,76.48%
002966,苏州银行,2011-12-31,10.31亿,69.49%,False,False,22.98亿,64.72%,0.3438,False,2.85,0.36,False,45.38%,False,False,False,False,False,False,False,5.10,83.47%
002966,苏州银行,2012-12-31,13.56亿,31.53%,False,False,34.55亿,50.32%,False,False,2.91,0.46,False,40.04%,False,False,False,False,False,False,False,7.69,88.39%
002966,苏州银行,2013-06-30,7.35亿,False,False,False,19.70亿,False,False,False,False,False,False,37.29%,False,False,False,False,False,False,False,False,False
002966,苏州银行,2013-12-31,15.98亿,17.82%,15.91亿,False,45.09亿,30.53%,0.5300,5.15,2.86,0.53,5.11,36.08%,10.42%,10.35%,False,False,False,False,False,9.61,90.46%
002966,苏州银行,2014-06-30,9.15亿,24.56%,False,False,27.08亿,37.43%,False,False,2.96,0.37,False,33.80%,False,False,False,False,False,False,False,11.36,91.91%
002966,苏州银行,2014-12-31,17.60亿,10.12%,17.18亿,8.00%,58.09亿,28.81%,0.5900,5.71,2.86,0.65,5.24,30.99%,11.09%,10.28%,False,False,False,False,False,10.92,91.49%
002966,苏州银行,2015-06-30,9.43亿,3.03%,False,False,33.70亿,24.47%,0.6300,False,False,False,False,27.98%,False,False,False,False,False,False,False,False,False
002966,苏州银行,2015-12-31,18.15亿,3.13%,18.06亿,5.09%,69.18亿,19.10%,0.6100,6.22,2.86,0.72,3.18,26.61%,10.30%,9.72%,False,False,False,False,False,11.32,91.50%
002966,苏州银行,2016-06-30,10.54亿,11.79%,10.49亿,False,37.19亿,10.34%,0.3500,6.44,2.86,0.87,0.30,28.83%,5.53%,5.45%,False,False,False,False,False,12.49,92.25%
002966,苏州银行,2016-12-31,19.50亿,7.41%,19.08亿,5.65%,70.07亿,1.29%,0.6500,6.65,2.86,1.11,-5.28,28.36%,10.04%,9.77%,False,False,False,False,False,12.00,91.97%
002966,苏州银行,2017-06-30,10.73亿,1.84%,10.73亿,2.30%,36.97亿,-0.60%,0.3600,False,2.86,1.27,3.51,29.56%,5.28%,5.24%,False,False,False,False,False,13.12,92.62%
002966,苏州银行,2017-12-31,21.10亿,8.22%,20.41亿,7.02%,68.99亿,-1.55%,0.7000,7.11,2.86,1.54,2.32,31.17%,10.15%,9.89%,False,False,False,False,False,12.28,92.16%
002966,苏州银行,2018-03-31,6.47亿,False,6.13亿,False,17.87亿,False,0.2200,False,False,False,False,36.77%,False,False,False,False,False,False,False,False,False
002966,苏州银行,2018-06-30,12.95亿,20.61%,12.58亿,17.16%,37.15亿,-7.50%,0.4300,7.38,2.86,1.70,-0.41,36.45%,5.92%,5.63%,False,False,False,False,False,12.09,92.36%
002966,苏州银行,2018-09-30,18.72亿,False,False,False,56.85亿,False,0.6200,False,False,False,False,33.99%,False,False,False,False,False,False,False,False,False
002966,苏州银行,2018-12-31,22.42亿,6.26%,21.82亿,6.88%,77.37亿,12.16%,0.7500,7.85,2.86,2.01,-2.85,29.91%,10.08%,9.51%,False,False,False,False,False,12.16,92.10%
002966,苏州银行,2019-03-31,7.05亿,8.93%,7.03亿,14.59%,24.73亿,38.42%,0.2300,7.81,2.86,1.91,0.39,29.81%,False,3.01%,False,False,False,False,False,13.31,92.72%
002966,苏州银行,2019-06-30,14.30亿,10.44%,14.22亿,13.06%,48.41亿,30.32%,0.4800,8.05,2.86,2.15,-2.54,31.19%,6.06%,5.92%,False,False,False,False,False,13.06,92.59%
002966,苏州银行,2019-09-30,20.58亿,9.88%,20.45亿,False,71.20亿,25.26%,0.6700,8.21,3.25,2.13,-1.34,30.49%,8.42%,7.52%,False,False,False,False,False,11.70,91.83%
002966,苏州银行,2019-12-31,24.73亿,10.31%,24.50亿,12.29%,94.24亿,21.80%,0.7900,8.34,3.24,2.18,-4.17,27.70%,9.85%,8.90%,False,False,False,False,False,11.31,91.57%
002966,苏州银行,2020-03-31,7.75亿,10.06%,7.81亿,11.16%,26.52亿,7.22%,0.2300,8.44,3.24,2.12,-2.81,31.07%,2.75%,2.76%,False,False,False,False,False,12.52,92.32%
002966,苏州银行,2020-06-30,14.98亿,4.80%,15.07亿,5.99%,54.20亿,11.94%,0.4500,8.60,3.24,2.34,1.79,29.21%,5.27%,5.23%,False,False,False,False,False,12.23,92.09%
002966,苏州银行,2020-09-30,21.02亿,2.17%,20.87亿,2.03%,79.17亿,11.19%,0.6300,8.75,3.24,2.52,2.73,28.31%,7.36%,7.21%,False,False,False,False,False,12.21,92.08%
002966,苏州银行,2020-12-31,25.72亿,4.00%,25.41亿,3.70%,103.64亿,9.97%,0.7700,8.92,3.25,2.64,5.74,26.30%,8.96%,8.65%,False,False,False,False,False,12.00,91.95%
002966,苏州银行,2021-03-31,8.90亿,14.74%,8.76亿,12.12%,28.58亿,7.75%,0.2700,9.19,3.25,2.91,4.96,33.34%,2.95%,2.90%,False,False,False,False,False,13.04,92.55%
002966,苏州银行,2021-06-30,17.40亿,16.14%,16.99亿,12.75%,55.11亿,1.69%,0.5200,9.34,3.25,2.78,-2.26,33.40%,5.68%,5.59%,False,False,False,False,False,13.07,92.56%
002966,苏州银行,2021-09-30,24.62亿,17.12%,24.09亿,15.46%,80.95亿,2.25%,0.7400,9.58,3.25,3.00,-2.00,32.30%,7.97%,7.71%,False,False,False,False,False,12.86,92.45%
002966,苏州银行,2021-12-31,31.07亿,20.79%,30.45亿,19.84%,108.29亿,4.49%,0.8500,9.79,3.25,2.91,-2.29,30.36%,9.96%,9.52%,False,False,False,False,False,12.83,92.43%
002966,苏州银行,2022-03-31,10.73亿,20.56%,10.72亿,22.40%,30.01亿,5.01%,0.2900,10.12,3.25,3.23,4.70,36.94%,3.23%,2.92%,False,False,False,False,False,12.48,92.25%
002966,苏州银行,2022-06-30,21.77亿,25.08%,21.45亿,26.22%,59.54亿,8.05%,0.5900,9.27,2.86,2.99,3.73,37.85%,6.47%,5.88%,False,False,False,False,False,12.62,92.33%
002966,苏州银行,2022-09-30,31.00亿,25.92%,30.37亿,26.06%,90.25亿,11.49%,0.8500,9.45,2.86,3.24,0.07,35.90%,9.16%,8.15%,False,False,False,False,False,12.35,92.17%
002966,苏州银行,2022-12-31,39.18亿,26.13%,37.96亿,24.67%,117.63亿,8.62%,1.0700,9.69,2.86,3.15,0.16,35.00%,11.52%,10.17%,False,False,False,False,False,12.56,92.29%
002966,苏州银行,2023-03-31,12.96亿,20.84%,12.71亿,18.55%,31.58亿,5.26%,0.3200,10.07,2.86,3.48,5.94,42.78%,3.26%,3.25%,False,False,False,False,False,12.85,92.45%
002966,苏州银行,2023-06-30,26.34亿,21.00%,25.48亿,18.80%,62.70亿,5.30%,0.6900,10.17,2.86,3.51,8.17,43.66%,6.85%,6.09%,False,False,False,False,False,12.36,92.18%
002966,苏州银行,2023-09-30,37.62亿,21.36%,36.51亿,20.22%,91.88亿,1.81%,0.9900,10.39,2.86,3.82,6.72,42.68%,9.84%,8.46%,False,False,False,False,False,12.08,92.01%
002966,苏州银行,2023-12-31,46.01亿,17.41%,44.77亿,17.93%,118.66亿,0.88%,1.2200,10.77,2.86,3.74,4.49,40.43%,12.00%,10.12%,False,False,False,False,False,12.19,92.08%
002966,苏州银行,2024-03-31,14.55亿,12.29%,14.51亿,14.14%,32.25亿,2.11%,0.3700,11.18,2.86,4.11,5.04,46.67%,3.33%,3.10%,False,False,False,False,False,12.75,92.41%
002966,苏州银行,2024-06-30,29.53亿,12.10%,29.20亿,14.62%,63.88亿,1.88%,0.7400,11.25,2.86,4.09,8.63,47.65%,6.66%,6.25%,False,False,False,False,False,12.91,92.50%
002966,苏州银行,2024-09-30,41.79亿,11.09%,41.46亿,13.55%,92.89亿,1.10%,1.0800,11.40,2.87,4.42,6.59,46.61%,9.64%,8.66%,False,False,False,False,False,12.99,92.54%
002966,苏州银行,2024-12-31,50.68亿,10.16%,50.39亿,12.56%,122.24亿,3.01%,1.3100,11.46,3.00,4.03,2.86,43.14%,11.68%,9.58%,False,False,False,False,False,12.07,92.03%
002966,苏州银行,2025-03-31,15.54亿,6.80%,15.25亿,5.14%,32.50亿,0.76%,0.3400,10.90,3.42,3.78,2.43,49.54%,3.11%,2.69%,False,False,False,False,False,11.56,91.73%
002966,苏州银行,2025-06-30,31.34亿,6.15%,31.00亿,6.16%,65.04亿,1.81%,0.6600,11.09,3.42,3.84,3.64,49.80%,6.17%,5.35%,False,False,False,False,False,11.84,91.91%
002966,苏州银行,2025-09-30,44.77亿,7.12%,44.47亿,7.27%,94.77亿,2.02%,0.9600,11.22,3.43,4.14,6.28,49.08%,9.02%,7.57%,False,False,False,False,False,12.08,92.09%
002966,苏州银行,2025-12-31,53.48亿,5.53%,53.05亿,5.28%,123.56亿,1.08%,1.1400,11.19,3.43,3.77,2.48,45.15%,10.66%,8.76%,False,False,False,False,False,11.90,91.98%
002966,苏州银行,2026-03-31,16.82亿,8.23%,16.81亿,10.21%,36.05亿,10.94%,0.3500,11.59,3.43,4.12,8.37,48.44%,3.08%,2.68%,False,False,False,False,False,12.65,92.41%
