银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
600000,浦发银行,1996-12-31,6.29亿,False,False,False,42.16亿,False,False,1.58,0.02,0.24,False,14.92%,False,39.82%,1.16,1.16,0.16,40.18,97.57%
600000,浦发银行,1997-12-31,6.45亿,2.53%,False,False,53.28亿,26.37%,False,1.58,0.17,0.17,False,12.11%,False,20.34%,1.20,1.19,0.06,24.74,96.12%
600000,浦发银行,1998-12-31,7.81亿,21.02%,False,False,47.93亿,-10.04%,False,1.66,0.17,False,0.51,17.93%,False,25.78%,1.22,1.21,0.08,25.20,96.18%
600000,浦发银行,1999-06-30,5.06亿,False,False,False,19.68亿,False,False,1.91,0.17,0.25,False,25.70%,False,13.18%,1.32,1.29,0.14,21.71,95.60%
600000,浦发银行,1999-12-31,7.29亿,-6.59%,9.14亿,False,49.46亿,-16.93%,0.4390,3.23,1.61,0.02,0.40,23.27%,False,11.92%,1.21,1.18,0.13,12.22,92.06%
600000,浦发银行,2000-06-30,5.01亿,-0.99%,5.30亿,False,26.62亿,9.79%,False,3.45,1.61,0.24,0.30,24.54%,False,6.38%,1.17,1.16,0.08,12.65,92.68%
600000,浦发银行,2000-12-31,7.97亿,9.31%,9.58亿,4.72%,57.10亿,15.45%,False,3.09,1.61,0.21,0.70,16.77%,13.75%,12.87%,1.19,1.17,0.08,16.56,94.30%
600000,浦发银行,2001-06-30,5.35亿,6.77%,5.34亿,0.68%,27.94亿,21.50%,0.2220,3.29,1.61,0.41,0.38,16.54%,6.98%,6.74%,1.19,1.16,0.09,17.99,94.73%
600000,浦发银行,2001-09-30,8.22亿,False,8.25亿,False,43.77亿,False,False,3.41,1.61,0.53,False,16.12%,False,10.00%,1.20,1.15,0.09,18.80,94.95%
600000,浦发银行,2001-12-31,10.62亿,33.23%,10.68亿,11.56%,60.93亿,25.83%,0.4410,2.93,1.61,0.0100,0.78,14.78%,15.13%,15.03%,1.19,1.14,0.07,23.58,95.93%
600000,浦发银行,2002-03-31,2.66亿,False,False,False,15.53亿,False,False,3.04,1.61,0.12,False,14.58%,False,3.64%,1.14,1.11,0.08,23.16,95.86%
600000,浦发银行,2002-06-30,5.41亿,1.22%,5.40亿,1.21%,35.50亿,27.05%,0.2250,3.16,1.61,0.24,0.49,15.25%,7.38%,7.12%,1.13,1.10,0.06,26.48,96.36%
