银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
600015,华夏银行,2000-12-31,3.84亿,False,3.85亿,False,37.24亿,False,False,0.58,False,-0.42,False,10.30%,False,26.35%,False,False,0.84,0.83,0.03,67.59,98.54%
600015,华夏银行,2001-12-31,6.40亿,66.93%,False,False,53.30亿,43.13%,False,0.84,False,-0.16,False,12.01%,False,30.55%,False,False,0.83,0.82,0.01,63.44,98.45%
600015,华夏银行,2002-09-30,4.86亿,False,False,False,44.05亿,False,False,False,False,False,False,11.04%,False,False,False,False,False,False,False,False,False
600015,华夏银行,2002-12-31,7.06亿,10.20%,8.30亿,False,62.25亿,16.79%,False,1.44,False,0.37,8.83,11.33%,False,19.59%,False,False,0.84,0.83,0.07,48.47,97.98%
600015,华夏银行,2003-03-31,2.24亿,False,False,False,17.46亿,False,False,False,False,False,False,12.83%,False,False,False,False,False,False,False,False,False
600015,华夏银行,2003-06-30,3.95亿,False,4.66亿,False,38.36亿,False,False,1.60,False,0.53,-6.63,10.30%,False,9.89%,False,False,0.76,0.74,0.05,49.96,98.04%
600015,华夏银行,2003-09-30,6.61亿,35.86%,False,False,60.14亿,36.54%,False,2.78,1.27,0.46,-7.27,10.99%,False,6.80%,False,False,0.84,0.83,0.05,21.33,95.52%
600015,华夏银行,2003-12-31,8.02亿,13.61%,9.46亿,13.93%,84.79亿,36.21%,0.2900,2.46,1.27,0.05,-2.35,9.45%,15.53%,9.29%,False,False,0.88,0.86,0.02,27.61,96.50%
600015,华夏银行,2004-03-31,2.67亿,19.17%,3.02亿,False,23.33亿,33.65%,False,2.54,1.27,0.13,-1.72,11.44%,False,3.00%,False,False,0.88,0.86,0.03,26.11,96.31%
600015,华夏银行,2004-06-30,4.95亿,25.34%,5.72亿,22.67%,50.05亿,30.47%,0.1179,2.16,0.90,0.15,-0.48,9.90%,5.59%,5.45%,48.18,48.18,0.86,0.84,0.03,28.23,96.58%
600015,华夏银行,2004-09-30,7.91亿,19.72%,9.01亿,False,77.88亿,29.49%,False,2.23,0.90,0.22,-1.34,10.16%,False,8.43%,False,False,0.87,0.83,0.02,28.43,96.60%
600015,华夏银行,2004-12-31,10.17亿,26.86%,11.20亿,18.36%,108.27亿,27.69%,0.2421,2.29,0.90,0.24,3.95,9.39%,11.16%,10.58%,False,False,0.90,0.88,0.02,30.67,96.84%
600015,华夏银行,2005-03-31,3.12亿,16.91%,3.43亿,13.70%,30.01亿,28.61%,False,2.36,0.90,0.31,-3.69,10.40%,False,3.15%,False,False,0.88,0.85,0.03,29.08,96.68%
600015,华夏银行,2005-06-30,6.40亿,29.17%,6.97亿,21.82%,64.07亿,28.03%,0.1523,2.34,0.90,0.29,-2.71,9.99%,6.44%,6.51%,False,False,0.88,0.85,0.03,31.96,96.97%
600015,华夏银行,2005-09-30,11.06亿,39.76%,11.91亿,32.25%,99.56亿,27.84%,False,2.45,0.90,0.40,-0.68,11.11%,False,10.76%,False,False,0.85,0.83,0.04,31.46,96.92%
600015,华夏银行,2005-12-31,12.80亿,25.83%,14.46亿,29.21%,76.31亿,27.41%,0.3068,2.49,0.90,0.21,-1.57,9.34%,12.83%,12.33%,False,False,0.83,0.81,0.03,33.07,97.06%
600015,华夏银行,2006-03-31,3.75亿,20.24%,4.44亿,29.33%,23.05亿,-23.18%,0.0900,2.58,0.90,0.30,1.19,16.28%,False,3.46%,False,False,False,False,False,32.41,97.01%
600015,华夏银行,2006-06-30,7.45亿,16.49%,8.55亿,22.72%,82.29亿,28.43%,0.1800,2.56,0.90,0.28,3.48,9.06%,7.03%,6.94%,False,False,False,False,False,35.46,97.26%
600015,华夏银行,2006-09-30,12.66亿,14.47%,14.31亿,20.07%,72.85亿,-26.83%,0.3013,2.68,0.90,0.40,9.07,17.37%,False,11.25%,False,False,False,False,False,34.32,97.17%
