银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
600016,民生银行,1997-12-31,1.70亿,False,False,False,8.13亿,False,False,1.13,0.0100,0.08,False,20.91%,False,10.91%,0.92,0.92,0.03,10.89,91.59%
600016,民生银行,1998-12-31,1.98亿,16.58%,False,False,11.45亿,40.89%,False,1.17,0.0100,0.10,False,17.30%,False,12.23%,0.78,0.77,0.02,14.65,93.61%
600016,民生银行,1999-12-31,2.00亿,1.06%,False,False,16.24亿,7.70%,False,1.11,0.0100,False,0.13,19.03%,False,15.31%,0.81,0.80,0.03,22.88,95.81%
600016,民生银行,2000-06-30,1.59亿,False,False,False,10.33亿,False,False,1.26,0.0100,0.15,0.40,24.70%,False,11.84%,0.85,0.84,0.04,26.96,96.42%
600016,民生银行,2000-12-31,2.39亿,19.17%,4.09亿,False,27.10亿,66.84%,False,3.47,2.17,0.21,1.05,15.84%,25.36%,7.16%,0.95,0.92,0.01,10.35,91.19%
600016,民生银行,2001-03-31,1.65亿,False,False,False,8.89亿,False,False,False,False,False,False,18.60%,False,False,False,False,False,12.10,92.36%
600016,民生银行,2001-06-30,1.90亿,19.31%,3.02亿,False,20.47亿,98.11%,0.1300,2.60,1.44,0.11,6.75,14.77%,5.00%,5.17%,0.84,0.83,0.01,16.13,94.16%
600016,民生银行,2001-09-30,4.80亿,False,4.36亿,False,33.89亿,False,False,2.71,1.44,0.21,False,14.16%,False,8.05%,0.92,0.92,0.07,18.39,94.84%
600016,民生银行,2001-12-31,6.46亿,170.88%,6.33亿,54.99%,51.20亿,89.33%,0.2900,2.41,1.13,0.23,7.02,12.60%,12.25%,11.91%,0.89,0.88,0.0070,24.60,96.09%
600016,民生银行,2002-03-31,1.99亿,20.42%,False,False,13.54亿,52.29%,False,2.50,1.13,0.32,False,14.71%,False,3.54%,0.90,0.90,0.13,24.17,96.03%
600016,民生银行,2002-06-30,4.31亿,126.72%,4.30亿,42.19%,30.34亿,48.18%,0.1700,2.20,0.98,0.18,5.77,14.20%,7.64%,7.56%,0.91,0.90,0.0065,33.39,97.09%
600016,民生银行,2002-09-30,6.60亿,37.66%,6.54亿,50.16%,46.55亿,37.36%,False,2.29,0.98,0.26,False,14.19%,False,11.14%,0.86,0.86,0.02,35.43,97.26%
600016,民生银行,2002-12-31,8.72亿,34.88%,8.89亿,40.40%,72.14亿,40.90%,0.3400,2.32,0.98,0.24,13.68,12.36%,15.39%,14.85%,0.86,0.86,0.03,40.02,97.56%
600016,民生银行,2003-03-31,2.85亿,42.86%,False,False,20.66亿,52.58%,False,2.43,0.98,0.35,-6.87,13.77%,False,4.52%,0.80,0.80,0.02,39.45,97.53%
600016,民生银行,2003-06-30,6.49亿,50.68%,6.39亿,48.61%,49.16亿,61.97%,0.2100,1.98,0.68,0.22,0.51,12.99%,10.09%,9.61%,0.81,0.79,0.01,48.65,97.99%
600016,民生银行,2003-09-30,10.67亿,61.63%,10.53亿,60.93%,81.33亿,74.72%,False,2.15,0.73,0.34,9.72,12.96%,False,14.49%,0.76,0.75,0.01,48.35,97.97%
600016,民生银行,2003-12-31,13.91亿,59.58%,13.93亿,56.67%,120.50亿,66.87%,0.4100,2.66,1.12,0.41,6.94,11.56%,19.46%,14.42%,0.75,0.74,0.0072,36.42,97.33%
600016,民生银行,2004-03-31,4.60亿,61.62%,4.61亿,False,36.15亿,74.94%,False,3.05,1.42,0.51,-0.94,12.72%,False,3.94%,0.74,0.73,0.01,31.47,96.92%
600016,民生银行,2004-06-30,10.93亿,68.39%,10.94亿,71.14%,82.42亿,67.66%,0.2100,2.31,0.95,0.26,0.25,13.26%,9.76%,9.15%,0.73,0.72,0.03,32.98,97.06%
600016,民生银行,2004-09-30,15.70亿,47.14%,15.68亿,48.99%,128.20亿,57.64%,False,2.40,0.95,0.35,0.06,12.25%,False,12.62%,0.74,0.73,0.03,32.91,97.05%
600016,民生银行,2004-12-31,20.38亿,46.52%,20.24亿,45.33%,179.59亿,49.03%,0.4000,2.49,0.95,0.39,-2.91,11.35%,17.32%,15.79%,0.74,0.73,0.04,33.51,97.10%
600016,民生银行,2005-03-31,6.06亿,31.75%,6.07亿,31.73%,50.06亿,38.49%,False,2.61,0.95,0.50,2.42,12.10%,False,4.48%,0.73,0.72,0.05,33.61,97.11%
600016,民生银行,2005-06-30,12.68亿,16.03%,12.67亿,15.80%,112.41亿,36.39%,0.2000,2.22,0.80,0.30,5.51,11.28%,9.45%,9.18%,0.75,0.74,0.03,36.08,97.30%
600016,民生银行,2005-09-30,19.92亿,26.84%,19.90亿,26.88%,172.47亿,34.53%,False,2.36,0.82,0.41,-0.20,11.55%,False,13.43%,0.75,0.74,0.04,33.98,97.14%
600016,民生银行,2005-12-31,26.73亿,31.15%,27.01亿,33.42%,128.26亿,32.53%,0.3700,2.13,0.58,0.23,2.11,11.35%,19.18%,17.48%,0.76,0.74,0.04,35.04,97.23%
600016,民生银行,2006-03-31,7.54亿,24.41%,7.54亿,24.21%,34.18亿,-31.72%,False,2.19,0.58,0.30,-3.00,22.06%,False,4.74%,False,False,False,34.67,97.20%
600016,民生银行,2006-06-30,17.02亿,34.19%,17.34亿,36.89%,76.58亿,-31.87%,0.1400,1.63,0.24,0.19,-0.41,22.22%,10.68%,10.44%,False,False,False,36.66,97.34%
600016,民生银行,2006-09-30,25.30亿,27.02%,25.33亿,27.30%,119.52亿,-30.70%,0.2500,1.71,0.24,0.27,1.12,21.17%,False,14.54%,False,False,False,36.36,97.32%
600016,民生银行,2006-12-31,37.58亿,40.58%,38.31亿,41.84%,174.52亿,36.08%,0.3100,1.90,0.24,0.18,4.04,21.95%,22.35%,19.85%,False,False,False,35.28,97.24%
600016,民生银行,2007-03-31,11.05亿,46.63%,11.04亿,46.43%,49.15亿,43.83%,0.1100,2.01,0.23,0.29,-3.56,22.49%,False,5.42%,False,False,False,32.95,97.05%
600016,民生银行,2007-06-30,28.21亿,65.81%,28.14亿,62.29%,112.90亿,47.42%,0.2300,2.96,1.12,0.32,-0.90,24.99%,12.80%,6.57%,False,False,False,18.86,94.96%
600016,民生银行,2007-09-30,43.12亿,70.44%,42.82亿,69.03%,179.77亿,50.41%,0.3300,3.12,1.12,0.42,0.26,23.99%,False,9.54%,False,False,False,19.89,95.21%
600016,民生银行,2007-12-31,63.35亿,68.57%,62.98亿,64.40%,253.01亿,44.98%,0.4800,3.47,1.12,0.33,-0.81,25.04%,18.23%,12.62%,False,False,False,17.33,94.54%
