银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
600908,无锡银行,2011-12-31,7.27亿,False,7.39亿,False,17.17亿,False,0.4800,3.52,0.69,0.14,4.96,42.80%,18.94%,17.14%,13.10,92.71%
600908,无锡银行,2012-12-31,8.65亿,19.01%,8.63亿,16.75%,19.92亿,16.03%,0.5200,2.98,0.22,0.13,2.62,43.57%,18.98%,17.46%,13.71,93.03%
600908,无锡银行,2013-12-31,9.25亿,6.98%,9.05亿,4.87%,20.59亿,3.39%,0.5600,3.39,0.22,0.14,-0.80,45.26%,17.65%,16.40%,13.82,93.10%
600908,无锡银行,2014-12-31,9.26亿,0.03%,8.82亿,-2.59%,22.78亿,10.64%,0.5600,3.86,0.22,0.13,5.34,40.28%,15.83%,14.43%,15.27,93.74%
600908,无锡银行,2015-06-30,4.28亿,False,4.56亿,False,12.11亿,False,0.2600,4.01,0.22,0.26,3.59,34.68%,6.51%,6.42%,15.42,93.81%
600908,无锡银行,2015-09-30,6.39亿,False,6.85亿,False,17.86亿,False,0.3800,False,False,False,0.75,35.45%,9.66%,False,False,False
600908,无锡银行,2015-12-31,8.33亿,-9.97%,8.89亿,0.86%,23.97亿,5.19%,0.5000,4.33,0.22,0.09,6.98,34.17%,12.30%,11.56%,15.01,93.66%
600908,无锡银行,2016-03-31,2.16亿,False,2.18亿,False,5.94亿,False,0.1300,4.47,0.22,0.22,-0.76,35.77%,2.94%,2.90%,14.65,93.52%
600908,无锡银行,2016-06-30,4.73亿,10.50%,4.74亿,3.87%,12.28亿,1.36%,0.2800,4.61,0.22,0.38,1.17,38.21%,6.36%,6.17%,14.40,93.42%
600908,无锡银行,2016-09-30,6.98亿,9.22%,7.00亿,2.14%,19.03亿,6.59%,0.4200,4.72,0.53,0.46,-1.45,36.70%,9.23%,8.01%,12.68,92.60%
