银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
600919,江苏银行,2006-12-31,4.46亿,False,False,False,52.33亿,False,False,False,0.09,0.06,False,8.53%,False,False,1.02,1.02,1.12,1.10,0.06,15.86,94.07%
600919,江苏银行,2007-12-31,14.77亿,230.99%,False,False,48.77亿,-6.80%,0.1900,False,0.09,0.06,False,30.29%,False,False,False,False,False,False,False,16.37,94.24%
600919,江苏银行,2008-12-31,22.51亿,52.40%,False,False,71.90亿,47.43%,0.2900,False,0.11,0.20,False,31.31%,False,False,False,False,False,False,False,19.06,95.01%
600919,江苏银行,2009-06-30,14.21亿,False,False,False,40.38亿,False,False,False,0.12,0.20,False,35.20%,False,False,False,False,False,False,False,21.91,95.64%
600919,江苏银行,2009-12-31,26.21亿,16.44%,False,False,84.28亿,17.22%,0.3300,False,0.26,0.12,False,31.10%,False,False,False,False,False,False,False,20.98,95.45%
600919,江苏银行,2010-12-31,41.85亿,59.67%,False,False,114.48亿,35.83%,0.4700,False,0.54,0.41,False,36.56%,False,False,False,False,False,False,False,17.97,94.73%
600919,江苏银行,2011-06-30,29.18亿,False,False,False,77.05亿,False,0.3200,False,0.54,0.68,False,37.87%,False,False,False,False,False,False,False,17.36,94.55%
600919,江苏银行,2011-12-31,58.34亿,39.38%,56.40亿,False,165.24亿,44.35%,0.6400,3.06,0.54,0.79,0.23,35.31%,22.77%,20.98%,False,False,False,False,False,17.49,94.59%
600919,江苏银行,2012-12-31,70.39亿,20.67%,69.52亿,23.26%,198.42亿,20.08%,0.7700,3.75,0.54,0.95,6.52,35.52%,22.72%,20.61%,False,False,False,False,False,18.04,94.73%
600919,江苏银行,2013-12-31,81.86亿,16.28%,80.64亿,16.00%,223.26亿,12.51%,0.8600,4.60,0.97,1.30,5.03,36.73%,21.69%,17.14%,False,False,False,False,False,14.99,93.73%
600919,江苏银行,2014-12-31,86.85亿,6.10%,86.65亿,7.46%,253.26亿,13.44%,0.8400,5.38,0.97,1.57,16.89,34.35%,16.76%,15.53%,False,False,False,False,False,17.56,94.60%
600919,江苏银行,2015-03-31,False,False,24.14亿,False,66.37亿,False,0.2300,False,False,False,False,36.44%,4.22%,False,False,False,False,False,False,False,False
600919,江苏银行,2015-06-30,49.18亿,False,49.20亿,False,138.54亿,False,0.4700,False,False,False,False,35.53%,8.40%,False,False,False,False,False,False,False,False
600919,江苏银行,2015-09-30,73.51亿,False,73.30亿,False,210.43亿,False,0.7100,False,False,False,False,34.97%,12.39%,False,False,False,False,False,False,False,False
600919,江苏银行,2015-12-31,94.97亿,9.36%,94.76亿,9.36%,280.47亿,10.74%,0.9100,6.27,0.97,1.85,14.30,33.89%,15.72%,14.58%,False,False,False,False,False,18.80,94.92%
600919,江苏银行,2016-03-31,26.87亿,False,26.67亿,10.49%,80.42亿,21.16%,0.2600,False,False,False,False,33.48%,4.04%,False,False,False,False,False,False,False,94.93%
