银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
600926,杭州银行,2003-12-31,1.88亿,False,False,False,10.83亿,False,False,False,0.15,0.23,False,17.37%,False,False,2.30,2.30,0.73,0.70,0.12,26.48,96.36%
600926,杭州银行,2004-12-31,2.02亿,7.13%,False,False,13.91亿,28.43%,False,False,0.15,0.26,False,14.49%,False,False,1.51,1.51,0.65,0.65,0.04,24.19,96.03%
600926,杭州银行,2005-12-31,4.90亿,142.89%,False,False,13.40亿,-3.72%,0.4600,False,0.41,0.27,False,36.56%,False,False,False,False,False,False,False,17.62,94.63%
600926,杭州银行,2006-12-31,5.95亿,21.59%,False,False,17.15亿,28.03%,0.4700,False,0.51,0.39,False,34.71%,False,False,False,False,False,False,False,16.79,94.38%
600926,杭州银行,2007-12-31,8.48亿,42.37%,False,False,21.81亿,27.18%,False,False,0.55,0.72,False,38.86%,False,False,False,False,False,False,False,17.04,94.46%
600926,杭州银行,2008-06-30,7.15亿,False,False,False,14.09亿,False,0.5400,False,0.56,0.96,False,50.73%,False,False,False,False,False,False,False,17.95,94.72%
600926,杭州银行,2008-12-31,12.77亿,50.70%,False,False,31.47亿,44.29%,0.9700,False,0.56,1.16,False,40.59%,False,False,False,False,False,False,False,19.71,95.17%
600926,杭州银行,2009-12-31,13.66亿,6.90%,False,False,36.59亿,16.27%,1.0000,False,2.94,1.29,False,37.32%,False,False,False,False,False,False,False,13.47,93.09%
600926,杭州银行,2010-06-30,9.29亿,False,False,False,23.30亿,False,False,False,2.94,1.65,False,39.88%,False,False,False,False,False,False,False,14.55,93.57%
600926,杭州银行,2010-12-31,19.11亿,39.96%,False,False,50.16亿,37.07%,1.1400,False,2.94,1.78,False,38.10%,False,False,False,False,False,False,False,17.21,94.51%
600926,杭州银行,2011-06-30,13.82亿,48.66%,False,False,33.38亿,43.25%,0.8300,False,2.94,2.41,False,41.33%,False,False,False,False,False,False,False,17.28,94.51%
600926,杭州银行,2011-12-31,26.91亿,40.81%,26.77亿,False,75.13亿,49.78%,1.6100,8.63,2.99,2.94,-4.89,35.83%,20.58%,18.72%,False,False,False,False,False,15.96,94.09%
600926,杭州银行,2012-12-31,35.52亿,31.98%,35.40亿,32.22%,97.88亿,30.28%,1.7700,10.44,2.94,3.41,26.15,36.35%,22.43%,20.35%,False,False,False,False,False,17.61,94.61%
600926,杭州银行,2013-12-31,37.88亿,6.66%,37.73亿,6.60%,97.75亿,-0.13%,1.8900,12.29,2.94,5.24,-10.19,38.86%,20.02%,18.44%,False,False,False,False,False,15.55,93.94%
600926,杭州银行,2014-12-31,35.06亿,-7.44%,35.28亿,-6.50%,110.27亿,12.81%,1.7500,12.00,2.87,4.88,4.13,31.84%,15.67%,13.44%,False,False,False,False,False,15.04,93.75%
600926,杭州银行,2015-06-30,22.04亿,False,22.09亿,False,62.88亿,False,1.0100,12.65,3.41,5.24,8.71,35.08%,8.13%,7.39%,False,False,False,False,False,15.52,93.94%
600926,杭州银行,2015-09-30,31.33亿,False,31.41亿,False,94.61亿,False,1.4000,False,False,False,False,33.13%,11.29%,False,False,False,False,False,False,False,False
600926,杭州银行,2015-12-31,37.04亿,5.65%,36.82亿,4.35%,124.04亿,12.49%,1.6400,13.51,3.41,4.78,14.81,29.87%,12.84%,11.64%,False,False,False,False,False,16.13,94.15%
600926,杭州银行,2016-03-31,12.16亿,False,12.19亿,False,34.40亿,False,0.5200,False,False,False,-3.28,35.35%,3.76%,False,False,False,False,False,False,False,False
600926,杭州银行,2016-06-30,23.47亿,6.47%,23.62亿,6.90%,68.03亿,8.19%,0.7100,14.38,3.41,5.78,3.09,34.00%,7.14%,6.93%,False,False,False,False,False,15.73,94.02%
600926,杭州银行,2016-09-30,33.57亿,7.15%,33.57亿,6.89%,107.20亿,13.31%,1.0200,14.74,3.41,6.21,21.77,30.99%,10.09%,9.67%,False,False,False,False,False,17.27,94.53%
600926,杭州银行,2016-12-31,40.21亿,8.54%,40.27亿,9.37%,137.33亿,10.71%,1.2000,14.73,4.35,4.83,31.80,29.03%,11.83%,10.43%,False,False,False,False,False,17.68,94.65%
600926,杭州银行,2017-03-31,13.10亿,7.76%,13.09亿,7.38%,32.56亿,-5.40%,0.3600,15.18,4.35,5.33,-5.80,40.26%,3.35%,3.30%,False,False,False,False,False,17.63,94.63%
600926,杭州银行,2017-06-30,25.31亿,7.86%,25.24亿,6.86%,65.85亿,-3.24%,0.4900,10.96,2.82,3.93,4.54,38.45%,6.39%,6.30%,False,False,False,False,False,17.77,94.67%
600926,杭州银行,2017-09-30,36.66亿,9.20%,36.57亿,8.93%,102.11亿,-4.78%,0.7100,11.26,2.82,4.24,15.96,35.91%,9.17%,8.88%,False,False,False,False,False,18.33,94.83%
600926,杭州银行,2017-12-31,45.50亿,13.17%,45.39亿,12.73%,141.22亿,2.83%,0.8900,11.42,2.82,3.98,17.49,32.22%,11.34%,10.87%,False,False,False,False,False,15.08,93.78%
600926,杭州银行,2018-03-31,15.22亿,16.17%,15.20亿,16.17%,41.81亿,28.41%,0.3000,11.92,2.82,4.39,3.39,36.41%,3.56%,3.49%,False,False,False,False,False,14.71,93.63%
600926,杭州银行,2018-06-30,30.18亿,19.25%,30.17亿,19.56%,83.19亿,26.33%,0.5900,8.65,2.82,4.50,1.31,36.28%,6.94%,6.81%,False,False,False,False,False,14.77,93.66%
600926,杭州银行,2018-09-30,44.12亿,20.37%,44.10亿,20.60%,127.51亿,24.88%,0.8600,8.94,1.73,3.49,-5.59,34.60%,10.05%,9.62%,False,False,False,False,False,14.58,93.58%
600926,杭州银行,2018-12-31,54.12亿,18.94%,54.25亿,19.53%,170.54亿,20.77%,0.9500,9.20,1.73,3.23,2.55,31.73%,11.01%,10.37%,False,False,False,False,False,15.11,93.79%
600926,杭州银行,2019-03-31,18.15亿,19.25%,18.14亿,19.33%,52.94亿,26.64%,0.3500,9.66,1.73,3.64,-4.79,34.28%,3.73%,3.66%,False,False,False,False,False,14.70,93.63%
600926,杭州银行,2019-06-30,36.29亿,20.22%,36.23亿,20.08%,104.60亿,25.73%,0.7100,9.70,1.73,3.74,-1.60,34.69%,7.38%,7.29%,False,False,False,False,False,14.85,93.69%
600926,杭州银行,2019-09-30,53.06亿,20.25%,52.96亿,20.08%,160.47亿,25.85%,1.0300,10.04,1.73,4.07,3.53,33.07%,10.68%,10.30%,False,False,False,False,False,14.95,93.73%
600926,杭州银行,2019-12-31,66.02亿,21.99%,65.98亿,21.61%,214.09亿,25.53%,1.1900,10.25,1.73,3.92,8.83,30.84%,12.15%,11.57%,False,False,False,False,False,15.37,93.89%
600926,杭州银行,2020-03-31,21.65亿,19.26%,21.81亿,20.20%,66.37亿,25.36%,0.4200,10.82,1.73,4.34,-5.97,32.61%,4.01%,2.99%,False,False,False,False,False,13.35,93.03%
600926,杭州银行,2020-06-30,40.68亿,12.11%,40.83亿,12.69%,128.54亿,22.89%,0.7500,10.40,2.56,3.73,0.58,31.65%,7.14%,6.60%,False,False,False,False,False,12.62,92.66%
600926,杭州银行,2020-09-30,55.77亿,5.11%,55.91亿,5.58%,186.52亿,16.24%,1.0000,10.54,2.56,3.98,-1.13,29.90%,9.57%,8.92%,False,False,False,False,False,12.98,92.85%
600926,杭州银行,2020-12-31,71.36亿,8.09%,71.30亿,8.07%,248.06亿,15.87%,1.1700,10.77,2.56,3.83,3.16,28.77%,11.14%,10.36%,False,False,False,False,False,13.46,93.08%
600926,杭州银行,2021-03-31,25.18亿,16.33%,25.14亿,15.30%,75.77亿,14.15%,0.3800,11.13,2.56,4.21,0.32,33.24%,3.44%,3.03%,False,False,False,False,False,13.80,93.24%
600926,杭州银行,2021-06-30,50.07亿,23.07%,49.69亿,21.72%,148.76亿,15.73%,0.8000,11.52,2.56,4.27,-2.87,33.66%,7.09%,6.91%,False,False,False,False,False,14.09,93.37%
600926,杭州银行,2021-09-30,70.36亿,26.16%,69.85亿,24.92%,223.77亿,19.97%,1.1400,11.95,2.56,4.53,-7.98,31.44%,9.99%,9.52%,False,False,False,False,False,14.14,93.40%
600926,杭州银行,2021-12-31,92.61亿,29.77%,91.75亿,28.68%,293.61亿,18.36%,1.4300,12.33,2.56,4.25,-9.44,31.54%,12.33%,11.57%,False,False,False,False,False,14.44,93.52%
600926,杭州银行,2022-03-31,33.09亿,31.39%,32.37亿,28.73%,87.69亿,15.73%,0.5100,12.81,2.56,4.75,-2.85,37.73%,4.05%,3.56%,False,False,False,False,False,14.67,93.62%
600926,杭州银行,2022-06-30,65.93亿,31.67%,64.60亿,29.99%,173.02亿,16.31%,1.0600,13.04,2.56,4.94,3.39,38.10%,8.31%,8.16%,False,False,False,False,False,15.26,93.85%
600926,杭州银行,2022-09-30,92.75亿,31.82%,91.17亿,30.53%,260.62亿,16.47%,1.5200,13.53,2.56,5.39,0.20,35.59%,11.71%,11.20%,False,False,False,False,False,15.09,93.78%
600926,杭州银行,2022-12-31,116.79亿,26.11%,114.02亿,24.26%,329.32亿,12.16%,1.8300,13.76,2.56,5.09,15.34,35.47%,14.09%,13.32%,False,False,False,False,False,15.40,93.90%
600926,杭州银行,2023-03-31,42.39亿,28.11%,41.74亿,28.97%,94.31亿,7.55%,0.6700,14.49,2.56,5.75,1.13,44.95%,4.72%,4.60%,False,False,False,False,False,15.48,93.93%
600926,杭州银行,2023-06-30,83.26亿,26.29%,81.73亿,26.52%,183.56亿,6.09%,1.3600,14.90,2.56,6.04,-2.88,45.36%,9.33%,9.10%,False,False,False,False,False,15.56,93.96%
600926,杭州银行,2023-09-30,116.92亿,26.06%,114.14亿,25.20%,274.32亿,5.26%,1.9200,15.41,2.56,6.60,3.33,42.62%,13.12%,12.48%,False,False,False,False,False,15.52,93.95%
600926,杭州银行,2023-12-31,143.83亿,23.15%,140.39亿,23.13%,350.16亿,6.33%,2.3100,15.90,2.56,6.46,12.18,41.08%,15.57%,14.52%,False,False,False,False,False,15.54,93.96%
