银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
600928,西安银行,2005-12-31,False,False,False,False,False,False,False,False,False,0.10,False,False,False,False,20.56,95.36%
600928,西安银行,2006-12-31,1.08亿,False,False,False,30.18亿,False,False,False,0.0029,0.11,False,3.57%,False,False,18.14,94.78%
600928,西安银行,2007-12-31,1.12亿,4.42%,False,False,36.26亿,20.15%,False,False,0.0029,0.07,False,3.10%,False,False,20.33,95.31%
600928,西安银行,2008-12-31,6.76亿,501.83%,False,False,22.67亿,-37.46%,False,False,0.0038,0.0083,False,29.82%,False,False,27.23,96.46%
600928,西安银行,2009-12-31,7.16亿,5.89%,False,False,17.13亿,-24.44%,False,False,0.0043,0.24,False,41.78%,False,False,15.20,93.83%
600928,西安银行,2010-12-31,8.26亿,15.38%,False,False,17.80亿,10.65%,0.2800,False,-0.0026,0.28,False,43.56%,False,False,17.14,94.48%
600928,西安银行,2011-12-31,11.07亿,34.03%,False,False,26.13亿,46.84%,0.3700,False,-0.0001,0.43,False,42.37%,False,False,18.53,94.88%
600928,西安银行,2012-12-31,14.55亿,31.41%,False,False,31.13亿,19.11%,False,False,0.0040,0.85,False,46.77%,False,False,17.03,94.45%
600928,西安银行,2013-12-31,16.31亿,12.07%,14.87亿,False,34.32亿,10.27%,0.5435,2.74,0.04,1.05,0.97,47.55%,22.08%,19.81%,15.23,93.80%
600928,西安银行,2014-12-31,18.07亿,10.82%,18.07亿,21.51%,41.04亿,19.58%,0.6023,3.25,0.04,1.46,-1.83,44.11%,20.22%,18.51%,14.49,93.50%
600928,西安银行,2015-06-30,10.01亿,False,False,False,21.68亿,False,False,False,0.53,1.13,False,46.15%,False,False,8.95,89.91%
600928,西安银行,2015-09-30,13.75亿,False,False,False,33.34亿,False,False,False,0.54,1.22,False,41.24%,False,False,9.21,90.21%
600928,西安银行,2015-12-31,19.90亿,10.11%,18.82亿,4.15%,47.08亿,14.71%,0.5700,3.59,0.53,1.38,-0.14,42.35%,16.64%,13.86%,13.63,93.13%
600928,西安银行,2016-03-31,6.03亿,False,False,False,11.52亿,False,False,False,0.53,1.52,False,52.38%,False,False,10.71,91.46%
600928,西安银行,2016-06-30,10.18亿,1.68%,10.16亿,False,22.75亿,4.91%,0.2544,3.74,0.53,1.27,-4.65,44.68%,6.91%,6.81%,11.37,91.88%
600928,西安银行,2016-09-30,15.02亿,9.20%,False,False,32.19亿,-3.46%,False,False,0.53,1.39,False,46.66%,False,False,11.22,91.82%
600928,西安银行,2016-12-31,20.11亿,1.09%,19.78亿,5.10%,45.18亿,-4.04%,0.5000,3.98,0.53,1.39,-0.05,44.57%,13.33%,12.65%,12.70,92.67%
600928,西安银行,2017-03-31,5.81亿,-3.74%,False,False,11.34亿,-1.51%,False,False,0.53,1.53,False,51.19%,False,False,11.89,92.24%
600928,西安银行,2017-06-30,10.98亿,7.88%,False,False,23.10亿,1.57%,False,False,0.53,1.61,False,46.54%,False,False,11.27,91.83%
600928,西安银行,2017-09-30,16.53亿,10.05%,16.48亿,False,35.16亿,9.23%,False,False,False,False,False,46.36%,False,False,False,False
600928,西安银行,2017-12-31,21.31亿,5.96%,20.24亿,2.29%,49.26亿,9.04%,0.5300,4.42,0.53,1.75,3.16,42.65%,12.66%,12.06%,12.24,92.43%
600928,西安银行,2018-03-31,6.08亿,4.74%,6.08亿,False,13.11亿,14.61%,0.1500,4.58,0.54,1.90,-4.42,46.67%,3.38%,3.31%,10.80,91.53%
600928,西安银行,2018-06-30,12.00亿,9.32%,11.80亿,False,26.76亿,15.81%,0.3000,4.68,0.53,2.00,-2.26,44.97%,6.59%,6.41%,11.74,92.13%
600928,西安银行,2018-09-30,18.04亿,9.14%,17.84亿,8.24%,43.29亿,22.32%,0.4500,4.85,0.53,2.15,-5.48,41.86%,False,9.28%,11.10,91.74%
600928,西安银行,2018-12-31,23.62亿,10.82%,23.40亿,15.62%,59.76亿,21.31%,0.5900,4.99,0.53,2.22,-4.44,39.58%,12.61%,11.84%,11.20,91.79%
600928,西安银行,2019-03-31,7.00亿,15.02%,6.99亿,14.95%,16.98亿,29.47%,0.1700,5.08,0.83,2.07,-0.07,41.28%,3.37%,3.10%,10.17,91.03%
