银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601009,南京银行,2002-12-31,1.06亿,False,False,False,9.12亿,False,False,False,0.03,-0.12,False,11.61%,False,False,0.60,0.57,0.02,20.30,95.31%
601009,南京银行,2003-12-31,1.70亿,60.03%,False,False,10.10亿,10.68%,False,False,0.03,0.0021,False,16.79%,False,False,0.78,0.76,0.03,21.45,95.55%
601009,南京银行,2004-12-31,2.18亿,28.61%,2.10亿,False,8.43亿,-16.54%,0.1800,1.38,0.0100,0.25,4.52,25.87%,13.84%,13.09%,False,False,False,21.99,95.65%
601009,南京银行,2005-12-31,3.67亿,68.42%,3.30亿,56.79%,12.19亿,44.73%,0.3000,1.74,0.07,0.25,3.72,30.11%,19.48%,17.45%,False,False,False,22.09,95.67%
601009,南京银行,2006-06-30,3.16亿,False,False,False,7.42亿,False,0.2600,False,False,False,False,42.57%,False,False,False,False,False,False,False
601009,南京银行,2006-12-31,5.95亿,61.95%,6.03亿,82.88%,15.09亿,23.75%,0.4900,2.16,0.08,0.53,1.91,39.40%,25.31%,22.77%,False,False,False,21.20,95.50%
601009,南京银行,2007-03-31,1.51亿,False,False,False,4.32亿,False,0.1300,False,False,False,False,34.97%,False,False,False,False,False,False,False
601009,南京银行,2007-06-30,3.49亿,10.62%,3.49亿,False,8.25亿,11.21%,0.2900,2.27,-0.0061,0.72,3.68,42.34%,13.05%,12.77%,False,False,False,26.59,96.38%
601009,南京银行,2007-09-30,6.47亿,False,6.49亿,False,14.02亿,False,0.4800,5.30,3.30,0.64,0.56,46.14%,False,14.59%,False,False,False,7.28,87.92%
601009,南京银行,2007-12-31,9.09亿,52.95%,8.87亿,47.17%,19.26亿,27.61%,0.6200,5.41,3.27,0.73,0.42,47.23%,15.95%,9.15%,False,False,False,6.65,86.93%
601009,南京银行,2008-03-31,4.10亿,171.51%,4.11亿,False,7.17亿,65.95%,0.2200,5.68,3.32,0.91,2.73,57.21%,False,3.93%,False,False,False,7.35,88.03%
601009,南京银行,2008-06-30,7.88亿,125.63%,7.90亿,126.03%,14.68亿,77.94%,0.4300,5.55,3.28,0.82,1.06,53.69%,7.62%,7.74%,False,False,False,7.84,88.69%
601009,南京银行,2008-09-30,12.13亿,87.49%,12.04亿,85.51%,22.71亿,61.98%,0.6600,5.85,3.35,1.05,3.10,53.41%,0.0000%,11.28%,False,False,False,7.83,88.68%
601009,南京银行,2008-12-31,14.56亿,60.10%,14.41亿,62.39%,32.24亿,67.40%,0.7900,6.15,3.52,1.18,3.37,45.17%,13.71%,12.89%,False,False,False,7.29,87.89%
601009,南京银行,2009-03-31,4.13亿,0.68%,4.14亿,0.70%,8.87亿,23.65%,0.2200,6.35,3.49,1.26,2.40,46.55%,0.0000%,3.54%,False,False,False,8.63,89.58%
601009,南京银行,2009-06-30,8.01亿,1.56%,8.01亿,1.40%,17.42亿,18.62%,0.3400,6.22,3.45,1.17,3.57,45.98%,6.88%,7.00%,False,False,False,10.34,91.15%
601009,南京银行,2009-09-30,12.24亿,0.91%,12.25亿,1.74%,25.96亿,14.29%,0.5100,6.38,3.38,1.40,4.70,47.17%,0.0000%,10.44%,False,False,False,11.49,91.91%
601009,南京银行,2009-12-31,15.44亿,6.02%,15.41亿,6.99%,36.28亿,12.53%,0.6100,6.55,3.38,1.24,6.20,42.58%,13.23%,12.82%,False,False,False,11.41,91.86%
601009,南京银行,2010-03-31,5.87亿,42.17%,5.87亿,42.00%,12.09亿,36.35%,0.2000,6.91,3.42,1.56,9.11,48.62%,4.75%,4.62%,False,False,False,12.67,92.61%
601009,南京银行,2010-06-30,11.97亿,49.53%,11.94亿,49.06%,25.63亿,47.18%,0.4700,5.48,2.62,1.15,9.03,46.79%,9.46%,9.14%,False,False,False,13.97,93.26%
601009,南京银行,2010-09-30,18.27亿,49.24%,18.25亿,49.00%,39.55亿,52.34%,0.7200,5.75,2.62,1.42,8.33,46.30%,14.15%,13.32%,False,False,False,13.47,93.02%
601009,南京银行,2010-12-31,23.11亿,49.70%,23.05亿,49.54%,53.06亿,46.25%,0.9000,6.34,3.47,1.08,8.91,43.70%,17.21%,12.27%,False,False,False,10.75,91.44%
601009,南京银行,2011-03-31,7.85亿,33.60%,7.85亿,33.63%,16.71亿,38.19%,0.2600,6.60,3.46,1.34,0.60,47.21%,4.08%,4.00%,False,False,False,11.28,91.80%
601009,南京银行,2011-06-30,15.89亿,32.76%,15.87亿,32.92%,34.91亿,36.19%,0.5400,6.65,3.44,1.41,4.87,45.79%,8.11%,8.04%,False,False,False,12.34,92.45%
