银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601077,渝农商行,2006-12-31,5.04亿,False,False,False,44.70亿,False,False,False,0.02,False,False,11.28%,False,False,5.41,5.41,0.71,0.71,0.04,27.73,96.52%
601077,渝农商行,2007-12-31,6.56亿,30.01%,False,False,64.64亿,44.60%,False,False,0.02,False,False,10.14%,False,False,3.88,3.88,0.81,0.81,0.28,33.21,97.08%
601077,渝农商行,2008-06-30,10.66亿,False,False,False,28.17亿,False,False,False,False,False,False,37.84%,False,False,False,False,False,False,False,False,False
601077,渝农商行,2008-12-31,7.02亿,7.05%,False,False,29.77亿,37.00%,False,False,False,False,False,8.20%,False,False,2.61,2.61,0.66,0.66,0.08,19.23,95.06%
601077,渝农商行,2009-06-30,4.86亿,-54.37%,False,False,51.07亿,81.31%,False,False,False,0.08,False,9.52%,False,False,1.68,1.68,0.61,0.61,0.05,20.83,95.42%
601077,渝农商行,2009-12-31,19.37亿,176.03%,False,False,57.74亿,93.97%,False,False,0.0100,0.36,False,33.55%,False,False,False,False,False,False,False,21.41,95.54%
601077,渝农商行,2010-12-31,31.13亿,60.70%,False,False,78.11亿,35.27%,0.4500,False,0.85,0.31,False,39.82%,False,False,False,False,False,False,False,12.03,92.29%
601077,渝农商行,2011-12-31,42.71亿,37.20%,False,False,110.24亿,41.13%,0.4600,False,0.92,0.42,False,38.76%,False,False,False,False,False,False,False,11.56,91.99%
601077,渝农商行,2012-12-31,53.61亿,25.54%,False,False,135.54亿,22.95%,0.5800,False,0.93,0.53,False,39.68%,False,False,False,False,False,False,False,12.76,92.66%
601077,渝农商行,2013-12-31,59.91亿,11.74%,False,False,162.10亿,19.60%,0.6400,False,0.92,0.66,False,37.11%,False,False,False,False,False,False,False,13.00,92.74%
601077,渝农商行,2014-12-31,68.28亿,13.98%,67.84亿,False,197.10亿,21.59%,0.7300,4.41,0.93,1.03,5.30,34.57%,17.78%,16.66%,False,False,False,False,False,14.05,93.14%
601077,渝农商行,2015-12-31,72.23亿,5.78%,71.83亿,5.88%,217.75亿,10.48%,0.7800,4.98,0.93,1.35,9.24,33.19%,16.55%,15.59%,False,False,False,False,False,14.43,93.32%
