银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601128,常熟银行,2006-12-31,2.64亿,False,False,False,5.56亿,False,0.5100,False,0.02,0.58,False,47.54%,False,False,21.67,95.59%
601128,常熟银行,2007-12-31,3.48亿,31.69%,False,False,6.98亿,25.66%,0.6700,False,0.51,0.50,False,49.76%,False,False,15.19,93.81%
601128,常熟银行,2008-12-31,4.46亿,28.25%,False,False,9.42亿,34.90%,0.7800,False,0.69,0.44,False,47.27%,False,False,14.53,93.47%
601128,常熟银行,2009-12-31,4.81亿,7.72%,False,False,9.75亿,3.49%,0.5600,False,0.53,0.41,False,49.53%,False,False,14.78,93.58%
601128,常熟银行,2010-12-31,5.66亿,17.74%,False,False,13.96亿,43.19%,0.6600,False,0.92,0.37,False,40.92%,False,False,11.92,92.10%
601128,常熟银行,2011-12-31,7.90亿,39.46%,7.62亿,False,19.87亿,42.28%,0.5200,3.16,0.34,0.48,6.18,40.16%,18.03%,16.44%,13.90,93.18%
601128,常熟银行,2012-12-31,8.73亿,10.53%,8.82亿,15.72%,23.35亿,17.54%,0.4400,3.71,0.31,0.71,-0.91,37.96%,16.74%,15.49%,12.15,92.27%
601128,常熟银行,2013-12-31,9.81亿,12.43%,9.73亿,10.31%,23.65亿,1.26%,0.4900,3.85,0.31,0.72,-0.17,42.10%,17.39%,16.79%,13.41,92.83%
601128,常熟银行,2014-12-31,9.99亿,1.79%,9.94亿,2.21%,30.68亿,29.73%,0.5000,4.68,0.31,0.68,8.73,32.61%,15.30%,14.03%,13.25,92.75%
601128,常熟银行,2015-06-30,4.92亿,False,4.87亿,False,15.00亿,False,0.2500,3.74,0.0020,0.67,-0.65,33.29%,6.70%,6.57%,12.94,92.52%
601128,常熟银行,2015-09-30,7.29亿,False,7.27亿,False,23.92亿,False,0.3600,False,False,False,False,31.14%,9.83%,False,False,False
601128,常熟银行,2015-12-31,9.66亿,-3.28%,9.61亿,-3.27%,34.92亿,13.83%,0.4800,4.04,0.0020,0.62,-1.62,28.14%,12.79%,11.96%,12.39,92.23%
601128,常熟银行,2016-03-31,2.84亿,False,2.80亿,False,9.93亿,False,0.1400,False,False,False,2.95,30.27%,3.45%,False,False,False
601128,常熟银行,2016-06-30,5.28亿,7.27%,5.24亿,7.48%,21.03亿,40.26%,0.2600,4.28,0.0025,0.88,1.67,26.22%,6.34%,6.16%,13.23,92.56%
