银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601169,北京银行,2004-12-31,13.84亿,False,13.15亿,False,40.21亿,False,0.4100,0.98,0.21,-0.87,5.72,34.41%,51.00%,40.00%,57.40,98.29%
601169,北京银行,2005-12-31,16.86亿,21.81%,16.61亿,26.39%,42.51亿,5.71%,0.4300,1.56,0.41,-0.13,1.11,39.65%,34.00%,21.00%,28.72,96.64%
601169,北京银行,2006-09-30,16.57亿,False,False,False,41.47亿,False,0.3300,False,False,False,False,39.95%,False,False,False,False
601169,北京银行,2006-12-31,21.40亿,26.98%,21.27亿,28.02%,58.28亿,37.10%,0.4300,1.96,0.41,0.14,4.12,36.73%,24.00%,22.00%,26.74,96.40%
601169,北京银行,2007-03-31,5.51亿,False,5.51亿,False,16.12亿,False,0.1100,2.05,0.41,0.25,-2.69,34.15%,5.46%,5.33%,24.58,96.09%
601169,北京银行,2007-06-30,13.10亿,False,False,False,31.42亿,False,0.2600,False,False,False,False,41.70%,False,False,False,False
601169,北京银行,2007-09-30,24.36亿,47.02%,False,False,52.55亿,26.73%,0.4800,4.20,2.50,0.46,-1.14,46.35%,False,9.32%,10.74,91.48%
601169,北京银行,2007-12-31,33.48亿,56.43%,33.70亿,58.45%,76.42亿,31.13%,0.6300,4.28,2.35,0.34,3.60,43.81%,23.00%,13.00%,12.28,92.47%
601169,北京银行,2008-03-31,15.96亿,189.80%,15.99亿,190.43%,28.91亿,79.31%,0.2600,4.57,2.38,0.59,-0.28,55.19%,False,5.61%,11.78,92.17%
601169,北京银行,2008-06-30,29.02亿,121.48%,29.20亿,False,57.16亿,81.92%,0.4700,4.61,2.34,0.68,-1.31,50.77%,10.00%,10.00%,11.65,92.10%
601169,北京银行,2008-09-30,43.89亿,80.19%,43.93亿,False,89.51亿,70.34%,0.7000,5.02,2.51,0.92,-1.03,49.03%,0.0000%,14.03%,11.89,92.24%
601169,北京银行,2008-12-31,54.17亿,61.79%,53.36亿,58.33%,123.04亿,61.01%,0.8700,5.43,2.75,0.86,0.02,44.02%,18.00%,16.00%,11.34,91.89%
601169,北京银行,2009-03-31,15.03亿,-5.81%,14.97亿,-6.40%,26.51亿,-8.30%,0.2400,5.64,2.72,1.10,-0.87,56.66%,0.0000%,4.28%,11.57,92.04%
601169,北京银行,2009-06-30,29.24亿,0.75%,29.30亿,0.34%,55.91亿,-2.19%,0.4700,5.68,2.71,1.15,-0.36,52.27%,8.00%,8.00%,12.52,92.60%
601169,北京银行,2009-09-30,43.93亿,0.10%,43.97亿,0.10%,85.86亿,-4.08%,0.7100,5.85,2.65,1.38,1.23,51.15%,0.0000%,12.06%,12.77,92.74%
601169,北京银行,2009-12-31,56.34亿,4.00%,56.28亿,5.47%,118.94亿,-3.33%,0.0900,6.03,2.63,1.38,5.62,47.36%,16.00%,15.00%,13.20,92.96%
601169,北京银行,2010-03-31,20.92亿,39.20%,20.92亿,39.78%,35.59亿,34.26%,0.3400,6.41,2.67,1.72,-0.89,58.79%,False,5.24%,13.17,92.94%
601169,北京银行,2010-06-30,39.02亿,33.47%,39.07亿,33.35%,73.76亿,31.93%,0.6300,6.52,2.67,1.83,6.23,52.92%,9.89%,9.61%,14.92,93.72%
601169,北京银行,2010-09-30,59.47亿,35.36%,59.47亿,35.25%,114.78亿,33.68%,0.9500,6.85,2.67,2.16,9.59,51.83%,False,13.94%,15.17,93.81%
601169,北京银行,2010-12-31,68.03亿,20.75%,68.09亿,20.99%,156.35亿,31.45%,1.0900,6.83,2.52,1.98,5.43,43.53%,17.00%,16.00%,16.23,94.19%
601169,北京银行,2011-03-31,25.20亿,20.45%,25.19亿,20.39%,46.53亿,30.72%,0.4000,7.24,2.52,2.38,-1.18,54.18%,False,5.59%,15.28,93.85%
601169,北京银行,2011-06-30,51.00亿,30.69%,51.01亿,30.56%,97.47亿,32.14%,0.6800,7.39,2.47,2.58,5.83,52.32%,11.40%,11.09%,16.73,94.36%
601169,北京银行,2011-09-30,77.73亿,30.72%,77.74亿,30.71%,150.09亿,30.76%,1.0400,7.74,2.39,3.01,7.05,51.79%,False,16.14%,16.90,94.41%
601169,北京银行,2011-12-31,89.47亿,31.51%,89.12亿,30.88%,207.28亿,32.57%,1.2000,8.09,2.55,2.75,11.17,43.16%,19.00%,18.00%,17.98,94.73%
601169,北京银行,2012-03-31,33.71亿,33.79%,33.72亿,33.87%,63.02亿,35.45%,0.4600,8.93,3.62,2.79,-3.67,53.51%,False,5.15%,14.29,93.45%
