银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601187,厦门银行,1999-12-31,False,False,False,False,False,False,False,False,False,0.17,False,False,False,False,False,False,0.78,0.78,0.08,10.20,91.07%
601187,厦门银行,2000-12-31,False,False,False,False,False,False,False,False,False,0.02,False,False,False,False,False,False,0.60,0.60,0.08,13.61,93.16%
601187,厦门银行,2001-12-31,964.31万,False,False,False,1.17亿,False,False,False,False,0.11,False,8.21%,False,False,141.51,141.51,0.60,0.60,0.05,15.76,94.04%
601187,厦门银行,2002-12-31,672.80万,-30.23%,False,False,1.30亿,10.25%,False,False,False,0.09,False,5.19%,False,False,97.98,97.98,0.51,0.51,0.02,15.74,94.03%
601187,厦门银行,2006-12-31,5637.12万,False,False,False,4.10亿,False,False,False,0.0003,0.11,False,13.74%,False,False,28.74,28.74,0.67,0.67,0.15,32.98,97.12%
601187,厦门银行,2007-12-31,1.06亿,88.22%,False,False,4.37亿,6.49%,False,False,-0.17,-0.08,False,24.28%,False,False,False,False,False,False,False,78.09,98.74%
601187,厦门银行,2008-12-31,2.15亿,102.74%,False,False,5.55亿,26.97%,False,False,0.69,0.35,False,38.78%,False,False,False,False,False,False,False,14.51,93.55%
601187,厦门银行,2009-06-30,3312.20万,False,False,False,2.06亿,False,False,False,0.69,0.10,False,16.11%,False,False,False,False,False,False,False,17.29,94.53%
601187,厦门银行,2009-12-31,6307.22万,-70.68%,False,False,3.82亿,-31.09%,0.1000,False,0.81,0.12,False,16.50%,False,False,False,False,False,False,False,20.04,95.25%
601187,厦门银行,2010-03-31,4847.06万,False,False,False,1.17亿,False,False,False,0.87,0.19,False,41.46%,False,False,False,False,False,False,False,15.33,93.87%
601187,厦门银行,2010-12-31,1.36亿,116.27%,False,False,5.67亿,48.30%,False,False,1.04,0.09,False,24.06%,False,False,False,False,False,False,False,24.86,96.13%
601187,厦门银行,2011-12-31,3.78亿,177.47%,False,False,12.88亿,127.10%,False,False,1.21,0.22,False,29.39%,False,False,False,False,False,False,False,22.02,95.66%
601187,厦门银行,2012-12-31,4.67亿,23.48%,False,False,14.34亿,11.33%,False,False,1.47,0.12,False,32.60%,False,False,False,False,False,False,False,19.79,95.19%
601187,厦门银行,2013-06-30,2.57亿,False,False,False,7.56亿,False,False,False,1.46,0.31,False,34.02%,False,False,False,False,False,False,False,13.41,93.06%
601187,厦门银行,2013-12-31,5.20亿,11.20%,False,False,15.38亿,7.29%,0.3800,False,1.31,0.36,False,33.79%,False,False,False,False,False,False,False,21.56,95.57%
601187,厦门银行,2014-12-31,7.23亿,39.11%,7.19亿,False,23.05亿,49.87%,0.4600,3.94,1.70,0.27,-0.40,31.37%,12.43%,11.57%,False,False,False,False,False,18.05,94.75%
601187,厦门银行,2015-06-30,4.63亿,False,False,False,14.56亿,False,False,False,1.82,0.48,False,31.76%,False,False,False,False,False,False,False,15.01,93.75%
601187,厦门银行,2015-12-31,8.90亿,23.10%,8.84亿,22.98%,32.14亿,39.44%,0.5000,4.39,1.82,0.25,13.62,27.69%,12.01%,10.82%,False,False,False,False,False,18.48,94.87%
601187,厦门银行,2016-03-31,2.71亿,False,False,False,11.25亿,False,False,False,1.85,0.40,False,24.05%,False,False,False,False,False,False,False,19.33,95.08%
601187,厦门银行,2016-06-30,4.35亿,-6.01%,False,False,18.60亿,27.70%,False,False,1.85,0.49,False,23.38%,False,False,False,False,False,False,False,18.80,94.95%
601187,厦门银行,2016-09-30,7.92亿,False,False,False,27.93亿,False,False,False,1.87,0.68,False,28.36%,False,False,False,False,False,False,False,19.06,95.01%
601187,厦门银行,2016-12-31,10.32亿,15.93%,10.23亿,15.75%,36.18亿,12.56%,0.5500,4.81,1.82,0.54,5.28,28.56%,11.97%,11.44%,False,False,False,False,False,19.93,95.10%
601187,厦门银行,2017-03-31,2.65亿,-1.95%,False,False,8.36亿,-25.74%,False,False,1.75,0.68,False,31.75%,False,False,False,False,False,False,False,19.49,95.12%
601187,厦门银行,2017-06-30,5.79亿,33.23%,5.78亿,False,19.25亿,3.52%,0.3100,4.90,1.94,0.61,-0.46,30.23%,6.28%,5.94%,False,False,False,False,False,18.20,94.67%
601187,厦门银行,2017-09-30,8.72亿,10.07%,False,False,27.37亿,-1.98%,False,False,2.17,0.63,False,31.85%,False,False,False,False,False,False,False,15.73,94.02%
601187,厦门银行,2017-12-31,12.16亿,17.82%,12.07亿,18.00%,36.86亿,1.88%,0.6000,5.07,2.24,0.67,-1.23,33.18%,12.11%,10.09%,False,False,False,False,False,16.64,94.22%
601187,厦门银行,2018-03-31,2.87亿,8.06%,False,False,9.06亿,8.44%,False,False,2.18,0.79,False,31.64%,False,False,False,False,False,False,False,15.56,93.96%
601187,厦门银行,2018-06-30,6.85亿,18.23%,7.09亿,22.74%,19.05亿,-1.04%,0.2900,5.39,2.24,0.86,-9.49,36.03%,5.46%,5.35%,False,False,False,False,False,15.94,93.99%
601187,厦门银行,2018-09-30,10.75亿,23.25%,False,False,28.84亿,5.36%,False,False,2.23,1.02,False,37.26%,False,False,False,False,False,False,False,15.33,93.88%
601187,厦门银行,2018-12-31,14.09亿,15.92%,14.45亿,19.69%,41.86亿,13.57%,0.5900,5.77,2.24,1.09,-15.23,33.81%,10.94%,10.28%,False,False,False,False,False,15.94,94.00%
601187,厦门银行,2019-03-31,3.73亿,30.25%,False,False,11.31亿,24.87%,False,False,2.24,1.24,False,33.01%,False,False,False,False,False,False,False,14.32,93.47%
601187,厦门银行,2019-06-30,7.68亿,12.20%,False,False,20.88亿,9.58%,False,False,2.24,1.31,False,36.80%,False,False,False,False,False,False,False,15.53,93.95%
601187,厦门银行,2019-09-30,11.65亿,8.40%,11.68亿,False,31.27亿,8.42%,0.4900,6.15,2.24,1.47,-10.06,37.68%,7.82%,7.97%,False,False,False,False,False,15.15,93.81%
601187,厦门银行,2019-12-31,17.11亿,21.41%,17.14亿,18.60%,45.09亿,7.73%,0.7200,6.44,2.24,1.59,-3.22,38.51%,11.11%,11.19%,False,False,False,False,False,15.12,93.69%
601187,厦门银行,2020-03-31,5.11亿,36.79%,5.10亿,False,13.88亿,21.88%,0.2200,6.77,2.24,1.80,-3.34,36.74%,3.23%,3.12%,False,False,False,False,False,14.53,93.46%
601187,厦门银行,2020-06-30,9.51亿,23.72%,9.49亿,False,27.11亿,29.84%,0.4000,6.70,2.24,1.89,-0.47,35.70%,5.85%,5.97%,False,False,False,False,False,15.68,93.90%
601187,厦门银行,2020-09-30,12.54亿,7.68%,12.53亿,7.30%,37.39亿,19.56%,0.5300,6.68,2.24,2.02,-7.67,34.25%,7.84%,7.91%,False,False,False,False,False,16.08,94.04%
601187,厦门银行,2020-12-31,18.23亿,6.53%,17.79亿,3.82%,55.56亿,23.20%,0.7500,6.96,2.57,1.80,-4.51,33.41%,11.23%,9.41%,False,False,False,False,False,13.71,93.10%
601187,厦门银行,2021-03-31,5.38亿,5.37%,5.25亿,2.85%,11.56亿,-16.68%,0.2000,7.14,2.57,2.01,-7.69,46.90%,2.89%,2.52%,False,False,False,False,False,12.40,92.39%
601187,厦门银行,2021-06-30,10.71亿,12.61%,10.67亿,12.43%,24.16亿,-10.89%,0.4100,7.20,2.57,2.03,-7.88,44.98%,5.66%,4.98%,False,False,False,False,False,13.27,92.85%
601187,厦门银行,2021-09-30,15.13亿,20.61%,15.16亿,20.96%,38.56亿,3.13%,0.5700,7.41,2.57,2.19,-7.57,39.90%,7.98%,6.86%,False,False,False,False,False,13.47,92.95%
601187,厦门银行,2021-12-31,21.69亿,18.99%,21.75亿,22.24%,53.16亿,-4.32%,0.8000,7.68,2.57,2.12,-8.32,41.63%,10.98%,9.53%,False,False,False,False,False,13.46,92.94%
601187,厦门银行,2022-03-31,6.27亿,16.52%,6.25亿,19.14%,13.67亿,18.22%,0.2100,7.87,2.57,2.33,3.52,47.03%,2.71%,2.70%,False,False,False,False,False,13.76,93.08%
601187,厦门银行,2022-06-30,12.32亿,15.11%,12.31亿,15.39%,28.55亿,18.17%,0.4400,7.84,2.57,2.31,6.62,44.20%,5.58%,5.31%,False,False,False,False,False,14.14,93.26%
