银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601229,上海银行,2001-12-31,8.53亿,False,False,False,33.71亿,False,False,False,0.45,0.55,False,25.31%,False,False,26.83,26.83,0.69,0.68,0.0071,15.87,94.07%
601229,上海银行,2002-12-31,7.77亿,-9.00%,False,False,41.75亿,23.83%,False,False,0.52,0.67,False,18.60%,False,False,18.30,18.30,0.72,0.71,0.0094,19.48,95.12%
601229,上海银行,2003-12-31,11.41亿,46.86%,False,False,55.22亿,32.26%,False,False,0.52,0.76,False,20.66%,False,False,9.60,9.60,0.63,0.62,0.02,21.52,95.56%
601229,上海银行,2004-12-31,14.63亿,28.30%,False,False,66.21亿,19.91%,False,False,0.52,0.56,False,22.10%,False,False,False,False,0.67,0.67,0.15,29.12,96.68%
601229,上海银行,2005-12-31,21.39亿,46.16%,False,False,58.00亿,-12.40%,0.8200,False,0.53,1.18,False,36.87%,False,False,False,False,False,False,False,22.03,95.66%
601229,上海银行,2006-12-31,23.84亿,11.46%,False,False,61.34亿,5.76%,False,False,0.51,1.28,False,38.86%,False,False,False,False,False,False,False,20.30,95.31%
601229,上海银行,2007-06-30,13.39亿,False,False,False,33.73亿,False,0.5200,False,False,False,False,39.70%,False,False,False,False,False,False,False,False,False
601229,上海银行,2007-12-31,29.34亿,23.09%,False,False,76.64亿,24.94%,False,False,0.43,1.74,False,38.29%,False,False,False,False,False,False,False,19.93,95.22%
601229,上海银行,2008-06-30,20.11亿,50.15%,False,False,46.61亿,38.17%,0.7700,False,0.47,1.62,False,43.15%,False,False,False,False,False,False,False,19.38,95.09%
601229,上海银行,2008-12-31,30.77亿,4.87%,False,False,98.14亿,28.05%,0.8100,False,0.97,2.03,False,31.36%,False,False,False,False,False,False,False,18.52,94.88%
601229,上海银行,2009-06-30,15.93亿,-20.79%,False,False,42.85亿,-8.07%,False,False,0.86,1.96,False,37.18%,False,False,False,False,False,False,False,20.12,95.27%
601229,上海银行,2009-09-30,26.69亿,False,False,False,64.57亿,False,False,False,False,False,False,41.33%,False,False,False,False,False,False,False,False,False
601229,上海银行,2009-12-31,36.23亿,17.73%,False,False,94.36亿,-3.85%,0.9500,False,0.75,2.74,False,38.39%,False,False,False,False,False,False,False,20.66,95.38%
601229,上海银行,2010-09-30,37.06亿,38.87%,False,False,93.48亿,44.77%,False,False,0.98,2.08,False,39.65%,False,False,False,False,False,False,False,17.41,94.57%
601229,上海银行,2010-12-31,50.28亿,38.79%,False,False,129.49亿,37.23%,1.2100,False,0.86,2.39,False,38.83%,False,False,False,False,False,False,False,18.22,94.80%
601229,上海银行,2011-06-30,28.10亿,False,False,False,66.94亿,False,0.6600,False,0.83,2.30,False,41.97%,False,False,False,False,False,False,False,18.25,94.78%
