银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601288,农业银行,2007-12-31,437.87亿,False,461.18亿,False,1792.37亿,False,False,-5.98,-0.04,-6.95,1.19,24.43%,False,False,False,113.71%
601288,农业银行,2008-12-31,514.74亿,17.56%,491.81亿,6.64%,2111.89亿,17.83%,False,1.12,0.07,0.05,1.10,24.36%,False,17.72%,23.15,95.86%
601288,农业银行,2009-06-30,327.14亿,False,321.97亿,False,1040.09亿,False,0.1300,False,False,False,False,31.46%,10.80%,False,False,False
601288,农业银行,2009-09-30,514.79亿,False,False,False,1576.20亿,False,0.2000,False,False,False,False,32.67%,False,False,False,False
601288,农业银行,2009-12-31,649.92亿,26.26%,603.05亿,22.62%,2222.74亿,5.25%,0.2500,1.32,0.02,0.23,-0.08,29.24%,20.53%,18.96%,24.91,96.14%
601288,农业银行,2010-03-31,249.70亿,False,False,False,661.72亿,False,0.1000,False,False,False,False,37.75%,7.01%,False,False,False
601288,农业银行,2010-06-30,458.40亿,40.12%,454.37亿,41.12%,1356.80亿,30.45%,0.1700,1.31,0.05,0.0053,0.64,33.80%,12.55%,12.94%,26.37,96.34%
601288,农业银行,2010-09-30,701.46亿,36.26%,694.84亿,False,2094.89亿,32.91%,0.2500,1.63,0.33,0.08,0.63,33.50%,17.60%,13.28%,18.16,94.78%
601288,农业银行,2010-12-31,948.73亿,45.98%,937.57亿,55.47%,2904.18亿,30.66%,0.3300,1.67,0.30,0.14,-0.28,32.68%,22.49%,17.50%,18.07,94.75%
601288,农业银行,2011-03-31,340.67亿,36.43%,339.21亿,False,895.56亿,35.34%,0.1000,1.77,0.30,0.24,0.86,38.05%,6.09%,5.91%,18.01,94.74%
601288,农业银行,2011-06-30,666.67亿,45.43%,662.05亿,45.71%,1841.58亿,35.73%,0.2100,1.81,0.29,0.27,1.17,36.21%,11.78%,11.31%,18.45,94.86%
601288,农业银行,2011-09-30,1007.57亿,43.64%,1001.79亿,44.18%,2791.76亿,33.27%,0.3100,1.91,0.28,0.38,1.64,36.10%,17.25%,16.24%,17.68,94.65%
601288,农业银行,2011-12-31,1219.27亿,28.52%,1207.27亿,28.77%,3777.31亿,30.06%,0.3800,2.00,0.31,0.40,0.69,32.29%,20.46%,18.77%,16.98,94.44%
601288,农业银行,2012-03-31,434.54亿,27.55%,431.27亿,27.14%,1070.04亿,19.44%,0.1300,2.14,0.31,0.54,1.37,40.63%,6.47%,6.26%,17.10,94.47%
601288,农业银行,2012-06-30,804.99亿,20.75%,802.37亿,21.19%,2098.65亿,13.89%,0.2500,2.13,0.32,0.49,1.57,38.39%,11.63%,11.64%,17.66,94.64%
