银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601328,交通银行,2001-12-31,19.09亿,False,False,False,282.32亿,False,False,False,0.33,0.12,False,6.76%,False,False,49.28,49.28,0.77,0.74,0.05,19.40,95.10%
601328,交通银行,2002-12-31,49.36亿,158.60%,False,False,273.11亿,-3.26%,False,False,0.33,-1.35,False,18.07%,False,False,False,False,0.71,0.69,0.04,83.64,98.82%
601328,交通银行,2003-12-31,43.12亿,-12.64%,False,False,323.85亿,18.58%,False,False,0.69,-1.16,False,13.31%,False,False,False,False,0.71,0.70,0.06,50.60,98.06%
601328,交通银行,2004-12-31,11.98亿,-72.22%,64.39亿,False,288.33亿,-10.97%,0.0500,1.32,0.32,0.0053,1.39,4.16%,4.00%,2.00%,False,False,False,False,False,21.10,95.48%
601328,交通银行,2005-12-31,95.09亿,693.74%,92.59亿,43.80%,350.90亿,21.70%,0.2300,1.79,0.58,0.19,1.24,27.10%,15.00%,12.00%,False,False,False,False,False,16.35,94.24%
601328,交通银行,2006-03-31,29.01亿,False,False,False,96.47亿,False,0.0600,False,False,False,False,30.07%,False,False,False,False,False,False,False,False,False
601328,交通银行,2006-06-30,64.89亿,False,False,False,202.64亿,False,0.1400,False,False,False,False,32.03%,False,False,False,False,False,False,False,False,False
601328,交通银行,2006-09-30,94.61亿,False,False,False,315.93亿,False,0.2100,False,False,False,False,29.96%,False,False,False,False,False,False,False,False,False
601328,交通银行,2006-12-31,125.45亿,31.93%,123.74亿,33.64%,434.59亿,23.18%,0.2700,1.93,0.53,0.26,3.56,29.31%,14.00%,14.00%,False,False,False,False,False,18.37,94.84%
601328,交通银行,2007-03-31,39.36亿,35.68%,False,False,127.14亿,32.64%,0.0900,2.06,0.47,0.36,1.11,29.87%,False,4.02%,False,False,False,False,False,18.23,94.79%
601328,交通银行,2007-06-30,89.18亿,37.43%,88.04亿,False,272.08亿,34.27%,0.1900,2.47,0.93,0.42,-0.18,33.01%,8.74%,7.37%,False,False,False,False,False,16.62,94.32%
601328,交通银行,2007-09-30,147.86亿,56.28%,144.35亿,False,435.68亿,37.90%,0.3100,2.49,0.93,0.30,2.62,34.12%,False,12.10%,False,False,False,False,False,17.16,94.48%
601328,交通银行,2007-12-31,205.13亿,63.52%,204.20亿,65.02%,623.22亿,43.40%,0.4300,2.62,0.94,0.38,0.43,33.12%,17.17%,15.98%,False,False,False,False,False,15.38,93.88%
601328,交通银行,2008-03-31,78.83亿,100.28%,78.95亿,False,180.23亿,41.76%,0.1600,2.76,0.92,0.54,0.46,43.86%,5.96%,5.83%,False,False,False,False,False,15.71,94.00%
601328,交通银行,2008-06-30,155.34亿,74.19%,155.49亿,76.61%,376.39亿,38.34%,0.3200,2.75,0.91,0.33,1.06,41.43%,11.13%,11.51%,False,False,False,False,False,16.98,94.42%
601328,交通银行,2008-09-30,227.89亿,54.13%,227.60亿,57.67%,574.09亿,31.77%,0.4700,2.81,0.92,0.38,1.87,39.85%,15.86%,16.58%,False,False,False,False,False,17.12,94.47%
601328,交通银行,2008-12-31,284.23亿,38.56%,283.96亿,39.06%,766.60亿,23.01%,0.5800,2.96,0.96,0.44,3.95,37.20%,20.86%,19.57%,False,False,False,False,False,17.44,94.56%
601328,交通银行,2009-03-31,79.46亿,0.80%,79.52亿,0.72%,178.65亿,-0.88%,0.1600,3.11,0.94,0.60,-0.11,44.60%,5.34%,5.22%,False,False,False,False,False,18.93,94.97%
601328,交通银行,2009-06-30,155.79亿,0.29%,155.50亿,0.0064%,368.13亿,-2.19%,0.3000,3.17,0.95,0.40,2.04,42.47%,10.27%,10.02%,False,False,False,False,False,20.19,95.27%
601328,交通银行,2009-09-30,229.70亿,0.79%,229.80亿,0.97%,574.39亿,0.05%,0.4500,3.20,0.93,0.45,1.75,40.17%,14.96%,14.64%,False,False,False,False,False,20.04,95.23%
601328,交通银行,2009-12-31,300.75亿,5.81%,298.69亿,5.19%,809.37亿,5.58%,0.5900,3.34,0.93,0.53,1.51,37.33%,19.26%,18.36%,False,False,False,False,False,19.19,95.03%
601328,交通银行,2010-03-31,104.51亿,31.53%,104.22亿,31.06%,239.36亿,33.98%,0.2000,3.57,0.94,0.74,-1.07,43.83%,6.18%,5.98%,False,False,False,False,False,19.22,95.03%
601328,交通银行,2010-06-30,203.57亿,30.67%,203.11亿,30.62%,493.98亿,34.19%,0.3600,3.72,1.11,0.39,-0.44,41.35%,11.75%,10.37%,False,False,False,False,False,17.89,94.69%
601328,交通银行,2010-09-30,295.37亿,28.59%,294.12亿,27.99%,759.69亿,32.26%,0.5100,3.82,1.26,0.43,-1.03,39.01%,15.92%,13.73%,False,False,False,False,False,16.67,94.32%
601328,交通银行,2010-12-31,390.42亿,29.82%,388.26亿,29.99%,1042.34亿,28.78%,0.6600,3.96,1.22,0.53,-0.43,37.58%,20.08%,17.53%,False,False,False,False,False,16.73,94.34%
601328,交通银行,2011-03-31,132.80亿,27.07%,131.83亿,26.49%,302.39亿,26.33%,0.2100,4.20,1.23,0.77,-0.43,44.02%,5.79%,5.62%,False,False,False,False,False,16.47,94.26%
601328,交通银行,2011-06-30,263.96亿,29.67%,262.21亿,29.10%,619.37亿,25.38%,0.4300,4.40,1.22,0.59,0.19,42.70%,11.19%,10.66%,False,False,False,False,False,16.56,94.29%
601328,交通银行,2011-09-30,384.16亿,30.06%,381.13亿,29.58%,941.95亿,23.99%,0.6200,4.16,1.08,0.64,0.28,40.87%,15.90%,14.90%,False,False,False,False,False,15.92,94.07%
601328,交通银行,2011-12-31,507.35亿,29.95%,502.16亿,29.34%,1269.56亿,21.80%,0.8200,4.39,1.11,0.76,-0.02,40.03%,20.49%,18.67%,False,False,False,False,False,15.96,94.08%
601328,交通银行,2012-03-31,158.77亿,19.56%,158.74亿,20.41%,365.15亿,20.75%,0.2600,4.65,1.12,1.01,0.71,43.57%,5.68%,5.51%,False,False,False,False,False,15.95,94.08%
