银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601398,工商银行,2003-12-31,223.74亿,False,222.35亿,False,1918.83亿,False,False,-3.34,0.04,-4.47,1.00,11.66%,False,False,False,111.74%
601398,工商银行,2004-12-31,307.63亿,37.49%,False,False,1393.42亿,-27.38%,False,-3.16,0.02,-4.28,0.75,22.33%,False,False,False,109.95%
601398,工商银行,2005-06-30,251.12亿,False,False,False,764.90亿,False,False,False,False,False,False,33.21%,False,False,False,False
601398,工商银行,2005-12-31,374.05亿,21.59%,385.91亿,False,1623.78亿,16.53%,False,1.04,0.0082,0.02,1.48,23.32%,False,14.56%,24.11,95.96%
601398,工商银行,2006-06-30,251.93亿,0.32%,250.02亿,False,855.84亿,10.69%,0.1000,1.14,0.04,0.07,1.15,29.98%,9.04%,7.71%,20.62,95.32%
601398,工商银行,2006-09-30,379.70亿,False,False,False,1316.93亿,False,0.1400,False,False,False,False,29.14%,False,False,False,False
601398,工商银行,2006-12-31,488.19亿,30.51%,482.39亿,25.00%,1807.05亿,10.17%,0.1700,1.40,0.33,0.02,1.19,27.58%,15.16%,10.43%,15.07,93.72%
601398,工商银行,2007-03-31,187.06亿,False,185.74亿,False,549.98亿,False,0.0600,1.45,0.33,0.07,0.32,34.65%,False,3.85%,15.23,93.78%
601398,工商银行,2007-06-30,408.44亿,62.12%,400.86亿,60.33%,1170.62亿,36.11%,0.1200,1.49,0.32,0.12,0.94,35.37%,8.41%,8.19%,15.64,93.94%
601398,工商银行,2007-09-30,633.07亿,66.73%,627.65亿,False,1832.95亿,38.48%,0.1900,1.56,0.32,0.19,1.31,35.03%,12.79%,12.15%,15.49,93.88%
601398,工商银行,2007-12-31,812.56亿,66.44%,800.82亿,66.01%,2555.56亿,40.65%,0.2400,1.61,0.32,0.14,0.89,32.26%,16.15%,15.08%,15.10,93.73%
601398,工商银行,2008-03-31,331.13亿,77.02%,328.31亿,76.76%,759.37亿,37.53%,0.1000,1.70,0.30,0.24,0.33,44.00%,5.99%,5.84%,15.13,93.75%
601398,工商银行,2008-06-30,645.31亿,57.99%,639.06亿,59.42%,1550.07亿,32.41%,0.1900,1.65,0.30,0.20,0.59,41.86%,11.39%,11.73%,16.08,94.10%
601398,工商银行,2008-09-30,927.30亿,46.48%,919.24亿,46.46%,2317.17亿,26.42%,0.2800,1.74,0.31,0.28,0.24,40.17%,16.34%,15.94%,15.13,93.76%
601398,工商银行,2008-12-31,1107.66亿,36.32%,1104.05亿,37.86%,3097.58亿,21.21%,0.3300,1.81,0.34,0.22,1.11,35.88%,19.39%,18.36%,15.17,93.78%
601398,工商银行,2009-03-31,351.53亿,6.16%,350.46亿,6.75%,728.87亿,-4.02%,0.1100,1.91,0.33,0.32,-0.40,48.42%,5.67%,5.52%,16.24,94.17%
601398,工商银行,2009-06-30,663.13亿,2.76%,658.56亿,3.05%,1483.52亿,-4.29%,0.2000,1.85,0.33,0.25,-0.20,44.90%,10.40%,10.76%,17.54,94.57%
601398,工商银行,2009-09-30,999.08亿,7.74%,993.24亿,8.05%,2266.34亿,-2.19%,0.3000,1.93,0.31,0.35,1.02,44.32%,15.76%,15.46%,17.05,94.42%
601398,工商银行,2009-12-31,1285.99亿,16.10%,1276.83亿,15.65%,3094.54亿,-0.10%,0.3800,2.02,0.31,0.35,1.21,41.80%,20.14%,19.08%,16.48,94.24%
601398,工商银行,2010-03-31,415.47亿,18.19%,414.33亿,18.22%,873.38亿,19.83%,0.1200,2.15,0.32,0.48,0.85,47.77%,5.97%,5.78%,16.45,94.23%
601398,工商银行,2010-06-30,846.03亿,27.58%,843.44亿,28.07%,1817.08亿,22.48%,0.2500,2.11,0.32,0.44,1.45,46.76%,11.95%,12.01%,17.39,94.52%
601398,工商银行,2010-09-30,1272.16亿,27.33%,1267.79亿,27.64%,2786.90亿,22.97%,0.3700,2.26,0.33,0.56,1.88,45.86%,17.77%,16.88%,16.79,94.34%
601398,工商银行,2010-12-31,1651.56亿,28.43%,1643.69亿,28.73%,3808.21亿,23.06%,0.4800,2.35,0.35,0.58,0.80,43.60%,22.79%,20.13%,15.40,93.89%
601398,工商银行,2011-03-31,537.87亿,29.46%,534.76亿,29.07%,1138.17亿,30.32%,0.1500,2.50,0.35,0.73,0.95,47.30%,6.36%,6.18%,15.52,93.94%
601398,工商银行,2011-06-30,1094.81亿,29.41%,1088.26亿,29.03%,2326.88亿,28.06%,0.3100,2.46,0.34,0.71,0.68,47.09%,12.56%,12.75%,16.35,94.23%
601398,工商银行,2011-09-30,1638.40亿,28.79%,1630.18亿,28.58%,3517.29亿,26.21%,0.4700,2.58,0.33,0.86,0.49,46.62%,18.80%,18.19%,15.79,94.04%
601398,工商银行,2011-12-31,2082.65亿,26.10%,2072.08亿,26.06%,4752.14亿,24.79%,0.6000,2.74,0.36,0.90,1.00,43.86%,23.44%,21.77%,15.18,93.81%
601398,工商银行,2012-03-31,613.35亿,14.03%,611.67亿,14.38%,1310.17亿,15.11%,0.1800,2.93,0.37,1.07,1.14,46.84%,6.20%,6.00%,15.08,93.77%
601398,工商银行,2012-06-30,1231.60亿,12.49%,1227.20亿,12.77%,2654.86亿,14.10%,0.3500,2.91,0.38,1.05,2.35,46.42%,12.16%,12.12%,15.80,94.04%
601398,工商银行,2012-09-30,1856.02亿,13.28%,1850.13亿,13.49%,4014.73亿,14.14%,0.5300,3.07,0.37,1.22,2.53,46.26%,18.18%,17.29%,15.18,93.81%
601398,工商银行,2012-12-31,2385.32亿,14.53%,2375.82亿,14.66%,5369.45亿,12.99%,0.6800,3.22,0.37,1.07,1.53,44.45%,23.02%,21.20%,14.59,93.57%
601398,工商银行,2013-03-31,687.43亿,12.08%,686.67亿,12.26%,1477.60亿,12.78%,0.2000,3.42,0.38,1.26,0.92,46.57%,5.97%,5.76%,14.37,93.48%
601398,工商银行,2013-06-30,1383.47亿,12.33%,1380.03亿,12.45%,2986.07亿,12.48%,0.4000,3.35,0.37,1.22,0.41,46.37%,11.63%,11.81%,14.98,93.72%
601398,工商银行,2013-09-30,2055.33亿,10.74%,2050.78亿,10.85%,4419.17亿,10.07%,0.5900,3.51,0.35,1.41,0.20,46.56%,17.25%,16.69%,14.21,93.41%
