银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601528,瑞丰银行,2003-12-31,1257.49万,False,False,False,6.33亿,False,False,False,0.02,-0.13,False,1.99%,False,False,0.02,0.02,0.98,0.98,0.01,38.72,97.48%
601528,瑞丰银行,2004-12-31,5416.21万,330.72%,False,False,8.05亿,27.19%,False,False,0.26,0.11,False,6.73%,False,False,0.0079,0.0079,1.06,1.06,0.01,23.20,95.87%
601528,瑞丰银行,2005-12-31,5802.55万,7.13%,False,False,8.31亿,3.18%,False,False,0.51,0.28,False,6.99%,False,False,0.14,0.14,1.14,1.14,0.01,18.66,94.91%
601528,瑞丰银行,2006-12-31,6179.55万,6.50%,False,False,10.14亿,22.15%,False,False,0.51,0.16,False,6.09%,False,False,0.11,0.11,1.16,1.16,0.01,14.21,93.43%
601528,瑞丰银行,2010-12-31,7.17亿,False,False,False,14.46亿,False,False,False,0.51,1.46,False,49.56%,False,False,False,False,False,False,False,10.87,91.58%
601528,瑞丰银行,2011-12-31,7.97亿,11.15%,False,False,17.10亿,18.19%,False,False,0.39,0.98,False,46.61%,False,False,False,False,False,False,False,10.84,91.55%
601528,瑞丰银行,2012-12-31,9.56亿,20.03%,False,False,20.45亿,19.62%,False,False,0.33,1.09,False,46.77%,False,False,False,False,False,False,False,9.79,90.73%
601528,瑞丰银行,2013-06-30,4.66亿,False,False,False,9.32亿,False,False,False,False,False,False,50.03%,False,False,False,False,False,False,False,False,False
601528,瑞丰银行,2013-12-31,7.99亿,-16.48%,7.71亿,False,20.77亿,1.59%,0.7335,5.37,0.28,1.05,2.45,39.73%,14.46%,13.67%,False,False,False,False,False,10.09,90.74%
601528,瑞丰银行,2014-06-30,4.78亿,2.44%,False,False,10.68亿,14.61%,False,False,0.27,0.51,False,44.72%,False,False,False,False,False,False,False,9.30,90.30%
601528,瑞丰银行,2014-09-30,7.02亿,False,False,False,16.11亿,False,False,False,False,False,False,43.58%,False,False,False,False,False,False,False,False,False
