银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601577,长沙银行,2004-12-31,1.48亿,False,False,False,8.38亿,False,False,False,0.09,0.47,False,17.61%,False,False,28.49,28.49,0.56,0.56,0.09,39.76,97.55%
601577,长沙银行,2005-12-31,1.82亿,23.34%,False,False,8.59亿,2.56%,False,False,0.27,0.53,False,21.18%,False,False,32.37,32.37,0.65,0.64,0.06,30.16,96.79%
601577,长沙银行,2006-12-31,1.81亿,-0.54%,False,False,10.92亿,27.06%,False,False,0.24,0.39,False,16.58%,False,False,62.02,62.02,0.61,0.61,0.12,27.67,96.51%
601577,长沙银行,2008-12-31,5.86亿,False,False,False,18.96亿,False,False,False,0.04,0.79,False,30.92%,False,False,68.03,68.03,0.71,0.71,0.11,28.06,96.56%
601577,长沙银行,2009-12-31,7.79亿,32.99%,False,False,17.31亿,-8.67%,0.6600,False,0.04,0.55,False,45.06%,False,False,False,False,False,False,False,25.85,96.24%
601577,长沙银行,2010-12-31,8.66亿,11.16%,False,False,22.70亿,31.12%,0.6153,False,0.48,0.53,False,38.29%,False,False,False,False,False,False,False,17.79,94.51%
601577,长沙银行,2011-06-30,7.72亿,False,False,False,14.60亿,False,False,False,0.46,0.96,False,52.88%,False,False,False,False,False,False,False,17.17,94.50%
601577,长沙银行,2011-12-31,14.07亿,62.42%,False,False,32.77亿,44.38%,0.7048,False,0.50,0.96,False,43.33%,False,False,False,False,False,False,False,20.77,95.28%
601577,长沙银行,2012-12-31,19.13亿,35.96%,False,False,42.08亿,28.40%,0.9082,False,0.46,1.32,False,46.23%,False,False,False,False,False,False,False,21.11,95.37%
601577,长沙银行,2013-12-31,21.75亿,13.70%,21.71亿,False,51.47亿,22.30%,0.9600,4.05,0.41,1.73,6.75,42.73%,26.07%,23.18%,False,False,False,False,False,20.04,95.15%
601577,长沙银行,2014-06-30,14.45亿,False,False,False,30.83亿,False,False,False,0.37,2.51,False,47.40%,False,False,False,False,False,False,False,17.36,94.45%
601577,长沙银行,2014-12-31,23.92亿,9.98%,24.15亿,11.20%,64.27亿,24.87%,1.0600,4.99,0.81,1.82,-4.44,37.23%,22.81%,18.32%,False,False,False,False,False,15.58,93.88%
601577,长沙银行,2015-12-31,27.32亿,14.21%,27.64亿,14.47%,83.37亿,29.72%,0.9800,5.71,1.16,1.88,10.86,33.20%,18.73%,15.53%,False,False,False,False,False,15.21,93.76%
601577,长沙银行,2016-06-30,22.59亿,False,False,False,49.77亿,False,False,False,1.21,2.57,False,46.28%,False,False,False,False,False,False,False,17.67,94.58%
601577,长沙银行,2016-09-30,26.07亿,False,26.20亿,False,76.39亿,False,0.8500,6.39,1.17,2.63,2.35,34.76%,13.97%,13.08%,False,False,False,False,False,17.67,94.58%
601577,长沙银行,2016-12-31,31.90亿,16.77%,32.04亿,15.91%,100.40亿,20.44%,1.0400,6.48,1.17,2.32,8.16,32.39%,17.00%,16.00%,False,False,False,False,False,18.21,94.69%
601577,长沙银行,2017-03-31,10.73亿,False,False,False,28.48亿,False,0.3500,False,1.08,2.67,False,38.49%,False,False,False,False,False,False,False,18.21,94.66%
601577,长沙银行,2017-06-30,21.64亿,-4.21%,21.64亿,False,59.08亿,22.97%,False,0.73,1.07,3.23,3.73,54.42%,False,144.74%,False,False,False,False,False,183.28,94.70%
601577,长沙银行,2017-09-30,33.85亿,29.81%,33.99亿,29.74%,89.40亿,17.03%,1.1000,7.42,1.17,3.27,3.71,38.66%,15.84%,14.82%,False,False,False,False,False,18.56,94.73%
601577,长沙银行,2017-12-31,39.31亿,23.22%,39.24亿,22.50%,121.28亿,20.79%,1.2800,7.56,1.17,3.04,9.17,32.86%,18.25%,16.88%,False,False,False,False,False,19.18,94.90%
601577,长沙银行,2018-03-31,12.33亿,14.90%,12.29亿,False,32.39亿,13.74%,0.4000,7.99,1.17,3.44,-8.07,38.94%,5.15%,5.01%,False,False,False,False,False,17.97,94.58%
601577,长沙银行,2018-06-30,23.85亿,10.21%,23.81亿,10.03%,64.54亿,9.24%,0.7700,False,False,False,-9.67,37.77%,9.70%,9.21%,False,False,False,False,False,17.81,94.54%
601577,长沙银行,2018-09-30,37.29亿,10.18%,37.13亿,9.23%,101.65亿,13.71%,1.2100,8.74,1.72,3.82,-10.95,37.32%,14.75%,12.46%,False,False,False,False,False,16.28,94.07%
601577,长沙银行,2018-12-31,44.79亿,13.94%,44.64亿,13.74%,139.41亿,14.95%,1.4200,9.06,1.72,3.76,-11.18,32.84%,16.91%,14.45%,False,False,False,False,False,15.97,93.97%
601577,长沙银行,2019-03-31,13.69亿,11.02%,13.76亿,11.90%,42.03亿,29.74%,0.4000,9.32,1.69,4.02,3.58,33.20%,4.37%,4.29%,False,False,False,False,False,16.89,94.23%
601577,长沙银行,2019-06-30,26.72亿,12.02%,26.74亿,12.32%,81.58亿,26.40%,0.7800,9.40,1.72,4.12,0.36,33.16%,8.43%,8.31%,False,False,False,False,False,16.94,94.25%
601577,长沙银行,2019-09-30,41.48亿,11.23%,41.45亿,11.64%,124.02亿,22.00%,1.2100,9.84,1.72,4.55,-4.16,34.16%,12.88%,12.32%,False,False,False,False,False,16.54,94.12%
601577,长沙银行,2019-12-31,50.80亿,13.43%,50.84亿,13.91%,170.17亿,22.07%,1.4800,10.12,1.72,4.47,-7.54,30.90%,15.61%,14.67%,False,False,False,False,False,13.79,93.05%
601577,长沙银行,2020-03-31,15.33亿,12.01%,15.36亿,11.64%,47.53亿,13.08%,0.4500,10.63,1.72,4.91,-3.54,32.92%,4.33%,3.62%,False,False,False,False,False,13.60,92.97%
601577,长沙银行,2020-06-30,28.72亿,7.51%,28.79亿,7.66%,88.28亿,8.22%,0.8400,10.63,1.72,4.98,4.26,33.54%,7.97%,7.89%,False,False,False,False,False,14.32,93.29%
601577,长沙银行,2020-09-30,42.48亿,2.42%,42.53亿,2.59%,131.11亿,5.72%,1.2400,10.97,1.72,5.39,7.38,33.79%,11.67%,9.76%,False,False,False,False,False,14.69,93.44%
601577,长沙银行,2020-12-31,53.38亿,5.08%,53.32亿,4.88%,180.22亿,5.91%,1.4700,11.21,1.72,5.46,6.11,30.85%,13.76%,13.09%,False,False,False,False,False,14.85,93.51%
601577,长沙银行,2021-03-31,16.11亿,5.07%,16.10亿,4.86%,48.10亿,1.20%,0.4700,11.39,2.78,5.05,-2.84,34.20%,4.12%,3.11%,False,False,False,False,False,13.17,92.76%
601577,长沙银行,2021-06-30,34.81亿,21.18%,31.82亿,10.54%,103.58亿,17.33%,0.9400,11.54,2.78,5.19,2.05,34.65%,8.09%,7.50%,False,False,False,False,False,13.46,92.90%
601577,长沙银行,2021-09-30,50.40亿,18.64%,47.24亿,11.08%,156.91亿,19.68%,1.3200,11.21,2.78,5.58,4.30,33.43%,11.35%,9.32%,False,False,False,False,False,13.52,92.93%
601577,长沙银行,2021-12-31,63.04亿,18.09%,60.10亿,12.71%,208.68亿,15.79%,1.5500,12.19,2.78,5.53,0.90,31.48%,13.26%,12.21%,False,False,False,False,False,13.44,92.89%
601577,长沙银行,2022-03-31,18.21亿,13.05%,18.21亿,13.07%,53.87亿,12.01%,0.4500,12.64,2.78,5.99,-1.31,35.00%,3.65%,3.21%,False,False,False,False,False,13.52,92.92%
601577,长沙银行,2022-06-30,35.82亿,2.91%,36.00亿,13.11%,112.59亿,8.71%,0.8900,12.73,2.78,6.08,-2.90,33.17%,7.05%,7.00%,False,False,False,False,False,14.01,93.15%
601577,长沙银行,2022-09-30,53.52亿,6.19%,53.47亿,13.20%,172.93亿,10.21%,1.3300,13.24,2.78,6.52,-5.53,32.34%,10.42%,9.04%,False,False,False,False,False,13.81,93.05%
601577,长沙银行,2022-12-31,68.11亿,8.04%,68.05亿,13.23%,228.68亿,9.58%,1.6100,13.49,2.78,6.43,4.90,31.24%,12.57%,11.97%,False,False,False,False,False,13.99,93.13%
601577,长沙银行,2023-03-31,19.79亿,8.68%,20.25亿,11.20%,60.81亿,12.88%,0.4900,13.96,2.78,6.92,-3.07,34.37%,3.59%,3.19%,False,False,False,False,False,14.33,93.28%
601577,长沙银行,2023-06-30,39.62亿,10.61%,40.05亿,11.27%,126.24亿,12.12%,0.9900,14.16,2.78,7.06,-3.29,33.32%,7.04%,6.96%,False,False,False,False,False,14.83,93.48%
601577,长沙银行,2023-09-30,58.45亿,9.21%,58.92亿,10.18%,187.51亿,8.44%,1.4500,14.62,2.78,7.53,2.42,32.64%,10.30%,9.02%,False,False,False,False,False,14.67,93.42%
601577,长沙银行,2023-12-31,74.63亿,9.57%,75.06亿,10.29%,248.03亿,8.46%,1.7800,14.95,2.78,7.52,10.53,31.66%,12.50%,11.88%,False,False,False,False,False,14.40,93.30%
601577,长沙银行,2024-03-31,20.93亿,5.75%,20.91亿,3.28%,65.61亿,7.89%,0.5200,15.49,2.78,8.03,-5.90,33.22%,3.42%,3.06%,False,False,False,False,False,14.51,93.35%
601577,长沙银行,2024-06-30,41.21亿,4.01%,41.34亿,3.20%,130.42亿,3.32%,1.0200,15.65,2.78,8.16,-12.69,32.45%,6.62%,6.55%,False,False,False,False,False,14.88,93.51%
601577,长沙银行,2024-09-30,61.87亿,5.85%,61.96亿,5.17%,194.71亿,3.83%,1.5400,16.18,2.78,8.67,-11.53,32.52%,9.84%,8.13%,False,False,False,False,False,13.74,93.03%
601577,长沙银行,2024-12-31,78.27亿,4.87%,78.30亿,4.32%,259.36亿,4.57%,1.8700,16.67,2.78,8.53,5.80,30.49%,11.81%,11.20%,False,False,False,False,False,13.67,92.99%
601577,长沙银行,2025-03-31,21.73亿,3.81%,21.70亿,3.75%,68.09亿,3.78%,0.5400,16.99,2.78,9.07,-13.13,32.14%,3.21%,2.74%,False,False,False,False,False,14.24,93.26%
601577,长沙银行,2025-06-30,43.29亿,5.05%,43.39亿,4.98%,132.49亿,1.59%,1.0800,17.15,2.78,9.19,-11.54,32.88%,6.31%,6.28%,False,False,False,False,False,14.57,93.40%
601577,长沙银行,2025-09-30,65.57亿,6.00%,65.63亿,5.91%,197.21亿,1.29%,1.6000,17.37,2.78,9.51,-4.86,33.56%,9.36%,8.11%,False,False,False,False,False,14.36,93.31%
601577,长沙银行,2025-12-31,81.08亿,3.59%,80.56亿,2.89%,254.71亿,-1.79%,1.9300,17.66,2.78,9.85,9.25,32.14%,11.24%,10.93%,False,False,False,False,False,14.82,93.51%
601577,长沙银行,2026-03-31,22.99亿,5.77%,23.01亿,6.06%,71.93亿,5.64%,0.5700,18.35,2.78,10.48,-5.37,32.27%,3.17%,2.78%,False,False,False,False,False,14.86,93.53%
