银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601658,邮储银行,2011-12-31,230.80亿,False,False,False,1088.87亿,False,False,False,False,False,False,21.20%,False,False,False,False
601658,邮储银行,2012-12-31,283.71亿,22.92%,False,False,1266.79亿,16.34%,False,False,0.11,0.55,False,22.40%,False,False,41.68,97.66%
601658,邮储银行,2013-12-31,296.68亿,4.57%,False,False,1447.14亿,14.24%,False,False,0.07,0.52,False,20.50%,False,False,38.52,97.47%
601658,邮储银行,2014-12-31,325.67亿,9.77%,False,False,1733.79亿,19.81%,False,False,0.06,0.79,False,18.78%,False,False,32.52,97.02%
601658,邮储银行,2015-09-30,309.10亿,False,False,False,1391.88亿,False,False,False,0.12,1.34,False,22.21%,False,False,29.82,96.76%
601658,邮储银行,2015-12-31,348.59亿,7.04%,False,False,1897.07亿,9.42%,False,False,0.54,0.86,False,18.37%,False,False,25.98,96.29%
601658,邮储银行,2016-06-30,232.29亿,False,False,False,927.81亿,False,False,False,0.54,1.06,False,25.02%,False,False,27.15,96.44%
601658,邮储银行,2016-12-31,398.01亿,14.18%,392.86亿,False,1888.09亿,-0.47%,0.5500,4.28,0.92,0.95,2.72,21.07%,13.44%,11.49%,22.85,95.80%
601658,邮储银行,2017-12-31,476.83亿,19.80%,522.95亿,33.11%,2245.72亿,18.94%,0.5900,4.73,0.92,1.31,-4.93,21.24%,13.07%,11.06%,19.91,95.21%
601658,邮储银行,2018-03-31,165.05亿,False,False,False,632.39亿,False,0.2000,False,False,False,False,26.12%,False,False,19.58,95.13%
601658,邮储银行,2018-06-30,325.23亿,False,False,False,1251.24亿,False,False,False,False,False,False,26.32%,False,False,False,False
601658,邮储银行,2018-09-30,467.10亿,False,481.43亿,False,1963.64亿,False,0.5500,False,False,False,0.94,23.79%,14.60%,False,False,94.97%
601658,邮储银行,2018-12-31,523.11亿,9.71%,539.66亿,3.20%,2609.95亿,16.22%,0.6200,5.26,0.92,1.64,2.28,20.07%,12.31%,11.03%,19.06,95.01%
601658,邮储银行,2019-03-31,185.20亿,12.21%,183.38亿,False,684.26亿,8.28%,0.2300,5.49,0.92,False,4.28,27.09%,4.25%,3.76%,19.58,95.13%
601658,邮储银行,2019-06-30,373.81亿,14.94%,368.42亿,False,1416.06亿,13.17%,0.4300,5.49,0.92,1.88,1.40,26.43%,7.91%,7.58%,19.41,95.09%
601658,邮储银行,2019-09-30,542.88亿,16.22%,531.53亿,10.41%,2103.65亿,7.13%,0.6400,5.71,0.92,2.09,1.07,25.83%,15.69%,10.63%,18.80,94.94%
601658,邮储银行,2019-12-31,609.33亿,16.48%,597.19亿,10.66%,2768.09亿,6.06%,0.7200,5.75,1.13,1.83,0.31,22.05%,13.10%,11.20%,17.78,94.67%
601658,邮储银行,2020-03-31,200.94亿,8.50%,200.50亿,9.34%,721.71亿,5.47%,0.2300,6.00,1.16,2.04,0.99,27.86%,3.94%,3.09%,15.61,93.97%
601658,邮储银行,2020-06-30,336.58亿,-9.96%,332.56亿,-9.73%,1463.46亿,3.35%,0.3600,5.90,1.16,1.96,-0.13,23.01%,6.33%,5.25%,16.11,94.15%
601658,邮储银行,2020-09-30,528.44亿,-2.66%,523.73亿,-1.47%,2162.63亿,2.80%,0.5800,6.09,1.16,2.18,0.27,24.46%,9.88%,8.04%,15.94,94.09%
601658,邮储银行,2020-12-31,641.99亿,5.36%,633.82亿,6.13%,2862.02亿,3.39%,0.7100,6.25,1.16,2.08,1.86,22.47%,11.84%,9.56%,15.90,94.07%
601658,邮储银行,2021-03-31,212.01亿,5.51%,211.50亿,5.49%,773.30亿,7.15%,0.2400,6.41,1.36,2.15,1.22,27.58%,3.70%,2.83%,14.95,93.72%
601658,邮储银行,2021-06-30,410.10亿,21.84%,408.95亿,22.97%,1576.53亿,7.73%,0.4000,6.40,1.36,2.13,1.82,26.16%,6.65%,5.47%,15.31,93.86%
601658,邮储银行,2021-09-30,645.07亿,22.07%,642.69亿,22.71%,2383.58亿,10.22%,0.6500,6.71,1.36,2.39,-0.54,27.20%,10.26%,8.29%,14.71,93.63%
601658,邮储银行,2021-12-31,761.70亿,18.65%,755.28亿,19.16%,3187.62亿,11.38%,0.7800,6.89,1.36,2.15,1.19,24.01%,11.86%,9.59%,14.85,93.68%
601658,邮储银行,2022-03-31,249.77亿,17.81%,249.25亿,17.85%,851.70亿,10.14%,0.2600,7.08,1.36,2.38,1.55,29.38%,3.71%,2.97%,14.76,93.65%
601658,邮储银行,2022-06-30,471.14亿,14.88%,470.12亿,14.96%,1734.61亿,10.03%,0.4400,7.06,1.36,2.35,1.59,27.19%,6.68%,5.61%,14.99,93.73%
601658,邮储银行,2022-09-30,738.49亿,14.48%,736.90亿,14.66%,2569.31亿,7.79%,0.7300,7.32,1.36,2.64,1.40,28.78%,10.43%,9.05%,15.56,93.95%
601658,邮储银行,2022-12-31,852.24亿,11.89%,849.40亿,12.46%,3349.56亿,5.08%,0.8500,7.41,1.35,2.44,5.14,25.48%,11.89%,10.34%,16.07,94.13%
601658,邮储银行,2023-03-31,262.80亿,5.22%,262.63亿,5.37%,881.63亿,3.51%,0.2700,7.56,1.64,2.48,0.24,29.81%,3.59%,2.95%,15.51,93.93%
601658,邮储银行,2023-06-30,495.64亿,5.20%,495.02亿,5.30%,1769.76亿,2.03%,0.4600,7.55,1.64,2.46,0.84,28.05%,6.43%,5.58%,16.01,94.11%
601658,邮储银行,2023-09-30,756.55亿,2.45%,755.97亿,2.59%,2601.22亿,1.24%,0.7300,7.80,1.64,2.72,-0.29,29.13%,9.68%,8.28%,15.76,94.02%
601658,邮储银行,2023-12-31,862.70亿,1.23%,861.63亿,1.44%,3425.07亿,2.25%,0.8300,7.92,1.64,2.51,2.66,25.23%,10.85%,9.03%,15.47,93.92%
601658,邮储银行,2024-03-31,259.26亿,-1.35%,258.08亿,-1.73%,894.30亿,1.44%,0.2500,8.14,1.64,2.73,2.27,29.02%,3.09%,2.57%,15.22,93.82%
601658,邮储银行,2024-06-30,488.15亿,-1.51%,486.86亿,-1.65%,1767.89亿,-0.11%,0.4400,8.12,1.64,2.70,1.32,27.65%,5.72%,4.86%,15.33,93.87%
601658,邮储银行,2024-09-30,758.18亿,0.22%,756.09亿,0.02%,2603.49亿,0.09%,0.7100,8.38,1.64,2.97,2.83,29.19%,8.84%,7.35%,15.24,93.83%
601658,邮储银行,2024-12-31,864.79亿,0.24%,855.76亿,-0.68%,3487.75亿,1.83%,0.8100,8.37,1.64,2.66,4.01,24.86%,9.84%,8.40%,15.59,93.96%
601658,邮储银行,2025-03-31,252.46亿,-2.62%,253.17亿,-1.90%,893.63亿,-0.07%,0.2400,8.51,1.64,2.85,0.76,28.38%,2.83%,2.54%,16.79,94.37%
601658,邮储银行,2025-06-30,492.28亿,0.85%,493.33亿,1.33%,1794.46亿,1.50%,0.4300,8.23,2.26,2.46,1.53,27.54%,5.46%,4.32%,14.97,93.73%
601658,邮储银行,2025-09-30,765.62亿,0.98%,767.72亿,1.54%,2650.80亿,1.82%,0.6600,8.44,2.26,2.68,2.91,28.97%,8.00%,6.58%,14.99,93.73%
601658,邮储银行,2025-12-31,874.04亿,1.07%,879.71亿,2.80%,3557.28亿,1.99%,0.7300,8.41,2.26,2.38,3.43,24.63%,8.67%,7.53%,15.10,93.78%
601658,邮储银行,2026-03-31,257.26亿,1.90%,256.80亿,1.43%,961.62亿,7.61%,0.2000,8.60,2.26,2.56,2.56,26.88%,2.43%,2.23%,15.93,94.08%
