银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601665,齐鲁银行,2004-12-31,5049.50万,False,False,False,9.97亿,False,False,False,0.02,0.06,False,5.06%,False,False,0.73,0.70,0.02,17.19,94.50%
601665,齐鲁银行,2005-12-31,6817.20万,35.01%,False,False,11.93亿,19.63%,False,False,0.02,0.07,False,5.72%,False,False,0.72,0.68,0.02,17.51,94.60%
601665,齐鲁银行,2006-12-31,1.43亿,109.38%,False,False,15.04亿,26.07%,False,False,0.05,0.10,False,9.49%,False,False,0.72,0.70,0.0064,16.53,94.29%
601665,齐鲁银行,2007-12-31,2.34亿,63.73%,False,False,13.52亿,-10.10%,False,False,0.04,0.12,False,17.29%,False,False,False,False,False,18.98,95.00%
601665,齐鲁银行,2008-12-31,3.51亿,50.25%,False,False,19.09亿,41.19%,0.2300,False,0.24,0.18,False,18.40%,False,False,False,False,False,17.55,94.61%
601665,齐鲁银行,2009-09-30,3.86亿,False,False,False,13.30亿,False,False,False,0.08,0.25,False,29.04%,False,False,False,False,False,20.93,95.44%
601665,齐鲁银行,2009-12-31,4.85亿,38.23%,False,False,18.40亿,-2.59%,False,False,0.09,0.20,False,26.32%,False,False,False,False,False,20.95,95.44%
601665,齐鲁银行,2010-12-31,3.33亿,-31.31%,False,False,23.02亿,25.08%,False,False,0.65,-0.23,False,14.48%,False,False,False,False,False,22.66,95.77%
601665,齐鲁银行,2011-12-31,7.89亿,136.81%,False,False,21.19亿,-7.93%,False,False,0.64,0.0034,False,37.17%,False,False,False,False,False,16.64,94.30%
601665,齐鲁银行,2012-12-31,8.61亿,9.12%,False,False,24.62亿,16.15%,False,False,0.66,0.17,False,34.95%,False,False,False,False,False,14.77,93.63%
601665,齐鲁银行,2013-12-31,10.09亿,17.13%,9.96亿,False,28.34亿,15.11%,0.4200,2.53,0.68,0.44,0.78,35.68%,17.98%,16.88%,False,False,False,14.72,93.62%
601665,齐鲁银行,2014-06-30,6.74亿,False,6.68亿,False,17.64亿,False,0.2800,False,False,False,False,38.36%,10.63%,False,False,False,False,False,False
601665,齐鲁银行,2014-12-31,10.90亿,8.03%,11.35亿,13.88%,35.31亿,24.62%,0.4600,3.05,0.69,0.60,7.58,31.01%,16.66%,15.15%,False,False,False,16.07,94.12%
601665,齐鲁银行,2015-06-30,5.22亿,-22.58%,5.20亿,-22.22%,17.90亿,1.46%,0.2200,3.28,0.94,0.68,0.77,29.37%,6.96%,5.61%,False,False,False,13.18,92.92%
601665,齐鲁银行,2015-09-30,7.58亿,False,False,False,28.79亿,False,0.3000,False,False,False,2.92,26.56%,False,False,False,False,False,False,False
601665,齐鲁银行,2015-12-31,11.87亿,8.89%,11.54亿,1.72%,42.32亿,19.84%,0.4600,3.51,0.94,0.61,6.88,28.27%,13.76%,11.92%,False,False,False,14.34,93.43%
601665,齐鲁银行,2016-03-31,4.97亿,False,4.93亿,False,12.70亿,False,0.1700,False,False,False,0.91,39.46%,4.88%,False,False,False,False,False,False
601665,齐鲁银行,2016-06-30,8.11亿,55.38%,8.06亿,55.08%,25.75亿,43.89%,0.2900,3.62,0.94,0.78,1.45,31.76%,7.92%,7.88%,False,False,False,15.83,94.01%
601665,齐鲁银行,2016-09-30,11.93亿,57.33%,False,False,38.17亿,32.57%,0.4200,3.82,0.94,0.91,1.79,31.50%,False,9.27%,False,False,False,13.48,93.05%
601665,齐鲁银行,2016-12-31,16.42亿,38.33%,16.20亿,40.33%,51.54亿,21.79%,0.5800,3.80,0.94,0.75,5.68,32.09%,15.92%,12.85%,False,False,False,15.20,93.78%
601665,齐鲁银行,2017-03-31,5.23亿,5.23%,5.22亿,5.90%,12.62亿,-0.60%,0.1800,3.89,0.94,0.93,-0.28,41.67%,4.79%,4.01%,False,False,False,15.10,93.74%
601665,齐鲁银行,2017-06-30,10.28亿,26.67%,10.23亿,26.97%,26.16亿,1.35%,0.3600,3.87,0.94,0.96,1.45,39.61%,9.32%,7.91%,False,False,False,15.56,93.92%
