银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601818,光大银行,2005-12-31,25.41亿,False,False,False,119.04亿,False,False,False,0.35,-1.69,False,21.34%,False,False,False,100.54%
601818,光大银行,2006-12-31,26.50亿,4.30%,False,False,137.93亿,15.87%,False,False,0.0031,-1.03,False,19.21%,False,False,False,100.03%
601818,光大银行,2007-12-31,50.39亿,90.16%,56.34亿,False,200.44亿,45.32%,0.5100,0.88,-0.0050,-0.12,1.22,25.14%,128.55%,20.41%,28.94,96.66%
601818,光大银行,2008-12-31,73.16亿,45.19%,58.82亿,4.40%,247.01亿,23.23%,0.2600,1.18,0.04,0.08,0.92,29.62%,25.26%,22.01%,24.63,96.10%
601818,光大银行,2009-09-30,58.71亿,False,False,False,179.58亿,False,0.2000,False,False,False,False,32.69%,False,False,False,False
601818,光大银行,2009-12-31,76.43亿,4.48%,76.71亿,30.40%,242.59亿,-1.79%,0.2600,1.44,0.19,0.05,0.82,31.51%,19.43%,15.89%,23.90,95.98%
601818,光大银行,2010-03-31,38.33亿,False,False,False,85.05亿,False,0.1100,False,False,False,-1.76,45.06%,7.65%,False,False,False
601818,光大银行,2010-06-30,68.34亿,False,68.47亿,False,173.15亿,False,0.2000,1.65,0.20,0.07,-0.31,39.47%,13.22%,12.37%,24.80,96.12%
601818,光大银行,2010-09-30,100.58亿,71.34%,100.63亿,False,263.85亿,46.92%,0.2900,1.97,0.52,0.14,1.07,38.12%,18.17%,12.60%,17.67,94.64%
601818,光大银行,2010-12-31,127.90亿,67.34%,126.96亿,65.51%,355.30亿,46.46%,0.3600,2.01,0.49,0.17,0.38,36.01%,20.99%,15.72%,17.24,94.51%
601818,光大银行,2011-03-31,48.62亿,26.86%,48.54亿,False,111.53亿,31.13%,0.1200,2.13,0.49,0.25,0.32,43.64%,5.80%,5.64%,18.53,94.88%
601818,光大银行,2011-06-30,92.10亿,34.76%,92.00亿,34.37%,229.30亿,32.43%,0.2300,2.14,0.49,0.27,0.18,40.22%,10.72%,10.63%,18.18,94.78%
601818,光大银行,2011-09-30,141.33亿,40.51%,141.01亿,40.12%,338.65亿,28.35%,0.3500,2.25,0.47,0.39,0.55,41.78%,16.30%,15.56%,17.39,94.55%
601818,光大银行,2011-12-31,180.68亿,41.26%,180.23亿,41.96%,460.72亿,29.67%,0.4500,2.38,0.50,0.42,1.15,39.25%,20.44%,18.83%,17.05,94.45%
601818,光大银行,2012-03-31,68.60亿,41.08%,68.57亿,41.27%,150.95亿,35.34%,0.1700,2.55,0.51,0.59,-0.18,45.49%,6.89%,6.65%,18.55,94.88%
601818,光大银行,2012-06-30,129.20亿,40.28%,128.95亿,40.16%,304.80亿,32.92%,0.3200,2.59,0.53,0.61,-0.29,42.44%,12.60%,12.36%,19.02,95.00%
601818,光大银行,2012-09-30,190.33亿,34.67%,190.04亿,34.78%,443.78亿,31.05%,0.4700,2.72,0.51,0.76,2.47,42.94%,18.33%,17.32%,19.18,95.04%
601818,光大银行,2012-12-31,235.91亿,30.57%,235.37亿,30.60%,599.16亿,30.05%,0.5800,2.82,0.50,0.47,6.73,39.42%,22.54%,20.66%,18.96,94.98%
601818,光大银行,2013-03-31,79.64亿,16.09%,79.53亿,15.99%,167.82亿,11.18%,0.2000,3.03,0.51,0.66,1.78,47.52%,6.73%,6.51%,18.72,94.92%
601818,光大银行,2013-06-30,149.17亿,15.46%,148.96亿,15.52%,337.82亿,10.83%,0.3700,3.14,0.50,0.78,1.87,44.22%,12.30%,11.76%,18.48,94.86%
601818,光大银行,2013-09-30,216.64亿,13.82%,216.13亿,13.73%,487.68亿,9.89%,0.5400,3.27,0.47,0.94,0.38,44.50%,17.57%,16.40%,17.72,94.65%
601818,光大银行,2013-12-31,267.15亿,13.24%,266.21亿,13.10%,653.06亿,9.00%,0.6600,3.30,0.62,0.84,-0.02,40.97%,21.48%,17.48%,14.80,93.66%
601818,光大银行,2014-03-31,81.67亿,2.55%,81.59亿,2.59%,179.39亿,6.89%,0.1800,3.50,0.66,1.01,1.30,45.60%,5.16%,4.99%,14.76,93.65%
601818,光大银行,2014-06-30,158.45亿,6.22%,158.10亿,6.14%,374.60亿,10.89%,0.3400,3.53,0.70,1.00,1.17,42.37%,9.70%,9.61%,15.18,93.81%
601818,光大银行,2014-09-30,233.22亿,7.65%,232.85亿,7.74%,579.30亿,18.79%,0.5000,3.70,0.71,1.16,1.59,40.33%,14.16%,13.49%,13.93,93.29%
601818,光大银行,2014-12-31,288.83亿,8.12%,287.95亿,8.17%,785.31亿,20.25%,0.6200,3.83,0.71,1.13,0.74,36.84%,17.36%,16.14%,14.29,93.44%
601818,光大银行,2015-03-31,83.58亿,2.34%,83.57亿,2.43%,222.63亿,24.10%,0.1800,4.02,0.71,1.31,1.91,37.61%,4.56%,4.46%,14.29,93.44%
601818,光大银行,2015-06-30,162.41亿,2.50%,162.31亿,2.66%,455.38亿,21.56%,0.3500,4.03,0.71,1.29,4.29,35.72%,8.65%,8.64%,13.43,93.05%
601818,光大银行,2015-09-30,238.75亿,2.37%,238.41亿,2.39%,700.47亿,20.92%,0.5100,4.21,0.71,1.46,4.18,34.14%,12.62%,11.03%,13.26,92.97%
601818,光大银行,2015-12-31,295.28亿,2.23%,294.47亿,2.26%,931.59亿,18.63%,0.6300,4.36,0.71,1.38,4.53,31.75%,15.50%,14.51%,13.17,92.93%
601818,光大银行,2016-03-31,84.46亿,1.05%,84.28亿,0.85%,235.40亿,5.74%,0.1800,4.55,0.71,1.56,1.74,35.94%,4.06%,3.64%,14.04,93.34%
601818,光大银行,2016-06-30,164.39亿,1.22%,163.73亿,0.87%,469.68亿,3.14%,0.3300,4.49,0.71,1.52,6.74,35.06%,7.28%,7.35%,15.41,93.89%
601818,光大银行,2016-09-30,244.37亿,2.35%,243.66亿,2.20%,707.54亿,1.01%,0.5000,4.67,0.71,1.69,4.92,34.61%,11.00%,9.85%,14.46,93.52%
601818,光大银行,2016-12-31,303.29亿,2.71%,301.55亿,2.40%,940.37亿,0.94%,0.6300,4.72,0.71,1.51,7.49,32.31%,13.80%,13.27%,15.05,93.75%
601818,光大银行,2017-03-31,85.79亿,1.57%,85.78亿,1.78%,236.57亿,0.50%,0.1800,4.99,0.71,1.70,-3.50,36.35%,3.83%,3.26%,14.68,93.61%
601818,光大银行,2017-06-30,169.39亿,3.04%,169.04亿,3.24%,463.34亿,-1.35%,0.3400,5.05,0.71,1.75,-5.14,36.63%,6.88%,6.74%,14.19,93.40%
601818,光大银行,2017-09-30,254.33亿,4.08%,253.77亿,4.15%,687.91亿,-2.77%,0.5100,5.22,0.71,1.93,-4.38,37.04%,10.25%,9.29%,13.73,93.19%
601818,光大银行,2017-12-31,315.45亿,4.01%,314.26亿,4.21%,918.50亿,-2.33%,0.6400,5.24,1.02,1.76,-2.72,34.42%,12.75%,10.95%,12.41,92.53%
601818,光大银行,2018-03-31,90.51亿,5.50%,90.31亿,5.28%,253.44亿,7.13%,0.1700,5.26,1.02,1.75,-1.04,35.79%,3.34%,2.96%,12.61,92.64%
601818,光大银行,2018-06-30,180.75亿,6.71%,180.30亿,6.66%,522.31亿,12.73%,0.3200,5.22,1.02,1.72,2.31,34.66%,6.18%,6.21%,13.08,92.88%
601818,光大银行,2018-09-30,277.60亿,9.15%,277.26亿,9.26%,813.55亿,18.26%,0.5000,5.42,1.02,1.90,1.97,34.17%,9.50%,8.83%,12.86,92.77%
601818,光大银行,2018-12-31,336.59亿,6.70%,336.83亿,7.18%,1102.44亿,20.03%,0.6100,5.55,1.02,1.91,0.37,30.59%,11.55%,11.05%,12.55,92.60%
601818,光大银行,2019-03-31,97.33亿,7.54%,97.22亿,7.65%,338.43亿,33.53%,0.1900,5.65,1.02,2.10,-0.61,28.81%,3.28%,2.93%,12.62,92.64%
601818,光大银行,2019-06-30,204.44亿,13.11%,203.88亿,13.08%,661.39亿,26.63%,0.3700,5.77,1.02,2.12,0.29,30.97%,6.45%,12.79%,12.95,92.81%
601818,光大银行,2019-09-30,313.99亿,13.11%,313.50亿,13.07%,1002.21亿,23.19%,0.5700,5.99,1.02,2.32,-0.17,31.40%,9.86%,8.28%,11.45,91.95%
601818,光大银行,2019-12-31,373.54亿,10.98%,373.96亿,11.02%,1328.12亿,20.47%,0.6800,6.10,1.02,2.30,1.24,28.19%,11.77%,11.22%,11.29,91.84%
601818,光大银行,2020-03-31,108.31亿,11.28%,108.35亿,11.45%,373.05亿,10.23%,0.1900,6.33,1.02,2.48,4.31,29.15%,3.08%,2.73%,12.17,92.39%
601818,光大银行,2020-06-30,183.63亿,-10.18%,183.56亿,-9.97%,721.14亿,9.03%,0.3100,6.20,1.02,2.39,3.57,25.54%,5.03%,5.08%,12.80,92.74%
601818,光大银行,2020-09-30,296.13亿,-5.69%,295.49亿,-5.74%,1068.86亿,6.59%,0.5200,6.37,1.02,2.60,2.05,27.81%,8.32%,6.74%,11.04,91.66%
601818,光大银行,2020-12-31,378.35亿,1.29%,356.57亿,-4.65%,1425.72亿,7.28%,0.6800,6.45,1.08,2.53,2.17,26.60%,10.71%,8.34%,10.84,91.52%
601818,光大银行,2021-03-31,115.22亿,6.38%,114.68亿,5.84%,387.22亿,3.72%,0.1800,6.63,1.08,2.71,-1.34,29.88%,2.78%,2.49%,11.05,91.68%
601818,光大银行,2021-06-30,224.45亿,22.23%,223.57亿,21.80%,770.92亿,6.83%,0.3700,6.62,1.08,2.68,-2.65,29.21%,5.53%,5.56%,11.48,91.96%
601818,光大银行,2021-09-30,350.85亿,18.48%,348.70亿,18.01%,1167.78亿,9.25%,0.5600,6.83,1.08,2.88,-3.28,30.18%,8.37%,7.40%,10.99,91.63%
601818,光大银行,2021-12-31,434.07亿,14.73%,430.76亿,20.81%,1527.51亿,7.14%,0.7100,6.99,1.08,2.89,-2.08,28.57%,10.64%,10.22%,11.23,91.79%
601818,光大银行,2022-03-31,117.50亿,1.98%,117.42亿,2.39%,387.69亿,0.12%,0.1900,7.13,1.08,3.06,-4.03,30.53%,2.63%,2.40%,11.74,92.12%
601818,光大银行,2022-06-30,232.99亿,3.80%,233.27亿,4.34%,784.54亿,1.77%,0.3800,7.14,1.08,3.05,-3.31,29.89%,5.38%,5.38%,11.75,92.13%
601818,光大银行,2022-09-30,365.91亿,4.29%,366.06亿,4.98%,1172.78亿,0.43%,0.5900,7.35,1.08,3.26,-2.40,31.35%,8.18%,7.29%,11.48,91.96%
601818,光大银行,2022-12-31,448.07亿,3.23%,447.72亿,3.94%,1516.32亿,-0.73%,0.7400,7.46,1.08,3.32,-1.04,29.70%,10.27%,9.92%,11.40,91.91%
601818,光大银行,2023-03-31,123.78亿,5.34%,123.52亿,5.20%,381.58亿,-1.58%,0.1900,7.30,1.26,3.21,-0.28,32.64%,2.61%,2.31%,11.48,91.96%
