银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601825,沪农商行,2004-12-31,False,False,False,False,False,False,False,False,0.29,-0.10,False,False,False,False,False,False,0.63,0.60,0.02,33.90,97.13%
601825,沪农商行,2005-12-31,3.28亿,False,False,False,35.49亿,False,False,False,False,0.11,False,9.23%,False,False,0.63,0.63,0.71,0.70,0.09,19.71,95.17%
601825,沪农商行,2006-12-31,3.98亿,21.64%,False,False,45.66亿,28.64%,False,False,0.0015,0.20,False,8.73%,False,False,0.51,0.51,0.61,0.59,0.07,19.99,95.24%
601825,沪农商行,2007-12-31,3.72亿,-6.60%,False,False,57.92亿,26.87%,False,False,0.33,0.17,False,6.43%,False,False,0.62,0.62,0.58,0.56,0.03,17.25,94.52%
601825,沪农商行,2008-12-31,7.41亿,99.06%,False,False,75.18亿,29.80%,False,False,0.33,0.88,False,9.85%,False,False,0.69,0.69,0.61,0.58,0.02,13.89,93.28%
601825,沪农商行,2009-06-30,4.12亿,False,False,False,24.10亿,False,False,False,0.37,0.87,False,17.09%,False,False,False,False,False,False,False,15.89,94.08%
601825,沪农商行,2009-12-31,19.71亿,166.09%,False,False,50.27亿,-33.13%,False,False,0.42,1.12,False,39.17%,False,False,False,False,False,False,False,15.30,93.84%
601825,沪农商行,2010-03-31,3.87亿,False,False,False,11.93亿,False,0.1000,False,False,False,False,32.44%,False,False,False,False,False,False,False,False,False
601825,沪农商行,2010-06-30,5.19亿,26.10%,False,False,28.01亿,16.21%,0.1400,False,False,False,False,18.54%,False,False,False,False,False,False,False,False,False
601825,沪农商行,2010-09-30,6.59亿,False,False,False,44.23亿,False,0.1800,False,False,False,False,14.90%,False,False,False,False,False,False,False,False,False
601825,沪农商行,2010-12-31,22.20亿,12.60%,False,False,63.77亿,26.85%,False,False,1.72,0.65,False,34.90%,False,False,False,False,False,False,False,9.88,90.79%
601825,沪农商行,2011-03-31,5.53亿,42.82%,False,False,21.10亿,76.90%,0.1100,False,1.64,0.80,False,26.19%,False,False,False,False,False,False,False,11.09,91.73%
601825,沪农商行,2011-06-30,16.28亿,213.52%,False,False,42.82亿,52.85%,0.3300,False,1.60,0.84,False,38.03%,False,False,False,False,False,False,False,10.94,91.63%
601825,沪农商行,2011-09-30,29.00亿,339.86%,False,False,65.53亿,48.16%,0.5800,False,1.52,1.10,False,44.24%,False,False,False,False,False,False,False,10.58,91.36%
601825,沪农商行,2011-12-31,31.87亿,43.58%,False,False,90.27亿,41.55%,False,False,1.51,1.11,False,35.47%,False,False,False,False,False,False,False,11.40,91.91%
601825,沪农商行,2012-03-31,9.24亿,67.15%,False,False,25.60亿,21.33%,0.1800,False,1.49,1.34,False,36.08%,False,False,False,False,False,False,False,11.48,91.99%
601825,沪农商行,2012-06-30,19.92亿,22.32%,False,False,52.40亿,22.38%,0.4000,False,1.53,1.23,False,38.12%,False,False,False,False,False,False,False,11.64,92.02%
601825,沪农商行,2012-09-30,30.31亿,4.54%,False,False,78.19亿,19.31%,0.6100,False,1.48,1.44,False,38.48%,False,False,False,False,False,False,False,11.81,91.97%
601825,沪农商行,2012-12-31,37.24亿,16.86%,False,False,108.71亿,20.42%,False,False,1.64,1.57,False,33.63%,False,False,False,False,False,False,False,11.56,91.82%
601825,沪农商行,2013-12-31,42.15亿,13.18%,False,False,111.88亿,2.92%,False,False,1.55,1.88,False,38.59%,False,False,False,False,False,False,False,12.17,92.16%
601825,沪农商行,2014-12-31,48.48亿,15.02%,False,False,141.51亿,26.48%,False,False,1.62,2.37,False,35.42%,False,False,False,False,False,False,False,12.12,92.14%
601825,沪农商行,2015-12-31,56.34亿,16.20%,False,False,152.85亿,8.01%,False,False,1.62,2.78,False,38.00%,False,False,False,False,False,False,False,12.98,92.62%
601825,沪农商行,2016-03-31,20.85亿,False,False,False,37.78亿,False,False,False,1.76,3.09,False,55.19%,False,False,False,False,False,False,False,13.56,93.13%
601825,沪农商行,2016-06-30,32.15亿,False,False,False,75.63亿,False,False,False,1.71,2.51,False,42.51%,False,False,False,False,False,False,False,14.12,93.39%
