银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601838,成都银行,2007-12-31,3.14亿,False,False,False,16.22亿,False,0.2500,False,0.25,-0.82,False,19.36%,False,False,72.59,98.64%
601838,成都银行,2008-12-31,7.50亿,138.92%,False,False,24.52亿,51.19%,0.3600,False,1.24,-0.29,False,30.60%,False,False,9.95,90.87%
601838,成都银行,2009-12-31,10.84亿,44.40%,False,False,23.71亿,-3.31%,0.3300,False,1.24,-0.05,False,45.70%,False,False,12.51,92.60%
601838,成都银行,2010-06-30,7.55亿,False,False,False,16.81亿,False,0.2300,False,1.24,0.07,False,44.93%,False,False,12.08,92.36%
601838,成都银行,2010-12-31,16.25亿,50.01%,False,False,36.54亿,54.12%,0.5000,False,1.24,0.20,False,44.48%,False,False,15.79,94.04%
601838,成都银行,2011-12-31,24.04亿,47.91%,22.52亿,False,49.65亿,35.88%,0.7400,3.36,1.24,0.58,0.21,48.41%,24.31%,22.00%,15.60,93.96%
601838,成都银行,2012-12-31,25.42亿,5.72%,24.90亿,10.58%,56.21亿,13.22%,0.7800,3.96,1.23,1.10,7.76,45.21%,21.44%,19.73%,17.65,94.63%
601838,成都银行,2013-12-31,29.75亿,17.06%,29.50亿,18.49%,70.68亿,25.74%,0.9100,4.68,1.22,1.27,0.73,42.06%,21.08%,19.53%,16.17,94.15%
601838,成都银行,2014-12-31,35.48亿,19.26%,35.26亿,19.52%,91.31亿,29.19%,1.0900,5.58,1.24,1.85,7.74,38.90%,21.32%,19.56%,15.55,93.94%
601838,成都银行,2015-12-31,28.16亿,-20.63%,26.32亿,-25.36%,89.59亿,-1.89%,0.8700,6.22,1.24,2.27,2.56,31.49%,14.69%,13.93%,14.90,93.69%
601838,成都银行,2016-09-30,22.06亿,False,21.97亿,False,63.80亿,False,0.6800,False,False,False,9.36,34.62%,10.63%,False,False,False
601838,成都银行,2016-12-31,25.77亿,-8.48%,25.27亿,-3.98%,86.21亿,-3.89%,0.7900,6.74,1.24,2.55,4.11,30.00%,12.24%,11.76%,15.47,93.91%
601838,成都银行,2017-03-31,8.56亿,False,8.54亿,False,20.79亿,False,0.2600,False,False,False,-3.97,41.26%,3.84%,False,False,False
601838,成都银行,2017-06-30,16.52亿,False,16.51亿,False,41.19亿,False,0.5100,6.99,1.24,2.81,4.19,40.10%,7.40%,7.27%,15.65,93.98%
601838,成都银行,2017-09-30,28.10亿,27.41%,27.91亿,27.03%,65.47亿,2.29%,0.8600,7.35,1.24,3.17,13.25,43.08%,12.34%,11.76%,16.15,94.15%
601838,成都银行,2017-12-31,39.09亿,51.64%,38.52亿,52.44%,96.54亿,11.99%,1.2000,7.68,1.24,3.16,13.11,40.53%,16.83%,15.66%,16.41,94.24%
601838,成都银行,2018-03-31,10.32亿,20.45%,10.32亿,20.81%,25.69亿,23.59%,0.3000,7.87,1.69,3.13,-6.87,40.14%,3.81%,3.63%,14.97,93.72%
601838,成都银行,2018-06-30,21.23亿,28.49%,21.24亿,28.62%,54.33亿,31.89%,0.6000,7.90,1.69,3.15,0.67,39.09%,7.56%,7.44%,15.60,93.96%
601838,成都银行,2018-09-30,33.96亿,20.85%,33.98亿,21.77%,84.18亿,28.59%,0.9500,8.28,1.70,3.51,0.74,40.37%,11.91%,11.36%,15.18,93.81%
601838,成都银行,2018-12-31,46.49亿,18.95%,46.52亿,20.75%,115.90亿,20.05%,1.3000,8.64,1.70,3.50,-3.29,40.15%,16.04%,14.90%,14.78,93.65%
601838,成都银行,2019-03-31,12.67亿,22.78%,12.68亿,22.87%,30.03亿,16.89%,0.3500,9.00,1.70,3.86,0.88,42.22%,3.98%,3.89%,14.65,93.59%
601838,成都银行,2019-06-30,25.05亿,17.98%,25.14亿,18.39%,61.08亿,12.41%,0.6900,8.98,1.70,3.85,-3.75,41.05%,7.72%,7.73%,15.47,93.92%
601838,成都银行,2019-09-30,40.07亿,18.01%,40.11亿,18.05%,93.02亿,10.50%,1.1100,9.40,1.70,4.27,-4.93,43.12%,12.23%,11.80%,14.99,93.73%
601838,成都银行,2019-12-31,55.51亿,19.40%,55.49亿,19.30%,127.25亿,9.79%,1.5400,9.84,1.70,4.18,6.61,43.66%,16.63%,15.61%,14.70,93.62%
601838,成都银行,2020-03-31,14.14亿,11.60%,14.22亿,12.13%,34.27亿,14.13%,0.3900,10.27,1.70,4.57,-0.46,41.25%,3.89%,3.81%,14.44,93.51%
601838,成都银行,2020-06-30,27.53亿,9.91%,27.58亿,9.69%,68.14亿,11.57%,0.7600,10.19,1.70,4.52,5.10,40.43%,7.45%,7.48%,15.69,94.00%
601838,成都银行,2020-09-30,42.00亿,4.81%,42.00亿,4.71%,104.24亿,12.06%,1.1600,10.55,1.70,4.92,7.59,40.32%,11.32%,11.02%,15.76,94.02%
601838,成都银行,2020-12-31,60.25亿,8.53%,60.40亿,8.83%,146.00亿,14.73%,1.6700,11.08,1.70,4.91,-0.22,41.29%,15.94%,13.09%,13.17,92.93%
601838,成都银行,2021-03-31,16.69亿,18.10%,16.76亿,17.92%,41.10亿,19.93%,0.4600,11.54,1.70,5.37,-0.45,40.64%,4.09%,3.50%,13.97,93.31%
601838,成都银行,2021-06-30,33.89亿,23.11%,33.78亿,22.48%,85.41亿,25.34%,0.9400,11.54,1.70,5.38,5.92,39.70%,8.18%,7.11%,14.43,93.51%
601838,成都银行,2021-09-30,51.31亿,22.15%,51.17亿,21.84%,131.35亿,26.01%,1.4200,12.05,1.70,5.87,7.56,39.07%,12.25%,10.36%,14.07,93.35%
601838,成都银行,2021-12-31,78.31亿,29.98%,78.04亿,29.21%,178.90亿,22.54%,2.0900,12.72,1.70,5.82,-0.97,43.77%,17.60%,15.08%,13.79,93.23%
601838,成都银行,2022-03-31,21.51亿,28.83%,21.47亿,28.10%,48.36亿,17.65%,0.6000,13.26,1.70,6.42,-0.20,44.46%,4.58%,3.94%,14.34,93.47%
601838,成都银行,2022-06-30,44.57亿,31.52%,44.35亿,31.29%,99.95亿,17.02%,1.2300,13.44,1.70,6.43,1.88,44.60%,9.29%,8.17%,15.39,93.89%
