银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601860,紫金银行,2010-12-31,4.09亿,False,False,False,15.65亿,False,False,False,0.0003,0.28,False,26.16%,False,False,23.08,95.85%
601860,紫金银行,2011-12-31,4.27亿,4.40%,False,False,18.49亿,18.14%,0.2125,False,0.27,0.23,False,25.03%,False,False,14.94,93.73%
601860,紫金银行,2012-12-31,5.02亿,17.49%,False,False,19.47亿,5.30%,False,False,0.25,0.25,False,25.79%,False,False,11.03,91.69%
601860,紫金银行,2013-12-31,5.77亿,15.03%,5.62亿,False,21.54亿,10.68%,0.2600,1.86,False,0.34,1.41,26.80%,12.98%,12.48%,12.08,92.35%
601860,紫金银行,2014-12-31,7.49亿,29.65%,6.88亿,22.53%,24.86亿,15.41%,0.3200,2.27,0.23,0.42,0.71,30.11%,14.93%,13.90%,12.15,92.40%
601860,紫金银行,2015-06-30,4.61亿,False,False,False,13.07亿,False,False,False,0.23,0.47,False,35.30%,False,False,14.92,93.72%
601860,紫金银行,2015-12-31,8.40亿,12.15%,8.03亿,16.70%,29.43亿,18.35%,0.3500,2.54,0.23,0.51,8.04,28.53%,14.77%,13.93%,15.89,94.08%
601860,紫金银行,2016-03-31,2.41亿,False,False,False,8.15亿,False,False,False,0.23,0.65,False,29.62%,False,False,17.44,94.58%
601860,紫金银行,2016-06-30,5.20亿,12.65%,5.21亿,False,16.56亿,26.66%,0.2200,2.47,False,0.55,0.44,31.39%,8.26%,8.10%,17.63,94.63%
601860,紫金银行,2016-09-30,8.62亿,False,False,False,24.75亿,False,False,False,0.69,0.44,False,34.85%,False,False,13.56,93.13%
601860,紫金银行,2016-12-31,10.33亿,23.04%,9.90亿,23.27%,34.42亿,16.96%,0.3800,2.83,0.67,0.49,-0.25,30.02%,14.22%,11.09%,13.37,93.04%
601860,紫金银行,2017-03-31,2.36亿,-2.45%,False,False,8.41亿,3.13%,False,False,0.68,0.56,False,28.02%,False,False,15.78,94.04%
601860,紫金银行,2017-06-30,5.68亿,9.36%,5.71亿,9.59%,17.68亿,6.78%,0.1700,False,0.67,0.41,0.14,32.15%,6.03%,6.04%,16.06,94.14%
601860,紫金银行,2017-09-30,8.79亿,1.95%,9.39亿,False,25.91亿,4.68%,False,2.97,0.65,0.48,1.35,33.94%,False,8.98%,16.07,94.14%
601860,紫金银行,2017-12-31,11.38亿,10.13%,10.60亿,7.03%,36.22亿,5.24%,0.3500,3.02,0.67,0.41,2.63,31.41%,11.88%,11.43%,16.17,94.18%
601860,紫金银行,2018-03-31,2.53亿,7.33%,False,False,8.97亿,6.21%,0.0800,False,0.67,0.64,False,33.91%,False,False,17.28,94.53%
601860,紫金银行,2018-06-30,6.04亿,6.24%,5.70亿,-0.14%,19.64亿,11.10%,0.1800,3.14,0.67,0.46,1.03,30.75%,5.92%,5.84%,17.34,94.55%
601860,紫金银行,2018-09-30,9.87亿,12.31%,9.51亿,1.32%,29.32亿,13.17%,0.3000,3.26,0.67,0.57,1.90,33.68%,9.46%,9.19%,16.72,94.36%
601860,紫金银行,2018-12-31,12.54亿,10.20%,11.91亿,12.42%,42.30亿,16.77%,0.3800,3.36,0.90,0.46,0.88,29.64%,11.93%,10.20%,14.71,93.64%
601860,紫金银行,2019-03-31,2.92亿,15.34%,2.86亿,False,12.09亿,34.86%,0.0800,3.49,0.81,0.49,2.40,24.11%,2.30%,2.28%,15.40,93.90%
601860,紫金银行,2019-06-30,7.15亿,18.41%,6.95亿,22.07%,24.05亿,22.45%,0.2000,3.54,0.81,0.47,2.22,29.73%,5.56%,5.52%,14.78,93.66%
601860,紫金银行,2019-09-30,11.38亿,15.22%,11.15亿,17.31%,35.83亿,22.22%,0.3100,3.65,0.81,0.59,4.06,31.75%,8.76%,8.51%,13.95,93.31%
601860,紫金银行,2019-12-31,14.17亿,13.03%,13.80亿,15.82%,46.75亿,10.54%,0.3900,3.76,0.81,0.62,2.74,30.31%,10.80%,10.31%,13.64,93.17%
601860,紫金银行,2020-03-31,3.23亿,10.71%,3.23亿,12.73%,13.34亿,10.32%,0.0900,3.88,0.81,0.71,1.52,24.20%,2.31%,2.27%,13.46,93.09%
601860,紫金银行,2020-06-30,7.29亿,1.95%,7.02亿,0.89%,24.66亿,2.53%,0.2000,3.77,0.81,0.51,1.34,29.56%,5.22%,5.28%,14.30,93.47%
601860,紫金银行,2020-09-30,11.59亿,1.83%,11.20亿,0.42%,35.03亿,-2.23%,0.3200,3.99,0.81,0.63,2.91,33.07%,8.23%,7.94%,13.90,93.29%
601860,紫金银行,2020-12-31,14.41亿,1.72%,13.65亿,-1.09%,44.77亿,-4.25%,0.3900,3.93,0.81,0.67,3.57,32.20%,10.14%,9.73%,13.69,93.19%
601860,紫金银行,2021-03-31,3.30亿,2.18%,3.24亿,0.24%,10.39亿,-22.14%,0.0900,4.15,0.81,0.76,-0.10,31.75%,2.20%,2.17%,14.03,93.35%
601860,紫金银行,2021-06-30,7.49亿,2.72%,7.35亿,4.81%,21.11亿,-14.40%,0.2000,4.06,0.81,0.55,-2.01,35.48%,4.93%,4.89%,13.89,93.28%
601860,紫金银行,2021-09-30,11.89亿,2.62%,11.72亿,4.60%,33.08亿,-5.57%,0.3200,4.20,0.81,0.67,-5.15,35.94%,7.82%,7.52%,12.78,92.74%
601860,紫金银行,2021-12-31,15.15亿,5.11%,14.79亿,8.35%,45.02亿,0.57%,0.4100,4.37,0.81,0.72,-6.32,33.66%,9.85%,9.47%,11.92,92.26%
601860,紫金银行,2022-03-31,3.65亿,10.53%,3.54亿,9.45%,10.74亿,3.44%,0.1000,4.32,0.81,0.82,4.70,33.93%,2.26%,2.24%,13.03,92.87%
601860,紫金银行,2022-06-30,8.24亿,10.07%,8.15亿,10.90%,21.68亿,2.71%,0.2300,4.37,0.81,0.62,4.00,38.02%,5.08%,5.01%,12.84,92.77%
601860,紫金银行,2022-09-30,12.75亿,7.23%,12.57亿,7.30%,33.76亿,2.04%,0.3500,4.51,0.81,0.74,1.11,37.77%,7.74%,7.53%,12.17,92.41%
