银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601916,浙商银行,2004-12-31,-4168.32万,False,False,False,1.24亿,False,False,False,False,-0.03,False,-33.63%,False,False,1.04,1.03,0.09,6.05,85.82%
601916,浙商银行,2005-12-31,6538.51万,256.86%,False,False,7.44亿,500.31%,False,False,False,0.02,False,8.79%,False,False,0.93,0.90,0.06,13.31,93.01%
601916,浙商银行,2006-12-31,2.80亿,328.25%,False,False,15.97亿,114.63%,False,False,False,0.12,False,17.53%,False,False,0.95,0.90,0.10,19.27,95.07%
601916,浙商银行,2007-12-31,3.70亿,32.14%,False,False,15.41亿,-3.52%,0.2500,False,False,0.16,False,24.01%,False,False,False,False,False,25.32,96.20%
601916,浙商银行,2008-12-31,5.91亿,59.62%,False,False,21.47亿,39.35%,0.2200,False,0.16,0.18,False,27.51%,False,False,False,False,False,18.48,94.87%
601916,浙商银行,2009-12-31,8.67亿,46.80%,False,False,33.12亿,54.25%,0.2300,False,0.33,0.09,False,26.18%,False,False,False,False,False,17.78,94.68%
601916,浙商银行,2010-06-30,8.17亿,False,False,False,24.21亿,False,False,False,False,False,False,33.74%,False,False,False,False,False,False,False
601916,浙商银行,2010-12-31,16.43亿,89.50%,False,False,54.12亿,63.42%,0.2600,False,0.49,0.10,False,30.35%,False,False,False,False,False,11.20,91.80%
601916,浙商银行,2011-06-30,13.38亿,63.77%,False,False,37.04亿,52.99%,False,False,0.49,0.23,False,36.12%,False,False,False,False,False,12.39,92.53%
601916,浙商银行,2011-12-31,28.50亿,73.46%,False,False,84.53亿,56.17%,False,False,0.49,0.30,False,33.72%,False,False,False,False,False,13.59,93.15%
601916,浙商银行,2012-06-30,18.83亿,40.75%,False,False,48.90亿,32.02%,False,False,0.50,0.29,False,38.51%,False,False,False,False,False,15.92,94.09%
601916,浙商银行,2012-12-31,40.26亿,41.26%,False,False,104.22亿,23.30%,False,False,0.49,0.47,False,38.63%,False,False,False,False,False,16.34,94.23%
601916,浙商银行,2013-06-30,24.21亿,28.58%,False,False,62.38亿,27.57%,False,False,0.56,0.21,False,38.81%,False,False,False,False,False,15.65,93.99%
601916,浙商银行,2013-12-31,49.01亿,21.75%,False,False,134.32亿,28.89%,False,False,0.56,0.39,False,36.49%,False,False,False,False,False,16.55,94.30%
601916,浙商银行,2014-06-30,29.32亿,21.11%,False,False,80.36亿,28.82%,False,False,False,False,False,36.49%,False,False,False,False,False,False,False
601916,浙商银行,2014-09-30,44.45亿,False,False,False,124.84亿,False,False,False,False,False,False,35.61%,False,False,False,False,False,False,False
601916,浙商银行,2014-12-31,50.96亿,3.96%,50.31亿,False,172.80亿,28.64%,0.4400,2.88,0.57,0.72,12.46,29.49%,16.72%,15.37%,False,False,False,19.21,95.05%
601916,浙商银行,2015-06-30,33.26亿,13.42%,False,False,105.27亿,31.00%,False,False,0.84,0.55,False,31.59%,False,False,False,False,False,18.65,94.91%
601916,浙商银行,2015-09-30,56.37亿,26.80%,False,False,175.24亿,40.37%,False,False,0.84,0.71,False,32.17%,False,False,False,False,False,20.09,95.26%
601916,浙商银行,2015-12-31,70.51亿,38.37%,69.90亿,38.93%,250.05亿,44.71%,0.5400,3.42,0.84,0.76,14.29,28.20%,17.03%,14.20%,False,False,False,19.78,95.19%
601916,浙商银行,2016-06-30,47.35亿,42.37%,False,False,159.52亿,51.53%,False,False,1.12,0.47,False,29.68%,False,False,False,False,False,17.72,94.66%
601916,浙商银行,2016-09-30,81.67亿,44.88%,False,False,250.45亿,42.92%,False,False,1.12,0.66,False,32.61%,False,False,False,False,False,17.88,94.70%
601916,浙商银行,2016-12-31,101.53亿,44.00%,100.69亿,44.04%,335.02亿,33.98%,0.5900,3.76,1.11,0.71,5.89,30.31%,16.54%,15.05%,False,False,False,19.08,95.02%
601916,浙商银行,2017-03-31,34.03亿,False,False,False,85.24亿,False,False,False,1.11,0.90,False,39.64%,False,False,False,False,False,15.59,93.88%
601916,浙商银行,2017-06-30,56.02亿,18.32%,55.97亿,False,179.49亿,12.33%,0.3100,3.86,1.11,0.63,-5.89,31.27%,8.08%,6.65%,False,False,False,16.21,94.10%
601916,浙商银行,2017-09-30,90.79亿,11.17%,False,False,265.27亿,5.91%,False,False,1.11,0.83,False,34.27%,False,False,False,False,False,15.94,94.00%
601916,浙商银行,2017-12-31,109.50亿,7.85%,108.58亿,7.83%,342.22亿,2.15%,0.5700,4.08,1.11,0.82,-5.15,32.06%,14.67%,12.42%,False,False,False,16.41,94.16%
601916,浙商银行,2018-03-31,34.90亿,2.53%,False,False,83.52亿,-2.01%,False,False,1.18,0.89,False,41.93%,False,False,False,False,False,15.67,93.91%
601916,浙商银行,2018-06-30,65.09亿,16.19%,False,False,185.96亿,3.61%,0.3400,False,1.18,0.82,False,35.00%,False,False,False,False,False,16.23,94.11%
601916,浙商银行,2018-09-30,98.58亿,8.58%,97.69亿,False,275.13亿,3.72%,0.5200,4.48,1.18,1.00,-6.93,35.97%,12.13%,9.97%,False,False,False,15.37,93.80%
601916,浙商银行,2018-12-31,114.90亿,4.94%,114.03亿,5.02%,389.43亿,13.80%,0.6100,4.59,1.18,1.03,-7.50,29.69%,14.04%,11.39%,False,False,False,15.31,93.78%
601916,浙商银行,2019-03-31,44.36亿,27.12%,False,False,116.18亿,39.10%,0.1900,False,1.18,1.22,False,38.42%,False,False,False,False,False,15.30,93.78%
601916,浙商银行,2019-06-30,75.28亿,15.65%,74.89亿,False,225.46亿,21.24%,0.3600,4.94,1.18,1.33,-0.22,33.82%,7.45%,7.01%,False,False,False,15.16,93.72%
601916,浙商银行,2019-09-30,112.39亿,14.01%,111.79亿,14.44%,344.03亿,25.04%,0.5500,5.21,1.18,1.53,0.79,33.16%,11.30%,9.99%,False,False,False,14.29,93.36%
601916,浙商银行,2019-12-31,129.24亿,12.48%,128.29亿,12.51%,463.64亿,19.06%,0.6400,5.23,1.51,1.36,-0.54,28.35%,12.92%,10.24%,False,False,False,13.25,92.89%
601916,浙商银行,2020-03-31,45.28亿,2.07%,45.27亿,False,134.64亿,15.89%,0.1700,5.46,1.51,1.53,1.60,34.23%,3.79%,3.46%,False,False,False,12.94,92.73%
601916,浙商银行,2020-06-30,67.75亿,-10.00%,67.66亿,-9.66%,251.44亿,11.52%,0.2700,5.27,1.51,1.32,5.43,27.49%,5.12%,5.33%,False,False,False,14.66,93.52%
601916,浙商银行,2020-09-30,101.44亿,-9.74%,102.37亿,-8.43%,352.39亿,2.43%,0.4300,5.33,1.51,1.48,5.26,29.37%,8.36%,7.90%,False,False,False,14.97,93.65%
601916,浙商银行,2020-12-31,123.09亿,-4.76%,123.34亿,-3.86%,477.03亿,2.89%,0.5300,5.43,1.51,1.52,2.33,26.33%,10.03%,9.43%,False,False,False,14.68,93.53%
601916,浙商银行,2021-03-31,45.76亿,1.06%,45.52亿,0.55%,130.02亿,-3.43%,0.1700,5.61,1.51,1.70,-3.30,35.82%,3.70%,3.41%,False,False,False,14.34,93.38%
601916,浙商银行,2021-06-30,68.51亿,1.12%,68.05亿,0.58%,259.03亿,3.02%,0.2800,5.55,1.51,1.52,-1.20,26.98%,5.06%,5.15%,False,False,False,15.18,93.73%
601916,浙商银行,2021-09-30,105.78亿,4.28%,105.01亿,2.58%,404.16亿,14.69%,0.4600,5.75,1.51,1.70,-1.42,26.75%,8.32%,7.71%,False,False,False,14.85,93.60%
601916,浙商银行,2021-12-31,126.48亿,2.75%,125.04亿,1.38%,544.71亿,14.19%,0.5500,5.84,1.51,1.73,-1.74,23.71%,9.83%,7.70%,False,False,False,12.91,92.70%
601916,浙商银行,2022-03-31,51.18亿,11.84%,51.01亿,12.06%,153.91亿,18.37%,0.2000,6.04,1.51,1.93,2.27,33.93%,15.55%,3.33%,False,False,False,15.15,93.70%
601916,浙商银行,2022-06-30,69.74亿,1.80%,69.35亿,1.91%,317.40亿,22.53%,0.2700,6.14,1.52,1.90,6.14,22.60%,4.82%,4.48%,False,False,False,15.19,93.72%
601916,浙商银行,2022-09-30,115.37亿,9.07%,114.73亿,9.26%,477.17亿,18.06%,0.4800,6.34,1.52,2.11,5.79,24.78%,8.42%,7.22%,False,False,False,14.89,93.60%
601916,浙商银行,2022-12-31,136.18亿,7.67%,135.35亿,8.25%,610.85亿,12.14%,0.5300,6.49,1.52,2.10,7.89,22.90%,9.01%,8.36%,False,False,False,15.07,93.67%
601916,浙商银行,2023-03-31,56.25亿,9.91%,53.40亿,4.69%,157.80亿,2.53%,0.2500,6.72,1.52,2.36,-1.79,36.36%,4.01%,3.35%,False,False,False,15.34,93.77%
601916,浙商银行,2023-06-30,77.43亿,11.03%,74.51亿,7.44%,332.27亿,4.68%,0.3400,5.80,1.42,1.71,0.12,23.97%,5.48%,4.39%,False,False,False,15.50,93.84%
601916,浙商银行,2023-09-30,127.53亿,10.54%,124.76亿,8.74%,496.90亿,4.13%,0.5300,5.77,1.40,1.81,-0.55,26.39%,8.73%,6.95%,False,False,False,15.09,93.68%
601916,浙商银行,2023-12-31,150.48亿,10.50%,147.38亿,8.89%,637.04亿,4.29%,0.5700,5.87,1.40,1.80,7.08,24.32%,9.45%,8.08%,False,False,False,15.86,93.97%
601916,浙商银行,2024-03-31,59.13亿,5.12%,59.35亿,11.14%,184.07亿,16.65%,0.2200,6.10,1.40,2.02,-3.28,32.74%,3.60%,3.07%,False,False,False,15.41,93.80%
601916,浙商银行,2024-06-30,79.99亿,3.31%,80.19亿,7.62%,352.79亿,6.18%,0.2900,6.04,1.40,1.74,-3.45,23.37%,4.83%,4.19%,False,False,False,16.00,94.01%
601916,浙商银行,2024-09-30,129.05亿,1.19%,129.28亿,3.62%,524.91亿,5.64%,0.4700,6.20,1.40,1.91,-3.09,25.38%,7.75%,6.60%,False,False,False,15.75,93.92%
601916,浙商银行,2024-12-31,151.86亿,0.92%,151.98亿,3.12%,676.50亿,6.19%,0.5200,6.33,1.40,1.91,-4.39,23.20%,8.49%,7.63%,False,False,False,15.70,93.90%
601916,浙商银行,2025-03-31,59.49亿,0.61%,60.11亿,1.28%,171.05亿,-7.07%,0.2200,6.44,1.40,2.12,-0.08,35.73%,3.39%,2.95%,False,False,False,16.04,94.02%
601916,浙商银行,2025-06-30,76.67亿,-4.15%,77.52亿,-3.33%,332.48亿,-5.76%,0.2800,6.38,1.40,1.95,-1.58,23.98%,4.34%,3.83%,False,False,False,15.69,93.89%
601916,浙商银行,2025-09-30,116.68亿,-9.59%,119.57亿,-7.51%,489.31亿,-6.78%,0.4200,6.46,1.40,2.08,-1.21,24.85%,6.62%,5.76%,False,False,False,15.72,93.90%
601916,浙商银行,2025-12-31,129.31亿,-14.85%,132.47亿,-12.84%,625.14亿,-7.59%,0.4400,6.48,1.40,2.04,-0.46,21.69%,6.80%,6.37%,False,False,False,16.14,94.04%
601916,浙商银行,2026-03-31,59.92亿,0.72%,59.68亿,-0.72%,171.90亿,0.50%,0.2200,6.68,1.40,2.26,3.69,35.89%,3.32%,2.87%,False,False,False,16.78,94.26%
