银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601939,建设银行,2000-12-31,75.40亿,False,False,False,False,False,False,False,0.24,0.11,False,False,False,False,21.04,95.46%
601939,建设银行,2001-12-31,51.67亿,-31.47%,False,False,False,False,False,False,0.25,0.02,False,False,False,False,24.59,96.09%
601939,建设银行,2002-12-31,43.04亿,-16.70%,False,False,False,False,False,False,0.26,False,False,False,False,False,27.75,96.52%
601939,建设银行,2003-12-31,223.87亿,420.14%,False,False,1139.85亿,False,False,False,0.0002,0.0001,False,False,False,False,18.08,94.76%
601939,建设银行,2004-12-31,490.42亿,119.06%,492.67亿,False,1125.79亿,-1.23%,0.2600,1.01,-0.0014,0.0054,0.63,43.56%,22.99%,25.08%,19.00,95.00%
601939,建设银行,2005-12-31,471.03亿,-3.95%,466.62亿,-5.29%,1272.68亿,13.05%,0.2400,1.28,0.18,0.02,1.52,37.01%,21.75%,16.38%,14.95,93.73%
601939,建设银行,2006-06-30,232.23亿,False,False,False,702.68亿,False,0.1000,False,False,False,False,33.05%,False,False,False,False
601939,建设银行,2006-12-31,463.22亿,-1.66%,458.04亿,-1.84%,1502.12亿,18.03%,0.2100,1.47,0.18,0.19,1.84,30.84%,15.00%,14.03%,15.50,93.94%
601939,建设银行,2007-06-30,342.21亿,47.36%,340.86亿,False,993.12亿,41.33%,0.1500,1.45,0.17,0.08,1.02,34.49%,9.90%,10.51%,17.79,94.68%
601939,建设银行,2007-09-30,570.27亿,False,562.97亿,False,1587.89亿,False,0.2500,1.67,0.37,0.10,1.24,35.96%,False,14.65%,15.44,93.91%
601939,建设银行,2007-12-31,690.53亿,49.07%,689.92亿,50.62%,2194.59亿,46.10%,0.3000,1.81,0.46,0.14,1.30,31.51%,19.50%,16.40%,14.67,93.60%
601939,建设银行,2008-03-31,321.18亿,False,320.26亿,False,649.10亿,False,0.1400,1.92,0.43,0.28,-0.06,49.50%,7.35%,7.19%,14.38,93.48%
