银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601963,重庆银行,1999-12-31,False,False,False,False,False,False,False,False,0.0030,0.13,False,False,False,False,False,False,0.61,0.61,0.06,21.62,95.58%
601963,重庆银行,2000-12-31,False,False,False,False,False,False,False,False,0.0030,0.12,False,False,False,False,False,False,0.93,0.91,0.07,16.18,94.18%
601963,重庆银行,2001-12-31,2222.22万,False,False,False,4.91亿,False,False,False,0.0030,0.14,False,4.53%,False,False,61.79,61.79,0.54,0.54,0.05,24.34,96.05%
601963,重庆银行,2002-12-31,2154.95万,-3.03%,False,False,5.19亿,5.85%,False,False,0.0028,0.13,False,4.15%,False,False,61.06,61.06,0.49,0.47,0.03,32.10,96.98%
601963,重庆银行,2003-12-31,4937.24万,129.11%,False,False,7.00亿,34.73%,False,False,0.0005,0.04,False,7.05%,False,False,False,False,0.57,0.55,0.02,13.30,93.00%
601963,重庆银行,2004-12-31,7817.79万,58.34%,False,False,6.16亿,45.32%,False,False,0.0005,0.06,False,7.69%,False,False,False,False,0.57,0.57,0.03,12.30,92.48%
601963,重庆银行,2005-12-31,1.53亿,96.20%,False,False,6.62亿,7.39%,0.1000,False,0.0076,-0.05,False,23.18%,False,False,False,False,False,False,False,18.50,94.87%
601963,重庆银行,2006-12-31,2.75亿,79.09%,False,False,9.39亿,41.99%,0.1500,False,0.0100,0.05,False,29.24%,False,False,False,False,False,False,False,13.98,93.32%
601963,重庆银行,2007-12-31,5.57亿,102.63%,False,False,15.51亿,65.06%,0.2800,False,0.0023,0.24,False,35.90%,False,False,False,False,False,False,False,15.98,94.11%
601963,重庆银行,2008-06-30,4.08亿,False,False,False,8.64亿,False,0.2000,False,-0.0008,0.30,False,47.22%,False,False,False,False,False,False,False,17.87,94.70%
601963,重庆银行,2008-12-31,6.55亿,17.68%,False,False,19.13亿,23.39%,0.3200,False,0.0060,0.39,False,34.24%,False,False,False,False,False,False,False,16.15,94.17%
601963,重庆银行,2009-12-31,8.76亿,33.71%,False,False,20.94亿,9.45%,0.4300,False,-0.0088,0.68,False,41.83%,False,False,False,False,False,False,False,19.04,95.01%
601963,重庆银行,2010-12-31,11.04亿,26.01%,False,False,27.57亿,31.67%,0.5500,False,-0.02,1.04,False,40.03%,False,False,False,False,False,False,False,20.54,95.36%
601963,重庆银行,2011-06-30,7.74亿,False,False,False,16.67亿,False,0.3800,False,-0.0082,1.25,False,46.41%,False,False,False,False,False,False,False,20.14,95.27%
601963,重庆银行,2011-12-31,14.89亿,34.91%,False,False,35.58亿,29.04%,0.7400,False,-0.0001,1.55,False,41.85%,False,False,False,False,False,False,False,18.74,94.93%
601963,重庆银行,2012-12-31,19.25亿,29.27%,False,False,46.41亿,30.33%,0.9500,False,-0.0100,2.25,False,41.53%,False,False,False,False,False,False,False,17.93,94.72%
601963,重庆银行,2013-12-31,23.29亿,21.01%,False,False,58.22亿,25.44%,1.1000,False,0.86,2.10,False,40.01%,False,False,False,False,False,False,False,14.34,93.48%
601963,重庆银行,2014-12-31,28.27亿,21.37%,False,False,74.69亿,28.29%,1.0500,False,0.90,2.57,False,37.85%,False,False,False,False,False,False,False,16.26,94.21%
601963,重庆银行,2015-06-30,18.38亿,False,False,False,42.47亿,False,0.6800,False,0.90,2.64,False,43.27%,False,False,False,False,False,False,False,15.45,93.92%
601963,重庆银行,2015-12-31,31.70亿,12.13%,31.47亿,False,85.49亿,14.46%,1.1700,6.81,1.50,2.61,5.35,37.08%,18.36%,14.89%,False,False,False,False,False,14.02,93.34%
601963,重庆银行,2016-12-31,35.02亿,10.48%,34.95亿,11.08%,95.83亿,12.09%,1.1200,7.61,1.50,3.15,-6.47,36.55%,15.53%,14.71%,False,False,False,False,False,14.67,93.62%
601963,重庆银行,2017-12-31,37.26亿,6.39%,36.85亿,5.43%,101.45亿,5.86%,1.1900,8.33,1.50,3.71,-2.22,37.10%,14.95%,12.04%,False,False,False,False,False,12.61,92.32%
601963,重庆银行,2018-03-31,11.14亿,False,False,False,19.49亿,False,False,False,False,False,False,57.65%,False,False,False,False,False,False,False,False,False
601963,重庆银行,2018-06-30,22.72亿,False,False,False,52.11亿,False,False,False,1.50,3.60,False,44.02%,False,False,False,False,False,False,False,12.88,92.47%
601963,重庆银行,2018-09-30,33.31亿,False,False,False,False,False,False,False,False,False,False,41.93%,False,False,False,False,False,False,False,False,False
601963,重庆银行,2018-12-31,37.70亿,1.18%,37.44亿,1.59%,108.40亿,6.85%,1.1100,9.00,1.50,3.85,-10.93,35.26%,12.77%,11.41%,False,False,False,False,False,12.58,92.31%
601963,重庆银行,2019-03-31,12.12亿,8.82%,False,False,23.74亿,21.78%,False,False,False,False,False,52.17%,False,False,False,False,False,False,False,12.20,92.11%
601963,重庆银行,2019-06-30,24.22亿,6.58%,False,False,48.55亿,-6.84%,False,False,False,False,False,51.77%,False,False,False,False,False,False,False,12.01,91.99%
601963,重庆银行,2019-09-30,37.22亿,11.75%,37.00亿,False,87.69亿,False,1.1900,11.75,False,False,-0.23,43.46%,16.60%,10.13%,False,False,False,False,False,11.73,91.82%
601963,重庆银行,2019-12-31,42.07亿,11.61%,41.97亿,12.11%,119.48亿,10.22%,1.2500,10.25,1.50,4.78,-0.87,36.17%,12.95%,11.39%,False,False,False,False,False,12.52,92.30%
601963,重庆银行,2020-03-31,13.77亿,13.67%,13.84亿,False,33.44亿,40.88%,0.4400,False,False,False,False,42.05%,4.22%,False,False,False,False,False,False,False,False
601963,重庆银行,2020-06-30,25.46亿,5.11%,25.51亿,False,65.38亿,34.68%,0.8100,10.82,1.50,5.12,3.43,40.07%,7.77%,6.57%,False,False,False,False,False,12.69,92.40%
