银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601988,中国银行,2003-12-31,287.07亿,False,215.42亿,False,1386.94亿,False,0.1500,1.09,0.23,-0.14,-0.33,20.70%,False,14.10%,18.41,94.23%
601988,中国银行,2004-12-31,209.32亿,-27.08%,203.10亿,-5.72%,1047.37亿,-24.48%,0.1100,1.10,False,0.09,-0.54,24.10%,10.00%,10.20%,19.66,94.55%
601988,中国银行,2005-12-31,274.92亿,31.34%,261.74亿,28.87%,1160.28亿,10.78%,0.1500,1.12,0.02,0.06,0.07,28.09%,12.60%,11.80%,19.16,94.46%
601988,中国银行,2006-03-31,98.98亿,False,False,False,334.55亿,False,0.0500,False,False,False,False,33.33%,False,False,False,False
601988,中国银行,2006-06-30,193.47亿,False,183.14亿,False,683.70亿,False,0.0900,1.41,0.30,0.09,-0.46,32.35%,7.50%,5.32%,13.53,92.61%
601988,中国银行,2006-09-30,322.94亿,False,317.10亿,False,1060.96亿,False,0.1400,1.49,0.30,0.14,-0.35,34.14%,False,8.34%,12.85,92.28%
601988,中国银行,2006-12-31,426.24亿,55.04%,398.22亿,52.14%,1460.74亿,18.62%,0.1800,1.53,0.30,0.16,0.11,34.26%,13.11%,10.79%,12.64,92.15%
601988,中国银行,2007-03-31,121.47亿,22.72%,119.72亿,False,425.60亿,28.14%,0.0500,1.57,0.30,0.19,-0.0030,31.29%,3.09%,3.05%,12.98,92.34%
601988,中国银行,2007-06-30,298.87亿,54.48%,296.42亿,61.85%,899.26亿,29.84%,0.1200,1.58,0.30,0.21,-0.06,36.87%,7.50%,7.47%,13.51,92.63%
601988,中国银行,2007-09-30,457.44亿,41.65%,455.15亿,43.54%,1411.27亿,29.62%,0.1800,1.66,0.30,0.28,-0.04,36.35%,11.28%,10.88%,13.24,92.52%
601988,中国银行,2007-12-31,562.29亿,31.92%,559.09亿,40.40%,1941.95亿,23.68%,0.2200,1.67,0.30,0.26,0.20,34.33%,13.85%,13.24%,13.04,92.41%
601988,中国银行,2008-03-31,216.22亿,78.00%,215.94亿,80.37%,578.63亿,29.32%,0.0900,1.75,0.30,0.34,0.02,41.78%,4.98%,4.87%,13.22,92.53%
601988,中国银行,2008-06-30,420.37亿,40.65%,420.25亿,41.78%,1190.77亿,32.42%,0.1700,1.71,0.29,0.32,-0.10,37.37%,9.53%,9.66%,13.84,92.85%
601988,中国银行,2008-09-30,592.00亿,29.42%,592.03亿,30.07%,1773.92亿,25.70%,0.2300,1.79,0.29,0.39,0.33,34.83%,13.38%,13.04%,13.47,92.72%
