银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,产权比率,资产负债率
601997,贵阳银行,2006-12-31,2.06亿,False,False,False,9.72亿,False,0.2200,False,0.16,-0.37,False,21.20%,False,False,32.29,97.00%
601997,贵阳银行,2007-12-31,1.78亿,-13.52%,False,False,11.00亿,13.17%,0.1600,False,0.15,-0.24,False,16.20%,False,False,29.47,96.72%
601997,贵阳银行,2008-12-31,4.63亿,160.10%,False,False,15.72亿,42.98%,0.4000,False,0.21,0.15,False,29.46%,False,False,22.98,95.83%
601997,贵阳银行,2009-06-30,1.63亿,False,False,False,7.21亿,False,0.1400,False,0.40,0.12,False,22.57%,False,False,18.36,94.83%
601997,贵阳银行,2009-12-31,4.10亿,-11.58%,False,False,14.92亿,-5.15%,0.3200,False,0.45,0.24,False,27.46%,False,False,17.60,94.62%
601997,贵阳银行,2010-12-31,8.21亿,100.45%,False,False,19.68亿,31.97%,0.5400,False,0.49,0.45,False,41.71%,False,False,15.99,94.12%
601997,贵阳银行,2011-12-31,11.58亿,41.09%,11.33亿,False,27.01亿,37.22%,0.6700,2.94,0.68,0.91,4.06,42.79%,25.89%,21.89%,14.50,93.49%
601997,贵阳银行,2012-09-30,12.80亿,False,False,False,25.07亿,False,0.7100,False,0.66,1.45,False,50.91%,False,False,14.78,93.62%
601997,贵阳银行,2012-12-31,16.22亿,39.98%,16.20亿,42.99%,34.69亿,28.43%,0.9000,3.72,0.66,1.55,4.12,46.71%,27.45%,24.44%,14.79,93.63%
601997,贵阳银行,2013-12-31,18.04亿,11.23%,17.97亿,10.93%,38.22亿,10.17%,1.0000,4.40,0.69,2.04,1.90,47.33%,24.91%,22.80%,14.48,93.51%
601997,贵阳银行,2014-12-31,24.36亿,35.03%,24.22亿,34.83%,57.43亿,50.27%,1.3500,5.87,0.69,3.03,7.58,42.61%,26.44%,23.09%,13.78,93.14%
601997,贵阳银行,2015-03-31,6.75亿,False,6.77亿,False,16.98亿,False,0.3800,False,False,False,False,40.17%,False,False,False,False
601997,贵阳银行,2015-06-30,15.08亿,False,15.08亿,False,36.22亿,False,0.8400,False,False,False,False,41.58%,13.34%,False,False,False
601997,贵阳银行,2015-09-30,24.51亿,False,24.52亿,False,56.05亿,False,1.3600,False,False,False,14.93,43.90%,20.84%,False,False,False
601997,贵阳银行,2015-12-31,32.22亿,32.27%,32.08亿,32.41%,77.05亿,34.17%,1.7900,7.76,0.69,4.36,21.05,42.05%,26.37%,23.09%,16.06,94.07%
601997,贵阳银行,2016-03-31,8.09亿,19.86%,8.07亿,19.18%,21.92亿,29.08%,0.4500,8.21,0.69,4.18,6.33,37.04%,5.63%,5.48%,15.81,93.98%
601997,贵阳银行,2016-06-30,15.43亿,2.34%,15.43亿,2.27%,43.71亿,20.66%,0.8600,8.54,0.69,4.59,18.81,35.56%,10.53%,10.05%,17.54,94.55%
601997,贵阳银行,2016-09-30,26.98亿,10.08%,26.97亿,9.99%,70.64亿,26.02%,1.4600,8.93,2.11,4.09,19.15,38.35%,17.24%,13.14%,14.90,93.47%
601997,贵阳银行,2016-12-31,36.54亿,13.42%,36.27亿,13.08%,101.59亿,31.85%,1.8600,9.20,2.12,4.35,29.78,36.31%,21.67%,17.29%,16.57,94.09%
601997,贵阳银行,2017-03-31,9.67亿,19.56%,9.63亿,19.29%,28.93亿,31.98%,0.4200,9.57,2.12,4.77,3.46,33.64%,4.48%,4.40%,16.80,94.17%
601997,贵阳银行,2017-06-30,19.02亿,23.26%,19.03亿,23.35%,56.80亿,29.99%,0.8300,9.69,2.12,4.18,7.15,33.58%,8.69%,8.54%,17.56,94.41%
601997,贵阳银行,2017-09-30,31.87亿,18.13%,31.63亿,17.28%,89.75亿,27.07%,1.3900,10.25,2.12,4.74,2.35,35.89%,14.24%,13.53%,17.34,94.35%
601997,贵阳银行,2017-12-31,45.31亿,23.98%,44.62亿,23.02%,124.77亿,22.82%,1.9700,10.75,2.12,5.13,9.02,36.77%,19.76%,18.33%,17.74,94.48%
601997,贵阳银行,2018-03-31,11.60亿,19.95%,11.60亿,20.45%,32.32亿,11.72%,0.5100,11.32,2.12,5.63,-9.91,36.34%,4.57%,4.46%,16.65,94.14%
601997,贵阳银行,2018-06-30,22.78亿,19.79%,22.74亿,19.48%,60.42亿,6.36%,0.7100,11.87,2.12,5.69,-10.55,38.29%,8.76%,8.35%,16.46,94.08%
601997,贵阳银行,2018-09-30,37.34亿,17.14%,37.28亿,17.86%,91.25亿,1.66%,1.1600,12.22,2.12,5.95,-16.75,41.60%,14.12%,13.29%,16.48,94.09%
601997,贵阳银行,2018-12-31,51.37亿,13.39%,50.89亿,14.04%,126.45亿,1.35%,1.6000,12.98,2.12,6.34,-16.52,41.35%,18.88%,17.22%,13.42,92.88%
601997,贵阳银行,2019-03-31,13.04亿,12.40%,13.01亿,12.19%,35.32亿,9.27%,0.4100,13.27,2.12,6.66,0.49,37.64%,4.37%,3.67%,13.81,93.08%
601997,贵阳银行,2019-06-30,26.53亿,16.44%,26.45亿,16.31%,67.64亿,11.96%,0.8200,9.66,1.23,4.74,4.09,40.44%,8.66%,8.54%,14.17,93.23%
601997,贵阳银行,2019-09-30,43.06亿,15.34%,42.91亿,15.08%,108.20亿,18.58%,1.3400,10.18,1.23,5.23,2.29,40.87%,13.81%,11.41%,13.61,92.95%
601997,贵阳银行,2019-12-31,58.00亿,12.91%,57.78亿,13.55%,146.68亿,16.00%,1.7200,10.58,1.23,5.44,2.16,40.89%,17.41%,16.26%,13.33,92.80%
601997,贵阳银行,2020-03-31,15.06亿,15.49%,15.07亿,15.84%,41.48亿,17.44%,0.4700,11.09,1.23,5.91,-1.65,37.79%,4.32%,3.70%,12.85,92.56%
