银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,流动比率,速动比率,保守速动比率,产权比率,资产负债率
601998,中信银行,2002-12-31,14.16亿,False,False,False,97.48亿,False,False,False,0.0023,0.21,False,14.53%,False,False,0.74,0.74,0.0093,34.90,97.21%
601998,中信银行,2003-12-31,15.44亿,9.00%,False,False,114.51亿,17.47%,False,False,0.0011,0.11,False,13.48%,False,False,0.81,0.81,0.0082,23.92,95.99%
601998,中信银行,2004-12-31,24.50亿,58.70%,False,False,110.64亿,-3.38%,False,0.49,0.0004,-0.51,1.70,22.15%,False,28.12%,False,False,False,55.61,98.23%
601998,中信银行,2005-12-31,31.48亿,28.49%,False,False,135.40亿,22.38%,False,0.89,0.12,-0.23,-0.29,23.26%,False,13.27%,False,False,False,24.09,96.01%
601998,中信银行,2006-06-30,17.17亿,False,False,False,79.53亿,False,0.0600,False,False,False,False,21.59%,False,False,False,False,False,False,False
601998,中信银行,2006-12-31,37.26亿,18.36%,False,False,178.30亿,31.68%,0.1200,1.02,-0.0004,0.02,-0.24,20.90%,13.18%,11.71%,False,False,False,21.21,95.50%
601998,中信银行,2007-06-30,32.05亿,86.66%,31.88亿,False,118.79亿,49.37%,0.0900,2.33,0.94,0.08,0.98,26.98%,6.69%,4.06%,False,False,False,10.00,90.91%
601998,中信银行,2007-09-30,52.47亿,False,52.29亿,False,192.99亿,False,0.1500,2.08,0.94,0.13,1.59,27.19%,11.85%,8.63%,False,False,False,10.46,91.28%
601998,中信银行,2007-12-31,82.90亿,122.49%,85.75亿,False,278.38亿,56.13%,0.2300,2.16,0.94,0.10,0.76,29.78%,12.70%,9.85%,False,False,False,11.02,91.68%
601998,中信银行,2008-03-31,41.90亿,False,41.80亿,False,95.07亿,False,0.1100,2.20,0.94,0.15,0.34,44.07%,4.87%,4.87%,False,False,False,11.50,92.00%
601998,中信银行,2008-06-30,84.17亿,162.62%,83.67亿,162.45%,202.50亿,70.47%,0.2200,2.31,0.94,0.26,2.44,41.57%,9.54%,9.33%,False,False,False,11.39,91.93%
601998,中信银行,2008-09-30,124.51亿,137.30%,123.87亿,136.89%,309.78亿,60.52%,0.3200,2.42,0.94,0.36,1.23,40.19%,13.91%,13.19%,False,False,False,10.54,91.33%
