银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
603323,苏农银行,1999-12-31,False,False,False,False,False,False,False,False,0.10,-0.02,False,False,False,False,False,False,1.34,1.34,False,26.96,96.42%
603323,苏农银行,2000-12-31,False,False,False,False,False,False,False,False,0.10,False,False,False,False,False,False,False,1.28,1.28,False,32.92,97.05%
603323,苏农银行,2004-12-31,1.58亿,False,False,False,5.36亿,False,False,False,False,False,False,29.48%,False,False,0.06,0.06,1.55,1.55,0.03,17.19,94.50%
603323,苏农银行,2005-12-31,2.60亿,64.74%,False,False,7.05亿,24.28%,False,False,False,0.27,False,29.69%,False,False,0.87,0.87,1.58,1.58,0.02,18.33,94.83%
603323,苏农银行,2006-12-31,2.06亿,-20.93%,False,False,6.97亿,30.26%,0.4800,False,-0.0028,1.36,False,23.04%,False,False,False,False,0.92,0.89,0.09,17.67,94.65%
603323,苏农银行,2007-12-31,3.35亿,62.66%,False,False,8.98亿,28.88%,0.6000,False,0.0001,0.65,False,37.26%,False,False,False,False,False,False,False,14.89,93.68%
603323,苏农银行,2008-12-31,3.69亿,10.39%,False,False,10.17亿,13.30%,0.6600,False,0.0001,0.68,False,36.33%,False,False,False,False,False,False,False,14.67,93.60%
603323,苏农银行,2009-12-31,3.65亿,-1.08%,False,False,9.90亿,-2.71%,0.4700,False,-0.0019,0.76,False,36.97%,False,False,False,False,False,False,False,15.43,93.74%
603323,苏农银行,2010-12-31,5.42亿,48.39%,False,False,12.19亿,23.15%,0.6900,False,1.34,0.83,False,44.64%,False,False,False,False,False,False,False,10.17,90.91%
603323,苏农银行,2011-12-31,7.62亿,40.41%,7.54亿,False,17.10亿,40.33%,0.7600,4.25,1.00,0.79,4.47,44.89%,19.55%,17.86%,False,False,False,False,False,11.65,91.97%
