银行代码,银行名称,报告期,净利润,净利润同比增长率,扣非净利润,扣非净利润同比增长率,营业总收入,营业总收入同比增长率,基本每股收益,每股净资产,每股资本公积金,每股未分配利润,每股经营现金流,销售净利率,净资产收益率,净资产收益率-摊薄,营业周期,应收账款周转天数,流动比率,速动比率,保守速动比率,产权比率,资产负债率
000001,平安银行,1989-12-31,4302.00万,False,False,False,False,False,False,2.97,False,1.46,False,False,False,29.86%,False,False,9.61,9.61,9.61,0.28,2.37%
000001,平安银行,1990-12-31,7087.50万,64.75%,False,False,False,False,False,3.51,False,1.13,False,False,False,2.43%,False,False,14.29,14.29,14.29,0.24,1.93%
000001,平安银行,1991-12-31,1.13亿,58.94%,False,False,3.35亿,False,False,5.68,2.94,1.67,False,33.66%,False,2.59%,False,False,0.43,0.43,0.43,0.13,1.77%
000001,平安银行,1992-12-31,1.72亿,52.78%,False,False,4.76亿,42.08%,False,5.15,2.95,1.63,False,36.19%,False,73.94%,False,False,0.32,0.32,0.32,0.36,2.60%
000001,平安银行,1993-06-30,1.37亿,False,False,False,2.66亿,False,False,False,False,False,False,51.58%,False,1.62%,False,False,False,False,False,False,False
000001,平安银行,1993-12-31,2.73亿,58.80%,False,False,6.19亿,30.14%,1.0600,4.47,1.85,0.97,False,44.16%,False,28.82%,False,False,1.08,1.02,0.02,6.74,87.03%
000001,平安银行,1994-06-30,2.08亿,51.24%,False,False,4.84亿,81.80%,False,5.62,1.85,1.86,False,42.91%,13.08%,11.68%,14.69,14.69,1.14,1.14,0.10,7.24,87.86%
000001,平安银行,1994-12-31,3.56亿,30.38%,False,False,13.90亿,124.66%,0.8600,3.84,1.28,0.87,False,25.63%,False,24.92%,15.41,15.41,1.13,1.09,0.05,8.35,89.28%
000001,平安银行,1995-06-30,2.17亿,4.13%,False,False,8.42亿,73.89%,False,4.32,1.28,1.36,False,25.70%,False,12.30%,24.50,24.50,1.15,1.11,0.07,8.35,89.29%
000001,平安银行,1995-12-31,4.35亿,22.11%,False,False,21.05亿,51.43%,False,3.78,0.71,0.20,False,20.67%,False,22.25%,15.45,15.45,1.22,1.19,0.06,9.39,90.35%
000001,平安银行,1996-06-30,3.64亿,68.23%,False,False,11.45亿,35.90%,False,2.24,0.28,0.50,False,31.81%,False,15.70%,24.13,24.13,1.18,1.15,0.07,9.47,90.43%
000001,平安银行,1996-12-31,7.87亿,80.98%,False,False,26.10亿,23.99%,False,2.45,0.28,0.59,False,30.17%,False,31.07%,21.55,21.55,1.27,1.24,0.08,10.84,91.54%
000001,平安银行,1997-06-30,4.44亿,21.83%,False,False,13.14亿,14.77%,False,2.88,0.28,1.02,False,33.77%,False,14.90%,25.30,25.30,1.20,1.17,0.05,9.25,90.23%
000001,平安银行,1997-12-31,8.62亿,9.50%,False,False,27.95亿,7.09%,0.5560,2.19,0.19,0.62,False,30.85%,29.08%,25.39%,26.30,26.30,1.19,1.17,0.06,8.36,89.31%
000001,平安银行,1998-06-30,3.78亿,-14.81%,False,False,12.94亿,-1.49%,False,2.43,0.19,0.86,1.02,29.20%,False,10.02%,36.23,36.23,1.06,1.03,0.07,8.24,89.17%
