银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
002142,宁波银行,002142,宁波银行,2026-03-31 00:00:00,一季报,3859225000000.0,1850432000000.0,2276163000000.0,257318000000.0,258712000000.0
002142,宁波银行,002142,宁波银行,2025-12-31 00:00:00,年报,3628671000000.0,1690117000000.0,2058755000000.0,247324000000.0,248629000000.0
002142,宁波银行,002142,宁波银行,2025-09-30 00:00:00,三季报,3578396000000.0,1673011000000.0,2081237000000.0,252689000000.0,253931000000.0
002142,宁波银行,002142,宁波银行,2025-06-30 00:00:00,中报,3470332000000.0,1630847000000.0,2111558000000.0,244789000000.0,245964000000.0
002142,宁波银行,002142,宁波银行,2025-03-31 00:00:00,一季报,3396035000000.0,1599291000000.0,2217011000000.0,234978000000.0,236125000000.0
002142,宁波银行,002142,宁波银行,2024-12-31 00:00:00,年报,3125232000000.0,1437254000000.0,1869624000000.0,233151000000.0,234260000000.0
002142,宁波银行,002142,宁波银行,2024-09-30 00:00:00,三季报,3067666000000.0,1415877000000.0,1894727000000.0,222181000000.0,223260000000.0
002142,宁波银行,002142,宁波银行,2024-06-30 00:00:00,中报,3033744000000.0,1369265000000.0,1869717000000.0,218770000000.0,219828000000.0
002142,宁波银行,002142,宁波银行,2024-03-31 00:00:00,一季报,2888206000000.0,1322686000000.0,1843947000000.0,210175000000.0,211210000000.0
002142,宁波银行,002142,宁波银行,2023-12-31 00:00:00,年报,2711662000000.0,1213753000000.0,1588536000000.0,201195000000.0,202210000000.0
002142,宁波银行,002142,宁波银行,2023-09-30 00:00:00,三季报,2670228000000.0,1177060000000.0,1604597000000.0,195276000000.0,196287000000.0
002142,宁波银行,002142,宁波银行,2023-06-30 00:00:00,中报,2600260000000.0,1129881000000.0,1568417000000.0,182607000000.0,183603000000.0
002142,宁波银行,002142,宁波银行,2023-03-31 00:00:00,一季报,2525795000000.0,1059807000000.0,1600242000000.0,174367000000.0,175288000000.0
