银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
002807,江阴银行,002807,江阴银行,2026-03-31 00:00:00,一季报,222362900000.0,137401168000.0,177209123000.0,19957928000.0,20093642000.0
002807,江阴银行,002807,江阴银行,2025-12-31 00:00:00,年报,219300373000.0,130203929000.0,170317401000.0,19596111000.0,19832545000.0
002807,江阴银行,002807,江阴银行,2025-09-30 00:00:00,三季报,208042353000.0,127925592000.0,167942282000.0,19149094000.0,19391460000.0
002807,江阴银行,002807,江阴银行,2025-06-30 00:00:00,中报,207577330000.0,127431877000.0,164827682000.0,18954476000.0,19201904000.0
002807,江阴银行,002807,江阴银行,2025-03-31 00:00:00,一季报,207058078000.0,125948728000.0,164356978000.0,18870525000.0,19134486000.0
002807,江阴银行,002807,江阴银行,2024-12-31 00:00:00,年报,200232115000.0,120434790000.0,154991816000.0,18589690000.0,18858756000.0
002807,江阴银行,002807,江阴银行,2024-09-30 00:00:00,三季报,186625512000.0,116850509000.0,149723605000.0,17618330000.0,17902186000.0
002807,江阴银行,002807,江阴银行,2024-06-30 00:00:00,中报,186747128000.0,117829634000.0,150562860000.0,17249073000.0,17536437000.0
002807,江阴银行,002807,江阴银行,2024-03-31 00:00:00,一季报,186311006000.0,116211162000.0,149921759000.0,17305621000.0,17592707000.0
002807,江阴银行,002807,江阴银行,2023-12-31 00:00:00,年报,186029579000.0,111045270000.0,142367607000.0,15790674000.0,16075963000.0
002807,江阴银行,002807,江阴银行,2023-09-30 00:00:00,三季报,175584140000.0,109529201000.0,140965213000.0,14966480000.0,15178777000.0
002807,江阴银行,002807,江阴银行,2023-06-30 00:00:00,中报,175970428000.0,106791718000.0,140303186000.0,14609512000.0,14821297000.0
002807,江阴银行,002807,江阴银行,2023-03-31 00:00:00,一季报,176198493000.0,103586788000.0,135989184000.0,14607686000.0,14748577000.0
002807,江阴银行,002807,江阴银行,2022-12-31 00:00:00,年报,168751396000.0,98711057000.0,129834790000.0,14274964000.0,14415527000.0
002807,江阴银行,002807,江阴银行,2022-09-30 00:00:00,三季报,163315064000.0,97439594000.0,128033734000.0,13602740000.0,13742380000.0
002807,江阴银行,002807,江阴银行,2022-06-30 00:00:00,中报,160122726000.0,95021574000.0,123766859000.0,13170143000.0,13309092000.0
002807,江阴银行,002807,江阴银行,2022-03-31 00:00:00,一季报,157892620000.0,92477774000.0,119108471000.0,13247139000.0,13387018000.0
002807,江阴银行,002807,江阴银行,2021-12-31 00:00:00,年报,153127599000.0,87706952000.0,117447493000.0,13025795000.0,13165657000.0
002807,江阴银行,002807,江阴银行,2021-09-30 00:00:00,三季报,145387661000.0,87408530000.0,111867400000.0,12456302000.0,12588652000.0
002807,江阴银行,002807,江阴银行,2021-06-30 00:00:00,中报,146354649000.0,87172990000.0,115263209000.0,12237684000.0,12368541000.0
002807,江阴银行,002807,江阴银行,2021-03-31 00:00:00,一季报,143984175000.0,80966033000.0,110976223000.0,12321124000.0,12444770000.0
002807,江阴银行,002807,江阴银行,2020-12-31 00:00:00,年报,142766234000.0,77210353000.0,105759036000.0,12131493000.0,12260193000.0
