银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
002839,张家港行,002839,张家港行,2026-03-31 00:00:00,一季报,240372388685.38,151750350638.94,193020801084.49,21115919941.13,21291159118.37
002839,张家港行,002839,张家港行,2025-12-31 00:00:00,年报,227237192678.18,144104525211.7,182145037948.21,20530338768.24,20704644546.57
002839,张家港行,002839,张家港行,2025-09-30 00:00:00,三季报,221200808322.54,141782558360.62,180497067085.98,20349510477.44,20529713974.7
002839,张家港行,002839,张家港行,2025-06-30 00:00:00,中报,223785294900.23,141161511482.34,179932531219.76,20021351029.3,20200507865.06
002839,张家港行,002839,张家港行,2025-03-31 00:00:00,一季报,223283229054.23,139547846626.81,178522411537.89,20085424309.19,20262509992.98
002839,张家港行,002839,张家港行,2024-12-31 00:00:00,年报,218908026873.13,132718553290.91,171217204992.06,19723048516.99,19894751160.13
002839,张家港行,002839,张家港行,2024-09-30 00:00:00,三季报,215864768079.57,131162913903.74,169782932056.25,18093630442.31,18277849288.23
002839,张家港行,002839,张家港行,2024-06-30 00:00:00,中报,216718169613.98,130633749175.4,170794267621.41,17555612365.07,17739352794.1
002839,张家港行,002839,张家港行,2024-03-31 00:00:00,一季报,216459855740.61,128827553317.17,172497180046.41,17578637575.13,17753956610.53
002839,张家港行,002839,张家港行,2023-12-31 00:00:00,年报,207126798437.95,122255577281.9,160923024791.99,17036000729.37,17211017118.88
002839,张家港行,002839,张家港行,2023-09-30 00:00:00,三季报,203041986127.61,120557629249.67,158035938309.15,16616443037.45,16798807002.44
002839,张家港行,002839,张家港行,2023-06-30 00:00:00,中报,200239711029.68,116405899609.04,159986743847.37,16147334305.8,16318925855.83
002839,张家港行,002839,张家港行,2023-03-31 00:00:00,一季报,193892902617.59,113650113760.41,153478518869.41,16178928122.14,16347335063.14
002839,张家港行,002839,张家港行,2022-12-31 00:00:00,年报,187532755025.44,109941032464.14,143597567728.7,15561043341.88,15725777369.05
002839,张家港行,002839,张家港行,2022-09-30 00:00:00,三季报,184824011694.03,107478722527.61,139381594973.24,15447329003.88,15610655765.76
