银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
002936,郑州银行,002936,郑州银行,2026-03-31 00:00:00,一季报,783494714000.0,400757547000.0,515256811000.0,56203584000.0,58008180000.0
002936,郑州银行,002936,郑州银行,2025-12-31 00:00:00,年报,743674299000.0,398551722000.0,474947222000.0,55061252000.0,56851570000.0
002936,郑州银行,002936,郑州银行,2025-09-30 00:00:00,三季报,743552270000.0,394700073000.0,470280431000.0,55743576000.0,57614292000.0
002936,郑州银行,002936,郑州银行,2025-06-30 00:00:00,中报,719738190000.0,394317365000.0,456521930000.0,55485934000.0,57374671000.0
002936,郑州银行,002936,郑州银行,2025-03-31 00:00:00,一季报,706530887000.0,387532813000.0,439305089000.0,54660173000.0,56510242000.0
002936,郑州银行,002936,郑州银行,2024-12-31 00:00:00,年报,676365240000.0,376048659000.0,413096026000.0,54445031000.0,56294771000.0
002936,郑州银行,002936,郑州银行,2024-09-30 00:00:00,三季报,666626085000.0,372958791000.0,404349913000.0,54898739000.0,56805603000.0
002936,郑州银行,002936,郑州银行,2024-06-30 00:00:00,中报,645680374000.0,360955481000.0,392756086000.0,54407058000.0,56324341000.0
002936,郑州银行,002936,郑州银行,2024-03-31 00:00:00,一季报,632851641000.0,353111796000.0,377202006000.0,53713013000.0,55598824000.0
002936,郑州银行,002936,郑州银行,2023-12-31 00:00:00,年报,630709429000.0,350325297000.0,366521910000.0,52452824000.0,54314856000.0
002936,郑州银行,002936,郑州银行,2023-09-30 00:00:00,三季报,622051831000.0,344936876000.0,363291631000.0,53650427000.0,55601263000.0
002936,郑州银行,002936,郑州银行,2023-06-30 00:00:00,中报,616859397000.0,342086543000.0,357912589000.0,52993053000.0,54913573000.0
002936,郑州银行,002936,郑州银行,2023-03-31 00:00:00,一季报,606378430000.0,333936628000.0,356745019000.0,51962493000.0,53867014000.0
002936,郑州银行,002936,郑州银行,2022-12-31 00:00:00,年报,591513618000.0,322207034000.0,341797766000.0,50772566000.0,52625236000.0
002936,郑州银行,002936,郑州银行,2022-09-30 00:00:00,三季报,596131114000.0,319295244000.0,339884171000.0,61376098000.0,63191501000.0
002936,郑州银行,002936,郑州银行,2022-06-30 00:00:00,中报,584295564000.0,309505729000.0,327616719000.0,60404546000.0,62146154000.0
002936,郑州银行,002936,郑州银行,2022-03-31 00:00:00,一季报,575109347000.0,298897729000.0,325161235000.0,58999932000.0,60702989000.0
002936,郑州银行,002936,郑州银行,2021-12-31 00:00:00,年报,574979662000.0,282399091000.0,321574215000.0,57766182000.0,59411540000.0
002936,郑州银行,002936,郑州银行,2021-09-30 00:00:00,三季报,561961906000.0,275485118000.0,315378562000.0,48356062000.0,49953977000.0
002936,郑州银行,002936,郑州银行,2021-06-30 00:00:00,中报,571969580000.0,261229036000.0,325977048000.0,47380529000.0,48940279000.0
002936,郑州银行,002936,郑州银行,2021-03-31 00:00:00,一季报,554387540000.0,246417681000.0,314567197000.0,45655864000.0,47172676000.0
002936,郑州银行,002936,郑州银行,2020-12-31 00:00:00,年报,547813444000.0,231250013000.0,316512735000.0,44494897000.0,45971921000.0
002936,郑州银行,002936,郑州银行,2020-09-30 00:00:00,三季报,535386174000.0,223158570000.0,313595639000.0,40844481000.0,42288572000.0
002936,郑州银行,002936,郑州银行,2020-06-30 00:00:00,中报,533872933000.0,209294377000.0,319548187000.0,40275962000.0,41630330000.0
002936,郑州银行,002936,郑州银行,2020-03-31 00:00:00,一季报,532678261000.0,201666648000.0,321541940000.0,39905619000.0,41240596000.0
002936,郑州银行,002936,郑州银行,2019-12-31 00:00:00,年报,500478127000.0,189266541000.0,292125786000.0,38590322000.0,39891622000.0
002936,郑州银行,002936,郑州银行,2019-09-30 00:00:00,三季报,492793859000.0,182643212000.0,286177858000.0,39386604000.0,40668136000.0
002936,郑州银行,002936,郑州银行,2019-06-30 00:00:00,中报,479795566000.0,171511442000.0,274732252000.0,38260665000.0,39515114000.0
002936,郑州银行,002936,郑州银行,2019-03-31 00:00:00,一季报,487364544000.0,166769187000.0,293289589000.0,37749227000.0,38991124000.0
