银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
600016,民生银行,600016,民生银行,2026-03-31 00:00:00,一季报,7847897000000.0,4471911000000.0,4411092000000.0,700496000000.0,713952000000.0
600016,民生银行,600016,民生银行,2025-12-31 00:00:00,年报,7832567000000.0,4374231000000.0,4347799000000.0,689637000000.0,703197000000.0
600016,民生银行,600016,民生银行,2025-09-30 00:00:00,三季报,7872864000000.0,4379860000000.0,4325593000000.0,686922000000.0,700548000000.0
600016,民生银行,600016,民生银行,2025-06-30 00:00:00,中报,7768921000000.0,4413765000000.0,4382087000000.0,688544000000.0,702312000000.0
600016,民生银行,600016,民生银行,2025-03-31 00:00:00,一季报,7783420000000.0,4464429000000.0,4436443000000.0,652214000000.0,665928000000.0
600016,民生银行,600016,民生银行,2024-12-31 00:00:00,年报,7814969000000.0,4396036000000.0,4332681000000.0,642859000000.0,656568000000.0
600016,民生银行,600016,民生银行,2024-09-30 00:00:00,三季报,7698010000000.0,4383625000000.0,4264698000000.0,632889000000.0,646289000000.0
600016,民生银行,600016,民生银行,2024-06-30 00:00:00,中报,7551013000000.0,4364821000000.0,4137534000000.0,596141000000.0,609642000000.0
600016,民生银行,600016,民生银行,2024-03-31 00:00:00,一季报,7727511000000.0,4439045000000.0,4325560000000.0,639200000000.0,652482000000.0
600016,民生银行,600016,民生银行,2023-12-31 00:00:00,年报,7674965000000.0,4323908000000.0,4353281000000.0,624602000000.0,637801000000.0
600016,民生银行,600016,民生银行,2023-09-30 00:00:00,三季报,7522077000000.0,4317740000000.0,4289221000000.0,621065000000.0,634376000000.0
600016,民生银行,600016,民生银行,2023-06-30 00:00:00,中报,7641451000000.0,4322267000000.0,4300243000000.0,613419000000.0,626691000000.0
600016,民生银行,600016,民生银行,2023-03-31 00:00:00,一季报,7603107000000.0,4268384000000.0,4255394000000.0,615340000000.0,628274000000.0
600016,民生银行,600016,民生银行,2022-12-31 00:00:00,年报,7255673000000.0,4072982000000.0,4051592000000.0,599928000000.0,612814000000.0
600016,民生银行,600016,民生银行,2022-09-30 00:00:00,三季报,7133921000000.0,4059776000000.0,4103231000000.0,598542000000.0,611195000000.0
600016,民生银行,600016,民生银行,2022-06-30 00:00:00,中报,7320580000000.0,4131646000000.0,4161548000000.0,590160000000.0,602711000000.0
600016,民生银行,600016,民生银行,2022-03-31 00:00:00,一季报,7157698000000.0,4112635000000.0,3990291000000.0,586407000000.0,598747000000.0
600016,民生银行,600016,民生银行,2021-12-31 00:00:00,年报,6952786000000.0,3967679000000.0,3825693000000.0,574280000000.0,586539000000.0
600016,民生银行,600016,民生银行,2021-09-30 00:00:00,三季报,7015610000000.0,3962283000000.0,3873771000000.0,586466000000.0,598591000000.0
600016,民生银行,600016,民生银行,2021-06-30 00:00:00,中报,7069708000000.0,3956091000000.0,3892249000000.0,575436000000.0,587295000000.0
600016,民生银行,600016,民生银行,2021-03-31 00:00:00,一季报,7062721000000.0,3937617000000.0,3747032000000.0,545165000000.0,556754000000.0
600016,民生银行,600016,民生银行,2020-12-31 00:00:00,年报,6950233000000.0,3782297000000.0,3768151000000.0,529537000000.0,541248000000.0
600016,民生银行,600016,民生银行,2020-09-30 00:00:00,三季报,6927025000000.0,3754868000000.0,3788686000000.0,532769000000.0,544454000000.0
600016,民生银行,600016,民生银行,2020-06-30 00:00:00,中报,7142641000000.0,3730214000000.0,3936314000000.0,527417000000.0,538877000000.0
600016,民生银行,600016,民生银行,2020-03-31 00:00:00,一季报,6961952000000.0,3638471000000.0,3791624000000.0,537380000000.0,548640000000.0
600016,民生银行,600016,民生银行,2019-12-31 00:00:00,年报,6681841000000.0,3430427000000.0,3637034000000.0,518845000000.0,530829000000.0
600016,民生银行,600016,民生银行,2019-09-30 00:00:00,三季报,6273743000000.0,3257988000000.0,3440152000000.0,491441000000.0,503076000000.0
