银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
600926,杭州银行,600926,杭州银行,2026-03-31 00:00:00,一季报,2435673214000.0,1112476439000.0,1536836019000.0,170027736000.0,170027736000.0
600926,杭州银行,600926,杭州银行,2025-12-31 00:00:00,年报,2362805622000.0,1032540364000.0,1458999372000.0,163188766000.0,163188766000.0
600926,杭州银行,600926,杭州银行,2025-09-30 00:00:00,三季报,2295423508000.0,987002796000.0,1366860196000.0,162950188000.0,162950188000.0
600926,杭州银行,600926,杭州银行,2025-06-30 00:00:00,中报,2235595353000.0,970705953000.0,1356123998000.0,160535901000.0,160535901000.0
600926,杭州银行,600926,杭州银行,2025-03-31 00:00:00,一季报,2222216225000.0,956299990000.0,1366203000000.0,145922409000.0,145922409000.0
600926,杭州银行,600926,杭州银行,2024-12-31 00:00:00,年报,2112355860000.0,900326175000.0,1289515182000.0,136047999000.0,136047999000.0
600926,杭州银行,600926,杭州银行,2024-09-30 00:00:00,三季报,2017781483000.0,873925340000.0,1193579736000.0,132689158000.0,132689158000.0
600926,杭州银行,600926,杭州银行,2024-06-30 00:00:00,中报,1984813627000.0,865335714000.0,1166776084000.0,128921111000.0,128921111000.0
600926,杭州银行,600926,杭州银行,2024-03-31 00:00:00,一季报,1917305256000.0,835517892000.0,1127890315000.0,116743356000.0,116743356000.0
600926,杭州银行,600926,杭州银行,2023-12-31 00:00:00,年报,1841330802000.0,773942292000.0,1058307919000.0,111293210000.0,111293210000.0
600926,杭州银行,600926,杭州银行,2023-09-30 00:00:00,三季报,1790144972000.0,752276057000.0,1025486713000.0,108386355000.0,108386355000.0
600926,杭州银行,600926,杭州银行,2023-06-30 00:00:00,中报,1744213834000.0,741306161000.0,1024812019000.0,105306381000.0,105306381000.0
600926,杭州银行,600926,杭州银行,2023-03-31 00:00:00,一季报,1696126260000.0,719082276000.0,1013947123000.0,102927262000.0,102927262000.0
600926,杭州银行,600926,杭州银行,2022-12-31 00:00:00,年报,1616538051000.0,672634596000.0,937897976000.0,98573225000.0,98573225000.0
600926,杭州银行,600926,杭州银行,2022-09-30 00:00:00,三季报,1563442981000.0,648198663000.0,880154509000.0,97196082000.0,97196082000.0
600926,杭州银行,600926,杭州银行,2022-06-30 00:00:00,中报,1532855226000.0,632047749000.0,912900383000.0,94277531000.0,94277531000.0
600926,杭州银行,600926,杭州银行,2022-03-31 00:00:00,一季报,1456949445000.0,601360324000.0,875861531000.0,92957116000.0,92957116000.0
600926,杭州银行,600926,杭州银行,2021-12-31 00:00:00,年报,1390564530000.0,560890639000.0,817233231000.0,90070586000.0,90070586000.0
600926,杭州银行,600926,杭州银行,2021-09-30 00:00:00,三季报,1330030898000.0,535879864000.0,787281566000.0,87841749000.0,87841749000.0
600926,杭州银行,600926,杭州银行,2021-06-30 00:00:00,中报,1286599234000.0,512880843000.0,749698884000.0,85266705000.0,85266705000.0
600926,杭州银行,600926,杭州银行,2021-03-31 00:00:00,一季报,1228039420000.0,493232296000.0,740269220000.0,82984940000.0,82984940000.0
600926,杭州银行,600926,杭州银行,2020-12-31 00:00:00,年报,1169257248000.0,460016232000.0,703680405000.0,80862555000.0,80862555000.0
600926,杭州银行,600926,杭州银行,2020-09-30 00:00:00,三季报,1111062428000.0,448565482000.0,678132136000.0,79470947000.0,79470947000.0
600926,杭州银行,600926,杭州银行,2020-06-30 00:00:00,中报,1071569990000.0,431844073000.0,679359680000.0,78658705000.0,78658705000.0
600926,杭州银行,600926,杭州银行,2020-03-31 00:00:00,一季报,1040047666000.0,416755097000.0,648363780000.0,72496310000.0,72496310000.0
600926,杭州银行,600926,杭州银行,2019-12-31 00:00:00,年报,1024070107000.0,397482469000.0,619976397000.0,62544597000.0,62544597000.0
600926,杭州银行,600926,杭州银行,2019-09-30 00:00:00,三季报,980628000000.0,386317174000.0,577024880000.0,61494191000.0,61494191000.0
600926,杭州银行,600926,杭州银行,2019-06-30 00:00:00,中报,946723551000.0,373143075000.0,572432278000.0,59737524000.0,59737524000.0
600926,杭州银行,600926,杭州银行,2019-03-31 00:00:00,一季报,934601150000.0,365167838000.0,556473438000.0,59528889000.0,59528889000.0
600926,杭州银行,600926,杭州银行,2018-12-31 00:00:00,年报,921056104000.0,337460118000.0,532782689000.0,57164583000.0,57164583000.0
600926,杭州银行,600926,杭州银行,2018-09-30 00:00:00,三季报,869992376000.0,335000734000.0,500768322000.0,55840037000.0,55840037000.0
600926,杭州银行,600926,杭州银行,2018-06-30 00:00:00,中报,856884507000.0,301845328000.0,494766537000.0,54330378000.0,54330378000.0
600926,杭州银行,600926,杭州银行,2018-03-31 00:00:00,一季报,842764468000.0,287112273000.0,473881311000.0,53654441000.0,53654441000.0
600926,杭州银行,600926,杭州银行,2017-12-31 00:00:00,年报,832975130000.0,274297192000.0,448626861000.0,51830958000.0,51830958000.0
600926,杭州银行,600926,杭州银行,2017-09-30 00:00:00,三季报,797771572000.0,271046159000.0,417360600000.0,41262512000.0,41262512000.0
600926,杭州银行,600926,杭州银行,2017-06-30 00:00:00,中报,754085254000.0,264974648000.0,381953751000.0,40166874000.0,40166874000.0
600926,杭州银行,600926,杭州银行,2017-03-31 00:00:00,一季报,740264626000.0,255704118000.0,371113980000.0,39732468000.0,39732468000.0
600926,杭州银行,600926,杭州银行,2016-12-31 00:00:00,年报,720424176000.0,239129968000.0,368307031000.0,38561695000.0,38561695000.0
600926,杭州银行,600926,杭州银行,2016-09-30 00:00:00,三季报,634141609000.0,229834201000.0,338165110000.0,34712624000.0,34712624000.0
600926,杭州银行,600926,杭州银行,2016-06-30 00:00:00,中报,566888989000.0,226251799000.0,332166099000.0,33881716000.0,33907491000.0
600926,杭州银行,600926,杭州银行,2015-12-31 00:00:00,年报,545314565000.0,209574594000.0,312046513000.0,31835281000.0,31894442000.0
600926,杭州银行,600926,杭州银行,2015-06-30 00:00:00,中报,492666985000.0,205697905000.0,290704382000.0,29809781000.0,29875789000.0
600926,杭州银行,600926,杭州银行,2014-12-31 00:00:00,年报,418541235000.0,192032581000.0,279680558000.0,26094648000.0,26162189000.0
600926,杭州银行,600926,杭州银行,2013-12-31 00:00:00,年报,340188560000.0,169317513000.0,249273208000.0,20547211000.0,20613048000.0
600926,杭州银行,600926,杭州银行,2012-12-31 00:00:00,年报,324984470000.0,148341428000.0,220710858000.0,17457427000.0,17512763000.0
600926,杭州银行,600926,杭州银行,2011-12-31 00:00:00,年报,243937268000.0,124159959000.0,182045305000.0,14379022000.0,14428360000.0
600926,杭州银行,600926,杭州银行,2011-06-30 00:00:00,中报,237365008000.0,116644774000.0,170893247000.0,12980646000.0,13027899000.0
600926,杭州银行,600926,杭州银行,2010-12-31 00:00:00,年报,217429360000.0,104831149000.0,152317143000.0,11938128000.0,11938128000.0
600926,杭州银行,600926,杭州银行,2010-06-30 00:00:00,中报,170462304000.0,95656614000.0,136924240000.0,10959621000.0,10959621000.0
600926,杭州银行,600926,杭州银行,2009-12-31 00:00:00,年报,149991288000.0,84505238000.0,124278841000.0,10362986000.0,10362986000.0
600926,杭州银行,600926,杭州银行,2008-12-31 00:00:00,年报,99617095000.0,57227524000.0,82043228000.0,4809400000.0,4809400000.0
