银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601128,常熟银行,601128,常熟银行,2026-03-31 00:00:00,一季报,419435010000.0,261885650000.0,334382799000.0,32758494000.0,34776869000.0
601128,常熟银行,601128,常熟银行,2025-12-31 00:00:00,年报,403079107000.0,248584103000.0,317345437000.0,31379656000.0,33461456000.0
601128,常熟银行,601128,常熟银行,2025-09-30 00:00:00,三季报,402229795000.0,248823105000.0,320891790000.0,30456695000.0,32591042000.0
601128,常熟银行,601128,常熟银行,2025-06-30 00:00:00,中报,401226615000.0,243088813000.0,319001397000.0,29873923000.0,31958298000.0
601128,常熟银行,601128,常熟银行,2025-03-31 00:00:00,一季报,389015217000.0,241312765000.0,316691902000.0,29564295000.0,31642077000.0
601128,常熟银行,601128,常熟银行,2024-12-31 00:00:00,年报,366581851000.0,232489390000.0,294965058000.0,28647828000.0,30668520000.0
601128,常熟银行,601128,常熟银行,2024-09-30 00:00:00,三季报,362742642000.0,230738266000.0,292223810000.0,27633618000.0,29640091000.0
601128,常熟银行,601128,常熟银行,2024-06-30 00:00:00,中报,367302864000.0,229941078000.0,289467349000.0,26410698000.0,28391337000.0
601128,常熟银行,601128,常熟银行,2024-03-31 00:00:00,一季报,364675935000.0,226403794000.0,289411872000.0,26326197000.0,28236133000.0
601128,常熟银行,601128,常熟银行,2023-12-31 00:00:00,年报,334456430000.0,214226530000.0,254452879000.0,25356407000.0,27130936000.0
601128,常熟银行,601128,常熟银行,2023-09-30 00:00:00,三季报,328458669000.0,210416741000.0,249124988000.0,24520007000.0,26244978000.0
601128,常熟银行,601128,常熟银行,2023-06-30 00:00:00,中报,317813751000.0,206527915000.0,247437440000.0,23533165000.0,25192412000.0
601128,常熟银行,601128,常熟银行,2023-03-31 00:00:00,一季报,316966239000.0,196754469000.0,245010449000.0,23411235000.0,25012598000.0
601128,常熟银行,601128,常熟银行,2022-12-31 00:00:00,年报,287881374000.0,185626290000.0,219182495000.0,22577573000.0,24115666000.0
601128,常熟银行,601128,常熟银行,2022-09-30 00:00:00,三季报,284098311000.0,180001083000.0,212231886000.0,22184607000.0,23679102000.0
601128,常熟银行,601128,常熟银行,2022-06-30 00:00:00,中报,274893532000.0,177862467000.0,212157531000.0,20649498000.0,22093361000.0
