银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601288,农业银行,601288,农业银行,2026-03-31 00:00:00,一季报,51029331000000,27473682000000,34517455000000,3296589000000,3303203000000
601288,农业银行,601288,农业银行,2025-12-31 00:00:00,年报,48784674000000,26178354000000,32649947000000,3237182000000,3243371000000
601288,农业银行,601288,农业银行,2025-09-30 00:00:00,三季报,48135429000000,26019737000000,32067823000000,3168502000000,3175211000000
601288,农业银行,601288,农业银行,2025-06-30 00:00:00,中报,46855878000000,25764001000000,31900486000000,3143100000000,3149241000000
601288,农业银行,601288,农业银行,2025-03-31 00:00:00,一季报,44818957000000,25221001000000,32017351000000,3137261000000,3143005000000
601288,农业银行,601288,农业银行,2024-12-31 00:00:00,年报,43238135000000,23977013000000,30305357000000,3090808000000,3097273000000
601288,农业银行,601288,农业银行,2024-09-30 00:00:00,三季报,43553293000000,23739075000000,29836329000000,3003722000000,3010289000000
601288,农业银行,601288,农业银行,2024-06-30 00:00:00,中报,41984553000000,23438734000000,29459210000000,3049778000000,3056463000000
601288,农业银行,601288,农业银行,2024-03-31 00:00:00,一季报,42157279000000,22921347000000,31060509000000,2991892000000,2999223000000
601288,农业银行,601288,农业银行,2023-12-31 00:00:00,年报,39872989000000,21731766000000,28898468000000,2889248000000,2896867000000
601288,农业银行,601288,农业银行,2023-09-30 00:00:00,三季报,38698016000000,21448199000000,28823215000000,2815621000000,2821458000000
601288,农业银行,601288,农业银行,2023-06-30 00:00:00,中报,38033395000000,20915065000000,28231053000000,2714446000000,2720706000000
601288,农业银行,601288,农业银行,2023-03-31 00:00:00,一季报,36811547000000,20285884000000,27671500000000,2726520000000,2733191000000
601288,农业银行,601288,农业银行,2022-12-31 00:00:00,年报,33925488000000,18980973000000,25121040000000,2668063000000,2673760000000
601288,农业银行,601288,农业银行,2022-09-30 00:00:00,三季报,33826452000000,18597623000000,24890697000000,2625417000000,2631878000000
601288,农业银行,601288,农业银行,2022-06-30 00:00:00,中报,32426420000000,18036172000000,24119854000000,2519496000000,2526213000000
601288,农业银行,601288,农业银行,2022-03-31 00:00:00,一季报,30888302000000,17385551000000,23510299000000,2527653000000,2534229000000
601288,农业银行,601288,农业银行,2021-12-31 00:00:00,年报,29069155000000,16454503000000,21907127000000,2414605000000,2421359000000
601288,农业银行,601288,农业银行,2021-09-30 00:00:00,三季报,28988663000000,16190959000000,22035457000000,2320428000000,2327150000000
601288,农业银行,601288,农业银行,2021-06-30 00:00:00,中报,28652363000000,15860306000000,21926574000000,2255845000000,2262367000000
601288,农业银行,601288,农业银行,2021-03-31 00:00:00,一季报,28547154000000,15418813000000,21848987000000,2264143000000,2270396000000
601288,农业银行,601288,农业银行,2020-12-31 00:00:00,年报,27205047000000,14552433000000,20372901000000,2204789000000,2210746000000
601288,农业银行,601288,农业银行,2020-09-30 00:00:00,三季报,27296753000000,14356921000000,20780341000000,2153348000000,2164379000000
601288,农业银行,601288,农业银行,2020-06-30 00:00:00,中报,26472127000000,13956264000000,20363098000000,2082127000000,2093009000000
601288,农业银行,601288,农业银行,2020-03-31 00:00:00,一季报,26226388000000,13567860000000,19539807000000,2021002000000,2032837000000
601288,农业银行,601288,农业银行,2019-12-31 00:00:00,年报,24877491000000,12819764000000,18849155000000,1948355000000,1953861000000
601288,农业银行,601288,农业银行,2019-09-30 00:00:00,三季报,24870961000000,12793125000000,18723954000000,1917649000000,1923460000000
601288,农业银行,601288,农业银行,2019-06-30 00:00:00,中报,23975153000000,12475790000000,18529174000000,1732667000000,1738135000000
601288,农业银行,601288,农业银行,2019-03-31 00:00:00,一季报,23657926000000,12155507000000,18447181000000,1732411000000,1737515000000
601288,农业银行,601288,农业银行,2018-12-31 00:00:00,年报,22609471000000,11461542000000,17346290000000,1670294000000,1674787000000
601288,农业银行,601288,农业银行,2018-09-30 00:00:00,三季报,22700325000000,11295070000000,17299684000000,1630380000000,1634868000000
601288,农业银行,601288,农业银行,2018-06-30 00:00:00,中报,21920851000000,11001367000000,16939933000000,1565226000000,1569711000000
601288,农业银行,601288,农业银行,2018-03-31 00:00:00,一季报,21639047000000,10701186000000,16864890000000,1459992000000,1463627000000
601288,农业银行,601288,农业银行,2017-12-31 00:00:00,年报,21053382000000,10316311000000,16194279000000,1426415000000,1429397000000
601288,农业银行,601288,农业银行,2017-09-30 00:00:00,三季报,20923117000000,10236912000000,16370168000000,1405981000000,1409360000000
601288,农业银行,601288,农业银行,2017-06-30 00:00:00,中报,20573586000000,9996639000000,16104949000000,1355200000000,1358441000000
601288,农业银行,601288,农业银行,2017-03-31 00:00:00,一季报,20323984000000,9703407000000,15961893000000,1362744000000,1366045000000
601288,农业银行,601288,农业银行,2016-12-31 00:00:00,年报,19570061000000,9319364000000,15038001000000,1318193000000,1321591000000
601288,农业银行,601288,农业银行,2016-09-30 00:00:00,三季报,19064101000000,9220381000000,14997769000000,1310436000000,1313025000000
601288,农业银行,601288,农业银行,2016-06-30 00:00:00,中报,18680221000000,8995284000000,14524837000000,1256333000000,1258802000000
601288,农业银行,601288,农业银行,2016-03-31 00:00:00,一季报,18413470000000,8861208000000,14389805000000,1261601000000,1263095000000
601288,农业银行,601288,农业银行,2015-12-31 00:00:00,年报,17791393000000,8506675000000,13538360000000,1210091000000,1211885000000
601288,农业银行,601288,农业银行,2015-09-30 00:00:00,三季报,17709510000000,8482659000000,13554404000000,1173505000000,1175127000000
601288,农业银行,601288,农业银行,2015-06-30 00:00:00,中报,17459554000000,8346156000000,13406292000000,1120329000000,1122042000000
601288,农业银行,601288,农业银行,2015-03-31 00:00:00,一季报,16836530000000,8121509000000,13234003000000,1123672000000,1125520000000
601288,农业银行,601288,农业银行,2014-12-31 00:00:00,年报,15974152000000,7739996000000,12533397000000,1031066000000,1032619000000
601288,农业银行,601288,农业银行,2014-09-30 00:00:00,三季报,15959249000000,7650922000000,12638575000000,957124000000,958693000000
601288,农业银行,601288,农业银行,2014-06-30 00:00:00,中报,16006612000000,7503254000000,12809504000000,906216000000,907737000000
601288,农业银行,601288,农业银行,2014-03-31 00:00:00,一季报,15322116000000,7219584000000,12535428000000,903632000000,905149000000
601288,农业银行,601288,农业银行,2013-12-31 00:00:00,年报,14562102000000,6902522000000,11811411000000,843108000000,844537000000
601288,农业银行,601288,农业银行,2013-09-30 00:00:00,三季报,14599419000000,6802245000000,11802544000000,827175000000,828772000000
601288,农业银行,601288,农业银行,2013-06-30 00:00:00,中报,14222601000000,6647413000000,11487183000000,789668000000,791231000000
601288,农业银行,601288,农业银行,2013-03-31 00:00:00,一季报,14267738000000,6478080000000,11611336000000,798740000000,800319000000
601288,农业银行,601288,农业银行,2012-12-31 00:00:00,年报,13244342000000,6153411000000,10862935000000,749815000000,751354000000
601288,农业银行,601288,农业银行,2012-09-30 00:00:00,三季报,13061873000000,5983718000000,10791157000000,726674000000,727045000000
601288,农业银行,601288,农业银行,2012-06-30 00:00:00,中报,12901412000000,5829740000000,10604586000000,691464000000,691826000000
601288,农业银行,601288,农业银行,2012-03-31 00:00:00,一季报,12559332000000,5647762000000,10143971000000,693791000000,693984000000
601288,农业银行,601288,农业银行,2011-12-31 00:00:00,年报,11677577000000,5410086000000,9622026000000,649601000000,649788000000
601288,农业银行,601288,农业银行,2011-09-30 00:00:00,三季报,11589073000000,5278225000000,9703827000000,620351000000,620535000000
601288,农业银行,601288,农业银行,2011-06-30 00:00:00,中报,11461784000000,5187987000000,9706587000000,589332000000,589509000000
601288,农业银行,601288,农业银行,2011-03-31 00:00:00,一季报,10959928000000,5037106000000,9365977000000,576400000000,576570000000
601288,农业银行,601288,农业银行,2010-12-31 00:00:00,年报,10337406000000,4788008000000,8887905000000,542071000000,542236000000
601288,农业银行,601288,农业银行,2010-09-30 00:00:00,三季报,10117122000000,4619651000000,8664348000000,528108000000,528278000000
601288,农业银行,601288,农业银行,2010-06-30 00:00:00,中报,9695967000000,4478230000000,8348820000000,354263000000,354417000000
601288,农业银行,601288,农业银行,2009-12-31 00:00:00,年报,8882588000000,4011495000000,7497618000000,342819000000,342925000000
601288,农业银行,601288,农业银行,2008-12-31 00:00:00,年报,7014351000000,3014984000000,6097428000000,290445000000,290541000000
601288,农业银行,601288,农业银行,2007-12-31 00:00:00,年报,5305506000000,2709192000000,5287194000000,-727605000000,-727605000000
601288,农业银行,601288,农业银行,2006-12-31 00:00:00,年报,5363628000000,3112337000000,4755312000000,83642000000,83642000000
601288,农业银行,601288,农业银行,2005-12-31 00:00:00,年报,4771019000000,2793266000000,4036854000000,79607000000,79607000000
601288,农业银行,601288,农业银行,2004-12-31 00:00:00,年报,4013769000000,2557693000000,3491549000000,78063000000,78063000000
601288,农业银行,601288,农业银行,2003-12-31 00:00:00,年报,3494016000000,2239897000000,2997288000000,137969000000,137969000000
601288,农业银行,601288,农业银行,2002-12-31 00:00:00,年报,2976566000000,1889150000000,2479618000000,136040000000,136040000000
