银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601577,长沙银行,601577,长沙银行,2026-03-31 00:00:00,一季报,1315121188000.0,629867051000.0,824057006000.0,82786250000.0,85130199000.0
601577,长沙银行,601577,长沙银行,2025-12-31 00:00:00,年报,1268149035000.0,595523883000.0,802154177000.0,80016751000.0,82338420000.0
601577,长沙银行,601577,长沙银行,2025-09-30 00:00:00,三季报,1243697660000.0,588470030000.0,763428190000.0,80825989000.0,83210701000.0
601577,长沙银行,601577,长沙银行,2025-06-30 00:00:00,中报,1247385086000.0,584948742000.0,772538061000.0,79943422000.0,82294812000.0
601577,长沙银行,601577,长沙银行,2025-03-31 00:00:00,一季报,1211242255000.0,570939112000.0,763832625000.0,79301004000.0,81653368000.0
601577,长沙银行,601577,长沙银行,2024-12-31 00:00:00,年报,1146747921000.0,529229498000.0,736737742000.0,78013645000.0,80350292000.0
601577,长沙银行,601577,长沙银行,2024-09-30 00:00:00,三季报,1123134401000.0,527198493000.0,702103230000.0,76059584000.0,78325072000.0
601577,长沙银行,601577,长沙银行,2024-06-30 00:00:00,中报,1096921911000.0,517592375000.0,695002859000.0,68924842000.0,71176445000.0
601577,长沙银行,601577,长沙银行,2024-03-31 00:00:00,一季报,1061303340000.0,507038020000.0,688446726000.0,68299920000.0,70526260000.0
601577,长沙银行,601577,长沙银行,2023-12-31 00:00:00,年报,1020032943000.0,473853111000.0,670857623000.0,66108998000.0,68319379000.0
601577,长沙银行,601577,长沙银行,2023-09-30 00:00:00,三季报,1017603093000.0,473296279000.0,644806251000.0,64783904000.0,66964502000.0
601577,长沙银行,601577,长沙银行,2023-06-30 00:00:00,中报,998247970000.0,462975162000.0,627992909000.0,62924617000.0,65074099000.0
601577,长沙银行,601577,长沙银行,2023-03-31 00:00:00,一季报,954443695000.0,442908250000.0,615468670000.0,62122519000.0,64162685000.0
601577,长沙银行,601577,长沙银行,2022-12-31 00:00:00,年报,904733493000.0,412723737000.0,589412989000.0,60243137000.0,62172257000.0
601577,长沙银行,601577,长沙银行,2022-09-30 00:00:00,三季报,878673018000.0,410409540000.0,565239654000.0,59219213000.0,61057139000.0
