银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601818,光大银行,601818,光大银行,2026-03-31 00:00:00,一季报,7201145000000,3989008000000,4199159000000,574423000000,577014000000
601818,光大银行,601818,光大银行,2025-12-31 00:00:00,年报,7165319000000,3911379000000,4102458000000,604800000000,607442000000
601818,光大银行,601818,光大银行,2025-09-30 00:00:00,三季报,7217717000000,3953830000000,4184694000000,602273000000,604859000000
601818,光大银行,601818,光大银行,2025-06-30 00:00:00,中报,7238591000000,4008604000000,4253182000000,594534000000,597182000000
601818,光大银行,601818,光大银行,2025-03-31 00:00:00,一季报,7228859000000,4034690000000,4268443000000,586401000000,588995000000
601818,光大银行,601818,光大银行,2024-12-31 00:00:00,年报,6959021000000,3857693000000,4035687000000,587700000000,590231000000
601818,光大银行,601818,光大银行,2024-09-30 00:00:00,三季报,6884743000000,3826952000000,4021320000000,580138000000,582665000000
601818,光大银行,601818,光大银行,2024-06-30 00:00:00,中报,6796694000000,3821301000000,3919764000000,568391000000,570865000000
601818,光大银行,601818,光大银行,2024-03-31 00:00:00,一季报,6897528000000,3828594000000,4124619000000,565331000000,567795000000
601818,光大银行,601818,光大银行,2023-12-31 00:00:00,年报,6772796000000,3712925000000,4094528000000,552391000000,554785000000
601818,光大银行,601818,光大银行,2023-09-30 00:00:00,三季报,6834936000000,3684219000000,4085395000000,548076000000,550404000000
601818,光大银行,601818,光大银行,2023-06-30 00:00:00,中报,6757928000000,3663930000000,4156940000000,538398000000,540677000000
601818,光大银行,601818,光大银行,2023-03-31 00:00:00,一季报,6694710000000,3637603000000,4123082000000,536164000000,538369000000
601818,光大银行,601818,光大银行,2022-12-31 00:00:00,年报,6300510000000,3499351000000,3917168000000,507883000000,510013000000
601818,光大银行,601818,光大银行,2022-09-30 00:00:00,三季报,6264636000000,3491430000000,3979517000000,501932000000,503964000000
601818,光大银行,601818,光大银行,2022-06-30 00:00:00,中报,6257247000000,3439869000000,3947612000000,490530000000,492535000000
601818,光大银行,601818,光大银行,2022-03-31 00:00:00,一季报,6247231000000,3382733000000,3843925000000,490333000000,492275000000
601818,光大银行,601818,光大银行,2021-12-31 00:00:00,年报,5902069000000,3239396000000,3675743000000,482489000000,484366000000
601818,光大银行,601818,光大银行,2021-09-30 00:00:00,三季报,5685950000000,3215939000000,3612445000000,474140000000,475852000000
601818,光大银行,601818,光大银行,2021-06-30 00:00:00,中报,5772796000000,3167425000000,3692419000000,462539000000,464138000000
601818,光大银行,601818,光大银行,2021-03-31 00:00:00,一季报,5581691000000,3089231000000,3585545000000,462905000000,464479000000
601818,光大银行,601818,光大银行,2020-12-31 00:00:00,年报,5368163000000,2942435000000,3480642000000,453470000000,455040000000
601818,光大银行,601818,光大银行,2020-09-30 00:00:00,三季报,5287597000000,2889677000000,3530089000000,439204000000,440770000000
601818,光大银行,601818,光大银行,2020-06-30 00:00:00,中报,5388434000000,2845757000000,3672102000000,390312000000,391443000000
601818,光大银行,601818,光大银行,2020-03-31 00:00:00,一季报,5232011000000,2822896000000,3530589000000,397100000000,398216000000
601818,光大银行,601818,光大银行,2019-12-31 00:00:00,年报,4733431000000,2644136000000,3017888000000,384982000000,386054000000
601818,光大银行,601818,光大银行,2019-09-30 00:00:00,三季报,4723247000000,2594529000000,2962741000000,379268000000,380319000000
601818,光大银行,601818,光大银行,2019-06-30 00:00:00,中报,4647020000000,2530577000000,2958862000000,333061000000,334085000000
601818,光大银行,601818,光大银行,2019-03-31 00:00:00,一季报,4520309000000,2447922000000,2842135000000,331901000000,332904000000
601818,光大银行,601818,光大银行,2018-12-31 00:00:00,年报,4357332000000,2361278000000,2571961000000,321488000000,322473000000
601818,光大银行,601818,光大银行,2018-09-30 00:00:00,三季报,4355429000000,2311647000000,2484985000000,314231000000,315038000000
601818,光大银行,601818,光大银行,2018-06-30 00:00:00,中报,4283277000000,2174647000000,2435534000000,304179000000,304865000000
601818,光大银行,601818,光大银行,2018-03-31 00:00:00,一季报,4163187000000,2058941000000,2345911000000,305904000000,306584000000
601818,光大银行,601818,光大银行,2017-12-31 00:00:00,年报,4088243000000,1980818000000,2272665000000,304760000000,305436000000
601818,光大银行,601818,光大银行,2017-09-30 00:00:00,三季报,4030414000000,1962153000000,2227244000000,273658000000,274316000000
601818,光大银行,601818,光大银行,2017-06-30 00:00:00,中报,4033546000000,1917181000000,2271303000000,265532000000,266175000000
601818,光大银行,601818,光大银行,2017-03-31 00:00:00,一季报,4126980000000,1850311000000,2243298000000,263100000000,263733000000
601818,光大银行,601818,光大银行,2016-12-31 00:00:00,年报,4020042000000,1751644000000,2120887000000,250455000000,251068000000
601818,光大银行,601818,光大银行,2016-09-30 00:00:00,三季报,3836367000000,1711472000000,2131891000000,248035000000,248641000000
601818,光大银行,601818,光大银行,2016-06-30 00:00:00,中报,3764912000000,1662048000000,2177369000000,229345000000,229928000000
601818,光大银行,601818,光大银行,2016-03-31 00:00:00,一季报,3493951000000,1589781000000,2126783000000,232302000000,232870000000
601818,光大银行,601818,光大银行,2015-12-31 00:00:00,年报,3167710000000,1475424000000,1993843000000,223493000000,224047000000
601818,光大银行,601818,光大银行,2015-09-30 00:00:00,三季报,3086815000000,1433869000000,1958935000000,216361000000,216907000000
601818,光大银行,601818,光大银行,2015-06-30 00:00:00,中报,3000336000000,1386947000000,1894576000000,207925000000,208456000000
601818,光大银行,601818,光大银行,2015-03-31 00:00:00,一季报,2868543000000,1342469000000,1840453000000,187547000000,188069000000
