银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601825,沪农商行,601825,沪农商行,2026-03-31 00:00:00,一季报,1627400498000.0,782376782000.0,1177001995000.0,131685352000.0,136118202000.0
601825,沪农商行,601825,沪农商行,2025-12-31 00:00:00,年报,1587666263000.0,750433414000.0,1156886017000.0,127905738000.0,132280294000.0
601825,沪农商行,601825,沪农商行,2025-09-30 00:00:00,三季报,1558094380000.0,743496001000.0,1155170407000.0,125924448000.0,130212674000.0
601825,沪农商行,601825,沪农商行,2025-06-30 00:00:00,中报,1549418727000.0,750514658000.0,1126680240000.0,126814758000.0,131016404000.0
601825,沪农商行,601825,沪农商行,2025-03-31 00:00:00,一季报,1539928922000.0,747449906000.0,1099213738000.0,124868211000.0,129089711000.0
601825,沪农商行,601825,沪农商行,2024-12-31 00:00:00,年报,1487809495000.0,731185347000.0,1092917510000.0,123836410000.0,127981831000.0
601825,沪农商行,601825,沪农商行,2024-09-30 00:00:00,三季报,1476689143000.0,718678685000.0,1083779693000.0,119574233000.0,123627216000.0
601825,沪农商行,601825,沪农商行,2024-06-30 00:00:00,中报,1454957287000.0,710760524000.0,1067232207000.0,118398248000.0,122393896000.0
601825,沪农商行,601825,沪农商行,2024-03-31 00:00:00,一季报,1441596392000.0,697386734000.0,1040193553000.0,117259717000.0,121274473000.0
601825,沪农商行,601825,沪农商行,2023-12-31 00:00:00,年报,1392213700000.0,684879284000.0,1037738098000.0,112426981000.0,116358495000.0
601825,沪农商行,601825,沪农商行,2023-09-30 00:00:00,三季报,1368423710000.0,674359990000.0,997017383000.0,109940345000.0,113862254000.0
601825,沪农商行,601825,沪农商行,2023-06-30 00:00:00,中报,1359469610000.0,669395610000.0,998049311000.0,106959159000.0,110801167000.0
601825,沪农商行,601825,沪农商行,2023-03-31 00:00:00,一季报,1320958312000.0,654973589000.0,979421729000.0,105438151000.0,109272624000.0
601825,沪农商行,601825,沪农商行,2022-12-31 00:00:00,年报,1281399121000.0,643951491000.0,961369501000.0,101833969000.0,105715647000.0
601825,沪农商行,601825,沪农商行,2022-09-30 00:00:00,三季报,1231089092000.0,624140296000.0,908434691000.0,100507491000.0,104306975000.0
601825,沪农商行,601825,沪农商行,2022-06-30 00:00:00,中报,1200910196000.0,610565995000.0,889393539000.0,96699576000.0,100367815000.0
601825,沪农商行,601825,沪农商行,2022-03-31 00:00:00,一季报,1181435709000.0,602961898000.0,882967151000.0,96701349000.0,100365430000.0
601825,沪农商行,601825,沪农商行,2021-12-31 00:00:00,年报,1158376261000.0,588984441000.0,855366636000.0,93768103000.0,97331437000.0
