银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601916,浙商银行,601916,浙商银行,2026-03-31 00:00:00,一季报,3712344000000.0,1971767000000.0,2154561000000.0,208567000000.0,213210000000.0
601916,浙商银行,601916,浙商银行,2025-12-31 00:00:00,年报,3481092000000.0,1883237000000.0,2043466000000.0,202868000000.0,207335000000.0
601916,浙商银行,601916,浙商银行,2025-09-30 00:00:00,三季报,3389012000000.0,1856263000000.0,2059773000000.0,202407000000.0,206734000000.0
601916,浙商银行,601916,浙商银行,2025-06-30 00:00:00,中报,3346485000000.0,1846175000000.0,2065814000000.0,200238000000.0,204382000000.0
601916,浙商银行,601916,浙商银行,2025-03-31 00:00:00,一季报,3443117000000.0,1847384000000.0,2006368000000.0,201780000000.0,205783000000.0
601916,浙商银行,601916,浙商银行,2024-12-31 00:00:00,年报,3325539000000.0,1812684000000.0,1922289000000.0,198903000000.0,202743000000.0
601916,浙商银行,601916,浙商银行,2024-09-30 00:00:00,三季报,3276188000000.0,1781982000000.0,1913992000000.0,195386000000.0,199136000000.0
601916,浙商银行,601916,浙商银行,2024-06-30 00:00:00,中报,3246610000000.0,1767957000000.0,1938479000000.0,190798000000.0,194374000000.0
601916,浙商银行,601916,浙商银行,2024-03-31 00:00:00,一季报,3161691000000.0,1726368000000.0,1892221000000.0,192425000000.0,195872000000.0
601916,浙商银行,601916,浙商银行,2023-12-31 00:00:00,年报,3143879000000.0,1673272000000.0,1868659000000.0,186245000000.0,189577000000.0
601916,浙商银行,601916,浙商银行,2023-09-30 00:00:00,三季报,2956881000000.0,1655002000000.0,1793417000000.0,183515000000.0,186760000000.0
601916,浙商银行,601916,浙商银行,2023-06-30 00:00:00,中报,2912260000000.0,1611322000000.0,1822985000000.0,176355000000.0,179465000000.0
601916,浙商银行,601916,浙商银行,2023-03-31 00:00:00,一季报,2746969000000.0,1554555000000.0,1710064000000.0,167943000000.0,171053000000.0
601916,浙商银行,601916,浙商银行,2022-12-31 00:00:00,年报,2621930000000.0,1486291000000.0,1681443000000.0,162933000000.0,165930000000.0
601916,浙商银行,601916,浙商银行,2022-09-30 00:00:00,三季报,2543151000000.0,1467483000000.0,1721516000000.0,159892000000.0,162805000000.0
601916,浙商银行,601916,浙商银行,2022-06-30 00:00:00,中报,2521244000000.0,1434565000000.0,1640464000000.0,155527000000.0,158352000000.0
601916,浙商银行,601916,浙商银行,2022-03-31 00:00:00,一季报,2481669000000.0,1389673000000.0,1514411000000.0,153483000000.0,156301000000.0
601916,浙商银行,601916,浙商银行,2021-12-31 00:00:00,年报,2286723000000.0,1311889000000.0,1415705000000.0,164169000000.0,166883000000.0
601916,浙商银行,601916,浙商银行,2021-09-30 00:00:00,三季报,2176207000000.0,1274881000000.0,1360275000000.0,137149000000.0,139337000000.0
601916,浙商银行,601916,浙商银行,2021-06-30 00:00:00,中报,2154397000000.0,1238083000000.0,1367287000000.0,133024000000.0,135117000000.0
601916,浙商银行,601916,浙商银行,2021-03-31 00:00:00,一季报,2060155000000.0,1211909000000.0,1272792000000.0,134201000000.0,136313000000.0
601916,浙商银行,601916,浙商银行,2020-12-31 00:00:00,年报,2048225000000.0,1165875000000.0,1335636000000.0,130512000000.0,132543000000.0
601916,浙商银行,601916,浙商银行,2020-09-30 00:00:00,三季报,2053099000000.0,1129624000000.0,1363800000000.0,128408000000.0,130395000000.0
601916,浙商银行,601916,浙商银行,2020-06-30 00:00:00,中报,1990606000000.0,1097410000000.0,1354290000000.0,127003000000.0,128921000000.0
601916,浙商银行,601916,浙商银行,2020-03-31 00:00:00,一季报,1827566138000.0,1046380785000.0,1236888356000.0,130986597000.0,132848925000.0
601916,浙商银行,601916,浙商银行,2019-12-31 00:00:00,年报,1800786000000.0,998933000000.0,1143741000000.0,126246000000.0,128027000000.0
601916,浙商银行,601916,浙商银行,2019-09-30 00:00:00,三季报,1720482675000.0,937652409000.0,1089787160000.0,112445863000.0,114178165000.0
601916,浙商银行,601916,浙商银行,2019-06-30 00:00:00,中报,1737269251000.0,902027393000.0,1049944951000.0,107427802000.0,109086865000.0
601916,浙商银行,601916,浙商银行,2019-03-31 00:00:00,一季报,1701285542000.0,871897125000.0,995228779000.0,104306048000.0,105896155000.0
601916,浙商银行,601916,浙商银行,2018-12-31 00:00:00,年报,1646694744000.0,837075890000.0,974770403000.0,100885498000.0,102448537000.0
601916,浙商银行,601916,浙商银行,2018-09-30 00:00:00,三季报,1620293544000.0,800143265000.0,958726625000.0,98880570000.0,100410988000.0
601916,浙商银行,601916,浙商银行,2018-06-30 00:00:00,中报,1632171684000.0,770709631000.0,905959253000.0,94641881000.0,96158238000.0
601916,浙商银行,601916,浙商银行,2018-03-31 00:00:00,一季报,1565537535000.0,705396943000.0,863575837000.0,93807125000.0,95312821000.0
601916,浙商银行,601916,浙商银行,2017-12-31 00:00:00,年报,1536752102000.0,649816717000.0,860619457000.0,88194636000.0,89687754000.0
601916,浙商银行,601916,浙商银行,2017-09-30 00:00:00,三季报,1488968523000.0,538930667000.0,819272569000.0,87800607000.0,89282891000.0
601916,浙商银行,601916,浙商银行,2017-06-30 00:00:00,中报,1453290294000.0,512472020000.0,803067535000.0,84355390000.0,85814202000.0
601916,浙商银行,601916,浙商银行,2017-03-31 00:00:00,一季报,1418599356000.0,479660802000.0,747406898000.0,85399798000.0,86845320000.0
601916,浙商银行,601916,浙商银行,2016-12-31 00:00:00,年报,1354854519000.0,443668657000.0,736243698000.0,67475378000.0,67475378000.0
601916,浙商银行,601916,浙商银行,2016-09-30 00:00:00,三季报,1260015217000.0,417596196000.0,689363031000.0,66730682000.0,66730682000.0
601916,浙商银行,601916,浙商银行,2016-06-30 00:00:00,中报,1181634463000.0,398067529000.0,644554993000.0,63126584000.0,63126584000.0
601916,浙商银行,601916,浙商银行,2015-12-31 00:00:00,年报,1031650386000.0,335228940000.0,516026296000.0,49657064000.0,49657064000.0
601916,浙商银行,601916,浙商银行,2015-09-30 00:00:00,三季报,1004314777000.0,329725939000.0,500345095000.0,47614870000.0,47614870000.0
601916,浙商银行,601916,浙商银行,2014-12-31 00:00:00,年报,669957446000.0,252312436000.0,363279888000.0,33150172000.0,33150172000.0
601916,浙商银行,601916,浙商银行,2013-12-31 00:00:00,年报,488116994000.0,212570983000.0,319794777000.0,27808497000.0,27808497000.0
601916,浙商银行,601916,浙商银行,2013-06-30 00:00:00,中报,422777489000.0,198508372000.0,303874044000.0,25388954000.0,25388954000.0
601916,浙商银行,601916,浙商银行,2012-12-31 00:00:00,年报,393839270000.0,178740176000.0,266887919000.0,22709399000.0,22709399000.0
601916,浙商银行,601916,浙商银行,2011-12-31 00:00:00,年报,301857656000.0,146425993000.0,214682333000.0,20685837000.0,20685837000.0
601916,浙商银行,601916,浙商银行,2011-06-30 00:00:00,中报,256531062000.0,132008078000.0,188858628000.0,19155044000.0,19155044000.0
601916,浙商银行,601916,浙商银行,2010-12-31 00:00:00,年报,217311982000.0,111332089000.0,156808932000.0,17815732000.0,17815732000.0
601916,浙商银行,601916,浙商银行,2010-06-30 00:00:00,中报,186507241367.0,98154750566.0,133583837333.0,9527465256.0,9527465256.0
601916,浙商银行,601916,浙商银行,2009-12-31 00:00:00,年报,163417700772.0,86432195142.0,121381413278.0,8700192381.0,8700192381.0
