银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601963,重庆银行,601963,重庆银行,2026-03-31 00:00:00,一季报,1108129550000.0,547486115000.0,614900909000.0,66436921000.0,69564438000.0
601963,重庆银行,601963,重庆银行,2025-12-31 00:00:00,年报,1033725681000.0,516486516000.0,565704384000.0,62972107000.0,65998842000.0
601963,重庆银行,601963,重庆银行,2025-09-30 00:00:00,三季报,1022749648000.0,505779026000.0,554245210000.0,63113583000.0,66001905000.0
601963,重庆银行,601963,重庆银行,2025-06-30 00:00:00,中报,983365338000.0,486191966000.0,544135783000.0,62715881000.0,65492231000.0
601963,重庆银行,601963,重庆银行,2025-03-31 00:00:00,一季报,931698877000.0,459505541000.0,523824019000.0,61688209000.0,64463777000.0
601963,重庆银行,601963,重庆银行,2024-12-31 00:00:00,年报,856641840000.0,427263845000.0,474116904000.0,61070973000.0,63763918000.0
601963,重庆银行,601963,重庆银行,2024-09-30 00:00:00,三季报,824144121000.0,419681391000.0,463587122000.0,60407017000.0,62974998000.0
601963,重庆银行,601963,重庆银行,2024-06-30 00:00:00,中报,805967923000.0,406908533000.0,449999935000.0,59352093000.0,61826633000.0
601963,重庆银行,601963,重庆银行,2024-03-31 00:00:00,一季报,780803934000.0,394969053000.0,439221765000.0,58921894000.0,61380541000.0
601963,重庆银行,601963,重庆银行,2023-12-31 00:00:00,年报,759883870000.0,380795540000.0,414812696000.0,56917734000.0,59299427000.0
601963,重庆银行,601963,重庆银行,2023-09-30 00:00:00,三季报,741481553000.0,374678531000.0,408486197000.0,53210346000.0,55521558000.0
601963,重庆银行,601963,重庆银行,2023-06-30 00:00:00,中报,727060949000.0,366978912000.0,406176828000.0,51738550000.0,53966936000.0
601963,重庆银行,601963,重庆银行,2023-03-31 00:00:00,一季报,709116608000.0,356127245000.0,402223224000.0,51286743000.0,53507237000.0
601963,重庆银行,601963,重庆银行,2022-12-31 00:00:00,年报,684712563000.0,342446291000.0,382594480000.0,49336512000.0,51495477000.0
601963,重庆银行,601963,重庆银行,2022-09-30 00:00:00,三季报,670317628000.0,331860660000.0,381683844000.0,50997109000.0,53102790000.0
601963,重庆银行,601963,重庆银行,2022-06-30 00:00:00,中报,663635024000.0,328094482000.0,376739949000.0,49476913000.0,51499549000.0
601963,重庆银行,601963,重庆银行,2022-03-31 00:00:00,一季报,643150436000.0,318308540000.0,357755633000.0,49622266000.0,51642546000.0
601963,重庆银行,601963,重庆银行,2021-12-31 00:00:00,年报,618953620000.0,306883598000.0,338695343000.0,47273188000.0,49246695000.0
601963,重庆银行,601963,重庆银行,2021-09-30 00:00:00,三季报,612740988000.0,303221389000.0,336567592000.0,46815448000.0,48737693000.0
601963,重庆银行,601963,重庆银行,2021-06-30 00:00:00,中报,606552941000.0,299867341000.0,339823749000.0,45135770000.0,47005800000.0
601963,重庆银行,601963,重庆银行,2021-03-31 00:00:00,一季报,586058847000.0,287251904000.0,325784002000.0,45076182000.0,46939606000.0
601963,重庆银行,601963,重庆银行,2020-12-31 00:00:00,年报,561641397000.0,272259348000.0,314500257000.0,40174997000.0,41994214000.0
601963,重庆银行,601963,重庆银行,2020-09-30 00:00:00,三季报,546941032000.0,257703443000.0,311232518000.0,40039758000.0,41788582000.0
601963,重庆银行,601963,重庆银行,2020-06-30 00:00:00,中报,532221715000.0,255231236000.0,302850600000.0,38758143000.0,40469001000.0
601963,重庆银行,601963,重庆银行,2019-12-31 00:00:00,年报,501231864000.0,238626834000.0,281048911000.0,36949429000.0,38613669000.0
601963,重庆银行,601963,重庆银行,2019-09-30 00:00:00,三季报,469310979000.0,229181310000.0,273333645000.0,36735493000.0,38374026000.0
601963,重庆银行,601963,重庆银行,2019-06-30 00:00:00,中报,461852800000.0,221936764000.0,272127426000.0,35384965000.0,37002269000.0
601963,重庆银行,601963,重庆银行,2018-12-31 00:00:00,年报,450368973000.0,205923212000.0,256394193000.0,33051012000.0,34611573000.0
601963,重庆银行,601963,重庆银行,2018-06-30 00:00:00,中报,435819398000.0,187124160000.0,251314390000.0,31290462000.0,32820666000.0
601963,重庆银行,601963,重庆银行,2017-12-31 00:00:00,年报,422763025000.0,172162090000.0,238704678000.0,30951596000.0,32459912000.0
601963,重庆银行,601963,重庆银行,2016-12-31 00:00:00,年报,373103734000.0,146789046000.0,229593793000.0,23811912000.0,23811912000.0
601963,重庆银行,601963,重庆银行,2016-09-30 00:00:00,三季报,354752378000.0,143118371000.0,,23619450000.0,23619450000.0
601963,重庆银行,601963,重庆银行,2016-06-30 00:00:00,中报,343316009000.0,139206093000.0,223715624000.0,22501755000.0,22501755000.0
601963,重庆银行,601963,重庆银行,2016-03-31 00:00:00,一季报,335248124000.0,130357415000.0,,22378636000.0,22378636000.0
601963,重庆银行,601963,重庆银行,2015-12-31 00:00:00,年报,319807987000.0,121816452000.0,199298705000.0,21292995000.0,21292995000.0
601963,重庆银行,601963,重庆银行,2015-06-30 00:00:00,中报,282809565000.0,112994966000.0,181479175000.0,17189041000.0,17189041000.0
601963,重庆银行,601963,重庆银行,2014-12-31 00:00:00,年报,274531145176.18,104114756438.79,167932435529.32,15903023157.0,15903023157.0
601963,重庆银行,601963,重庆银行,2013-12-31 00:00:00,年报,206787015000.0,88637824000.0,148801045000.0,13479271000.0,13479271000.0
601963,重庆银行,601963,重庆银行,2013-06-30 00:00:00,中报,188428314000.0,83468787000.0,,9529287000.0,9529287000.0
601963,重庆银行,601963,重庆银行,2012-12-31 00:00:00,年报,156148492000.0,75256873000.0,114043185000.0,8247109000.0,8247109000.0
601963,重庆银行,601963,重庆银行,2011-12-31 00:00:00,年报,127336599000.0,62824926000.0,89306554000.0,6450676000.0,6450676000.0
601963,重庆银行,601963,重庆银行,2010-12-31 00:00:00,年报,108239384000.0,51954951000.0,73856470000.0,4990970000.0,4990970000.0
601963,重庆银行,601963,重庆银行,2009-12-31 00:00:00,年报,80866380000.0,41495207000.0,59248215000.0,4036115000.0,4036115000.0
601963,重庆银行,601963,重庆银行,2008-12-31 00:00:00,年报,56441685000.0,28124577000.0,42243780000.0,3291162000.0,3291162000.0
601963,重庆银行,601963,重庆银行,2008-06-30 00:00:00,中报,57196707000.0,27039692000.0,38357170000.0,3030642000.0,3030642000.0
601963,重庆银行,601963,重庆银行,2007-12-31 00:00:00,年报,44631315000.0,23269455000.0,35331044000.0,2628748000.0,2628748000.0
601963,重庆银行,601963,重庆银行,2006-12-31 00:00:00,年报,32548265000.0,18517885000.0,28815225000.0,2172782000.0,2172782000.0
601963,重庆银行,601963,重庆银行,2005-12-31 00:00:00,年报,30157432000.0,14519621000.0,22700972000.0,1546464000.0,1546464000.0
601963,重庆银行,601963,重庆银行,2004-12-31 00:00:00,年报,23731644527.75,,,1784832489.89,
601963,重庆银行,601963,重庆银行,2003-12-31 00:00:00,年报,24443245593.01,,,1709883024.32,
601963,重庆银行,601963,重庆银行,2002-12-31 00:00:00,年报,14866069452.86,,,449123751.65,
601963,重庆银行,601963,重庆银行,2001-12-31 00:00:00,年报,10810022066.02,,,426523020.18,
601963,重庆银行,601963,重庆银行,2000-12-31 00:00:00,年报,9297951879.86,,,411082157.8,
601963,重庆银行,601963,重庆银行,1999-12-31 00:00:00,年报,7015244755.15,,,408393539.32,
