银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
601988,中国银行,601988,中国银行,2026-03-31 00:00:00,一季报,39594197000000,23848346000000,27171877000000,3103358000000,3247732000000
601988,中国银行,601988,中国银行,2025-12-31 00:00:00,年报,38358076000000,22876769000000,26182431000000,3064044000000,3208124000000
601988,中国银行,601988,中国银行,2025-09-30 00:00:00,三季报,37550163000000,22785895000000,25678840000000,3093682000000,3237314000000
601988,中国银行,601988,中国银行,2025-06-30 00:00:00,中报,36790613000000,22488178000000,25638312000000,2987590000000,3125665000000
601988,中国银行,601988,中国银行,2025-03-31 00:00:00,一季报,35987147000000,22052439000000,25610499000000,2826343000000,2967733000000
601988,中国银行,601988,中国银行,2024-12-31 00:00:00,年报,35061299000000,21055282000000,24202588000000,2816231000000,2952964000000
601988,中国银行,601988,中国银行,2024-09-30 00:00:00,三季报,34068988000000,20899320000000,23710630000000,2742107000000,2873983000000
601988,中国银行,601988,中国银行,2024-06-30 00:00:00,中报,33907267000000,20616140000000,23630706000000,2648821000000,2778976000000
601988,中国银行,601988,中国银行,2024-03-31 00:00:00,一季报,33659046000000,20366172000000,24105988000000,2653487000000,2784192000000
601988,中国银行,601988,中国银行,2023-12-31 00:00:00,年报,32432166000000,19476871000000,22907050000000,2629510000000,2756815000000
601988,中国银行,601988,中国银行,2023-09-30 00:00:00,三季报,31764820000000,19259526000000,22689045000000,2565509000000,2690107000000
601988,中国银行,601988,中国银行,2023-06-30 00:00:00,中报,31085240000000,18799939000000,22449314000000,2515464000000,2661763000000
601988,中国银行,601988,中国银行,2023-03-31 00:00:00,一季报,30385693000000,18139672000000,21918116000000,2476898000000,2617624000000
601988,中国银行,601988,中国银行,2022-12-31 00:00:00,年报,28893548000000,17116005000000,20201825000000,2423973000000,2563301000000
601988,中国银行,601988,中国银行,2022-09-30 00:00:00,三季报,28639287000000,16977548000000,19959134000000,2382270000000,2518958000000
601988,中国银行,601988,中国银行,2022-06-30 00:00:00,中报,28052758000000,16537489000000,19548227000000,2315234000000,2444752000000
601988,中国银行,601988,中国银行,2022-03-31 00:00:00,一季报,27459038000000,16105641000000,19178123000000,2269549000000,2394771000000
601988,中国银行,601988,中国银行,2021-12-31 00:00:00,年报,26722408000000,15322484000000,18142887000000,2225153000000,2350553000000
601988,中国银行,601988,中国银行,2021-09-30 00:00:00,三季报,26229920000000,15167691000000,17940807000000,2160500000000,2286316000000
601988,中国银行,601988,中国银行,2021-06-30 00:00:00,中报,26317327000000,15047714000000,18227771000000,2105347000000,2230348000000
601988,中国银行,601988,中国银行,2021-03-31 00:00:00,一季报,25834286000000,14608286000000,17910574000000,2059661000000,2186711000000
601988,中国银行,601988,中国银行,2020-12-31 00:00:00,年报,24402659000000,13848304000000,16879171000000,2038419000000,2162837000000
601988,中国银行,601988,中国银行,2020-09-30 00:00:00,三季报,24703889000000,13932743000000,17384991000000,1979259000000,2105893000000
601988,中国银行,601988,中国银行,2020-06-30 00:00:00,中报,24152855000000,13670820000000,17090217000000,1958442000000,2088613000000
601988,中国银行,601988,中国银行,2020-03-31 00:00:00,一季报,24024645000000,13452380000000,16783492000000,1929661000000,2058514000000
601988,中国银行,601988,中国银行,2019-12-31 00:00:00,年报,22769744000000,12743425000000,15817548000000,1851701000000,1976696000000
601988,中国银行,601988,中国银行,2019-09-30 00:00:00,三季报,22608164000000,12567355000000,15772547000000,1866315000000,1987726000000
601988,中国银行,601988,中国银行,2019-06-30 00:00:00,中报,22266024000000,12257784000000,15644634000000,1790418000000,1907452000000
601988,中国银行,601988,中国银行,2019-03-31 00:00:00,一季报,21616555000000,11941096000000,15645212000000,1703552000000,1817655000000
601988,中国银行,601988,中国银行,2018-12-31 00:00:00,年报,21267275000000,11515764000000,14883596000000,1612980000000,1725397000000
601988,中国银行,601988,中国银行,2018-09-30 00:00:00,三季报,20925662000000,11416978000000,14607864000000,1578658000000,1689080000000
601988,中国银行,601988,中国银行,2018-06-30 00:00:00,中报,20294918000000,11135605000000,14352853000000,1526978000000,1610661000000
601988,中国银行,601988,中国银行,2018-03-31 00:00:00,一季报,20159826000000,10863269000000,14351098000000,1504277000000,1583670000000
601988,中国银行,601988,中国银行,2017-12-31 00:00:00,年报,19467424000000,10644304000000,13657924000000,1496016000000,1576679000000
601988,中国银行,601988,中国银行,2017-09-30 00:00:00,三季报,19422438000000,10573570000000,13836476000000,1481233000000,1561779000000
601988,中国银行,601988,中国银行,2017-06-30 00:00:00,中报,19425980000000,10426548000000,13732059000000,1451378000000,1527872000000
601988,中国银行,601988,中国银行,2017-03-31 00:00:00,一季报,18917549000000,10124969000000,13759960000000,1451448000000,1528632000000
601988,中国银行,601988,中国银行,2016-12-31 00:00:00,年报,18148889000000,9735646000000,12939748000000,1411682000000,1487092000000
601988,中国银行,601988,中国银行,2016-09-30 00:00:00,三季报,17857503000000,9648243000000,12974479000000,1389595000000,1464901000000
601988,中国银行,601988,中国银行,2016-06-30 00:00:00,中报,17601267000000,9506567000000,12551850000000,1348236000000,1420303000000
601988,中国银行,601988,中国银行,2016-03-31 00:00:00,一季报,17039969000000,9272248000000,12234691000000,1348157000000,1402957000000
