银行代码,银行名称,SECURITY_CODE,SECURITY_NAME_ABBR,REPORT_DATE,REPORT_TYPE,总资产,发放贷款及垫款,吸收存款,归母净资产,股东权益合计
603323,苏农银行,603323,苏农银行,2026-03-31 00:00:00,一季报,239730780000.0,143353983000.0,184983849000.0,19366134000.0,19379913000.0
603323,苏农银行,603323,苏农银行,2025-12-31 00:00:00,年报,230907250000.0,135245418000.0,182959207000.0,18877363000.0,18891318000.0
603323,苏农银行,603323,苏农银行,2025-09-30 00:00:00,三季报,226749201000.0,133928050000.0,182301644000.0,18687702000.0,18701295000.0
603323,苏农银行,603323,苏农银行,2025-06-30 00:00:00,中报,223248834000.0,131961313000.0,178047945000.0,18555219000.0,18569128000.0
603323,苏农银行,603323,苏农银行,2025-03-31 00:00:00,一季报,221889802000.0,128738465000.0,179082319000.0,18361448000.0,18375274000.0
603323,苏农银行,603323,苏农银行,2024-12-31 00:00:00,年报,213987100000.0,124850814000.0,170249035000.0,18041841000.0,18055700000.0
603323,苏农银行,603323,苏农银行,2024-09-30 00:00:00,三季报,210061665000.0,122362598000.0,169830713000.0,17120433000.0,17133860000.0
603323,苏农银行,603323,苏农银行,2024-06-30 00:00:00,中报,217502290000.0,125914994000.0,170344557000.0,16703287000.0,16717651000.0
603323,苏农银行,603323,苏农银行,2024-03-31 00:00:00,一季报,211759374000.0,124056976000.0,162127338000.0,16123271000.0,16137292000.0
603323,苏农银行,603323,苏农银行,2023-12-31 00:00:00,年报,202564681000.0,117774987000.0,157598488000.0,15782791000.0,15796762000.0
603323,苏农银行,603323,苏农银行,2023-09-30 00:00:00,三季报,201115263000.0,116661806000.0,155039971000.0,15421247000.0,15554159000.0
603323,苏农银行,603323,苏农银行,2023-06-30 00:00:00,中报,199192992000.0,115730252000.0,154438803000.0,15100927000.0,15234953000.0
603323,苏农银行,603323,苏农银行,2023-03-31 00:00:00,一季报,190515670000.0,107520175000.0,149114225000.0,14697891000.0,14827312000.0
603323,苏农银行,603323,苏农银行,2022-12-31 00:00:00,年报,180277961000.0,104886674000.0,139804680000.0,14199989000.0,14328226000.0
603323,苏农银行,603323,苏农银行,2022-09-30 00:00:00,三季报,176155399000.0,102651838000.0,133792483000.0,14391593000.0,14516502000.0
603323,苏农银行,603323,苏农银行,2022-06-30 00:00:00,中报,170268083000.0,100480319000.0,130198451000.0,13676805000.0,13801895000.0
603323,苏农银行,603323,苏农银行,2022-03-31 00:00:00,一季报,163942607000.0,94810717000.0,124758492000.0,13516897000.0,13640512000.0
603323,苏农银行,603323,苏农银行,2021-12-31 00:00:00,年报,158724694000.0,91696604000.0,122636757000.0,13147222000.0,13268267000.0
603323,苏农银行,603323,苏农银行,2021-09-30 00:00:00,三季报,153429402000.0,88790713000.0,118912221000.0,13038592000.0,13165758000.0
603323,苏农银行,603323,苏农银行,2021-06-30 00:00:00,中报,150731353000.0,83563789000.0,116026692000.0,12477000000.0,12598045000.0
603323,苏农银行,603323,苏农银行,2021-03-31 00:00:00,一季报,142820651000.0,78004541000.0,113646129000.0,12362755000.0,12484674000.0
603323,苏农银行,603323,苏农银行,2020-12-31 00:00:00,年报,139440364000.0,75804405000.0,106725338000.0,12020228000.0,12140188000.0
603323,苏农银行,603323,苏农银行,2020-09-30 00:00:00,三季报,133720169000.0,73820767000.0,105051870000.0,11999899000.0,12114615000.0
603323,苏农银行,603323,苏农银行,2020-06-30 00:00:00,中报,132810840000.0,71341787000.0,103212736000.0,11699361000.0,11809346000.0
603323,苏农银行,603323,苏农银行,2020-03-31 00:00:00,一季报,131860836000.0,68129619000.0,95886084000.0,11861354000.0,11975162000.0
603323,苏农银行,603323,苏农银行,2019-12-31 00:00:00,年报,125955321000.0,66246320000.0,95955987000.0,11512247000.0,11624839000.0
603323,苏农银行,603323,苏农银行,2019-09-30 00:00:00,三季报,126178287000.0,65228662000.0,91355444000.0,11360131000.0,11473309000.0
603323,苏农银行,603323,苏农银行,2019-06-30 00:00:00,中报,121242149000.0,61051282000.0,87562245000.0,11033352000.0,11145511000.0
603323,苏农银行,603323,苏农银行,2019-03-31 00:00:00,一季报,119786123000.0,59992859000.0,85282373000.0,11183260000.0,11295523000.0
603323,苏农银行,603323,苏农银行,2018-12-31 00:00:00,年报,116782012000.0,57453570000.0,82747957000.0,9410567000.0,9521359000.0
603323,苏农银行,603323,苏农银行,2018-09-30 00:00:00,三季报,110508369000.0,55661442000.0,79849995000.0,9220589000.0,9328954000.0
603323,苏农银行,603323,苏农银行,2018-06-30 00:00:00,中报,104247150000.0,51576636000.0,75041124000.0,8712722000.0,8819316000.0
603323,苏农银行,603323,苏农银行,2018-03-31 00:00:00,一季报,101905116000.0,49150546000.0,70160529000.0,8577583000.0,8687057000.0
